N	2gram	Medvedev_F_3	VerxiiNi
1	и в	27	26
2	таким образом	18	22
3	с тем	7	18
4	вместе с	6	15
5	в этом	18	15
6	точки зрения	16	13
7	как бы	8	12
8	в том	7	11
9	может быть	25	10
10	не только	9	10
11	и с	3	10
12	из этих	2	10
13	связи с	5	9
14	что в	8	9
15	но и	10	9
16	в области	2	9
17	так как	9	9
18	с другой	6	8
19	главным образом	2	8
20	но не	5	8
21	в общем	2	8
22	и не	30	8
23	том что	4	7
24	из них	2	7
25	то что	8	7
26	в эпоху	3	7
27	потому что	7	7
28	но в	6	7
29	в конце	3	6
30	к тому	4	6
31	и потому	5	6
32	того же	3	6
33	всяком случае	6	6
34	что и	2	6
35	все же	6	6
36	так и	21	6
37	все это	7	6
38	в отношении	2	6
39	все эти	6	6
40	с точки	14	6
41	во всяком	6	6
42	в себе	3	6
43	мы должны	2	6
44	о том	4	6
45	одной из	2	5
46	в его	7	5
47	никогда не	5	5
48	так же	9	5
49	лишь в	9	5
50	а не	17	5
51	того чтобы	5	5
52	для того	4	5
53	и для	6	5
54	учение о	2	4
55	в этих	3	4
56	и от	11	4
57	что он	6	4
58	в нем	15	4
59	в смысле	4	4
60	в самом	11	4
61	в котором	2	4
62	не может	24	4
63	и только	2	4
64	то же	15	4
65	и что	3	4
66	и тогда	2	4
67	в которых	3	4
68	в то	7	4
69	только в	8	4
70	в этой	2	4
71	не менее	7	3
72	по учению	2	3
73	же как	3	3
74	что это	3	3
75	если бы	12	3
76	как о	2	3
77	хотя бы	6	3
78	к этому	2	3
79	ясно что	3	3
80	можно сказать	3	3
81	и как	4	3
82	в своем	2	3
83	так называемые	2	3
84	тем не	2	3
85	отношению к	3	3
86	в связи	4	3
87	при этом	8	3
88	уже не	3	3
89	того что	3	3
90	и даже	2	3
91	и те	4	3
92	у них	2	3
93	в таком	2	3
94	в результате	5	3
95	конце концов	2	3
96	уже в	4	2
97	или иное	2	2
98	не могут	10	2
99	с его	2	2
100	ни было	5	2
101	только не	2	2
102	перестает быть	2	2
103	в них	3	2
104	превращается в	2	2
105	не как	2	2
106	и мир	2	2
107	и иной	2	2
108	тогда когда	4	2
109	но при	2	2
110	на все	2	2
111	прежде всего	4	2
112	из своих	2	2
113	или иной	2	2
114	исторического развития	2	2
115	к его	3	2
116	к одной	2	2
117	его от	2	2
118	то ни	4	2
119	мы видели	4	2
120	как от	3	2
121	что именно	5	2
122	же время	7	2
123	связано с	2	2
124	еще не	6	2
125	и из	2	2
126	конечно не	4	2
127	но если	2	2
128	и является	4	2
129	бы например	2	2
130	не могло	2	2
131	бы то	4	2
132	жизни и	4	2
133	то или	2	2
134	во всех	3	2
135	и сами	2	2
136	в процессе	15	2
137	отличается от	2	2
138	всех других	3	2
139	для этого	2	2
140	этом отношении	3	2
141	те же	3	2
142	можно только	2	2
143	в самой	2	2
144	одним из	3	2
145	и на	3	2
146	сказать что	3	2
147	не в	12	2
148	мы можем	4	2
149	же самое	3	2
150	и все	8	2
151	так чтобы	2	2
152	и это	2	2
153	в россии	2	2
154	из этого	4	2
155	в эту	2	2
156	к которому	2	2
157	и действительно	2	2
158	между тем	7	2
159	в виду	3	2
