N	2gram	Savitsky_E_1	Psycholo
1	то что	6	44
2	и в	37	33
3	в этом	12	28
4	как бы	6	25
5	и что	2	25
6	потому что	3	24
7	для того	6	23
8	может быть	6	22
9	том что	6	22
10	того чтобы	6	22
11	что в	21	21
12	в том	11	21
13	о том	3	20
14	и мы	3	15
15	как это	4	14
16	что это	2	13
17	таким образом	2	13
18	и не	14	13
19	так же	9	13
20	сказать что	4	13
21	то есть	6	13
22	к тому	8	12
23	в самом	4	12
24	и все	2	12
25	так как	7	12
26	было бы	8	12
27	что все	2	11
28	он не	2	11
29	на то	6	10
30	не может	9	10
31	в его	2	10
32	если бы	2	10
33	в этой	2	9
34	и если	2	9
35	по себе	4	9
36	то же	15	9
37	в каком	4	8
38	вместе с	2	8
39	как будто	2	8
40	в своем	14	7
41	для нас	4	7
42	и только	3	7
43	не только	18	7
44	когда он	3	7
45	в ней	4	6
46	точки зрения	23	6
47	как на	3	6
48	мы видим	2	6
49	мы должны	2	6
50	а не	2	6
51	в себе	9	6
52	никогда не	3	5
53	в какой	2	5
54	и как	2	5
55	целый ряд	2	5
56	мы не	4	5
57	и на	6	5
58	вовсе не	6	5
59	мы можем	3	5
60	с этим	2	5
61	как и	7	5
62	заключается в	2	5
63	в частности	5	4
64	друг с	3	4
65	из них	3	4
66	жизни и	2	4
67	а в	2	4
68	и других	2	4
69	того что	7	4
70	с этой	6	4
71	при помощи	2	4
72	в порядке	2	4
73	с тем	3	4
74	говорит о	3	4
75	не будет	3	4
76	в своей	8	4
77	ее в	3	4
78	как мы	5	4
79	с точки	17	4
80	в таком	3	4
81	можно было	3	4
82	этот вопрос	2	4
83	с другом	3	4
84	только в	9	4
85	же как	5	3
86	что если	2	3
87	с одной	8	3
88	в сторону	2	3
89	в мире	2	3
90	не можем	2	3
91	в пределах	25	3
92	одной стороны	8	3
93	вслед за	6	3
94	но если	5	3
95	всяком случае	3	3
96	какой бы	2	3
97	но и	14	3
98	тому чтобы	2	3
99	в своих	2	3
100	в которых	3	3
101	в то	16	3
102	во все	3	3
103	в одном	2	3
104	идет о	3	3
105	но не	5	3
106	ли это	3	3
107	она не	2	3
108	и этот	2	3
109	что и	3	3
110	так и	10	3
111	как в	3	3
112	во всей	2	3
113	и сейчас	2	3
114	тем самым	5	3
115	и для	3	3
116	во всяком	3	3
117	от этого	5	3
118	тем что	3	3
119	в виде	5	3
120	далеко не	2	3
121	в той	5	3
122	на этот	2	3
123	место в	3	2
124	бы и	3	2
125	столь же	5	2
126	с другой	7	2
127	и от	3	2
128	прежде всего	9	2
129	вопрос о	4	2
130	для понимания	2	2
131	одна и	2	2
132	такой же	2	2
133	или вернее	2	2
134	же время	14	2
135	и та	2	2
136	в котором	2	2
137	не является	3	2
138	точка зрения	2	2
139	нам кажется	7	2
140	только одно	2	2
141	в их	11	2
142	другой стороны	2	2
143	именно в	4	2
144	и наконец	2	2
145	не имеет	4	2
146	в результате	3	2
147	и с	2	2
148	также и	7	2
149	не в	5	2
150	и потому	5	2
151	но в	14	2
152	в них	3	2
153	думать что	8	2
154	в англию	2	2
155	и к	3	2
156	в ее	8	2
157	представляет собой	3	2
158	можно сказать	4	2
159	кажется что	2	2
160	во всех	6	2
161	иначе говоря	2	2
162	даже в	4	2
163	бы то	4	2
164	что эти	2	2
165	со стороны	5	2
166	не на	4	2
167	и эта	2	2
168	хотя бы	15	2
169	и то	2	2
170	ни на	3	2
