N	2gram	Losev_Prob_3	Tragedij
1	и в	44	18
2	в этом	17	9
3	не только	14	8
4	он сам	4	7
5	и не	35	7
6	и с	9	7
7	может быть	28	7
8	как бы	9	7
9	что он	9	6
10	и его	5	6
11	но в	12	6
12	все же	6	5
13	что это	3	5
14	так и	10	5
15	это не	9	5
16	не может	7	5
17	то же	13	5
18	как и	10	5
19	в то	9	5
20	но и	10	4
21	то что	23	4
22	в целом	6	4
23	что в	8	4
24	все это	5	4
25	прежде всего	3	4
26	и все	3	4
27	в нем	9	4
28	и даже	14	4
29	так же	5	4
30	том что	12	4
31	но это	8	4
32	в этой	3	4
33	и что	7	4
34	в себе	8	4
35	еще не	5	4
36	об этом	3	4
37	уже в	3	3
38	с ее	2	3
39	о чем	2	3
40	отнюдь не	10	3
41	в своем	5	3
42	никто не	2	3
43	в конце	5	3
44	как в	5	3
45	все эти	7	3
46	тем самым	5	3
47	жизнь и	2	3
48	и как	3	3
49	в его	9	3
50	для него	3	3
51	при этом	4	3
52	и сам	5	3
53	как будто	3	3
54	как это	2	3
55	с ним	7	3
56	то есть	34	3
57	не имеет	9	2
58	перед нами	8	2
59	и до	2	2
60	не был	2	2
61	что и	9	2
62	только к	2	2
63	раз и	4	2
64	в частности	2	2
65	и за	2	2
66	в отличие	2	2
67	состоит из	5	2
68	данном случае	7	2
69	который в	2	2
70	то и	5	2
71	в известной	2	2
72	по мнению	2	2
73	даже если	2	2
74	что все	2	2
75	пусть мы	2	2
76	а как	2	2
77	не просто	23	2
78	но эта	3	2
79	уже не	7	2
80	к тому	3	2
81	о его	2	2
82	не так	3	2
83	и здесь	5	2
84	ни в	8	2
85	в ее	4	2
86	в том	21	2
87	друг друга	2	2
88	отличие от	3	2
89	но все	3	2
90	так что	12	2
91	в таком	5	2
92	не в	13	2
93	с первого	3	2
94	тут же	4	2
95	точно так	3	2
96	в данном	9	2
97	и то	14	2
98	потому что	25	2
99	ничем не	2	2
100	с тем	5	2
101	тем что	4	2
102	в виде	6	2
103	чем он	2	2
104	только о	3	2
105	он и	2	2
106	и ее	3	2
107	по поводу	2	2
108	о том	6	2
109	его в	3	2
110	и это	9	2
111	в самом	3	2
112	это уже	3	2
113	ничего не	3	2
114	он не	8	2
115	никогда не	6	2
