N	2gram	Tiupa_Vved_1	DiskursI
1	в себе	5	19
2	при этом	26	17
3	состоит в	10	16
4	в качестве	8	16
5	и в	13	16
6	может быть	18	16
7	как и	11	16
8	в этом	21	16
9	и не	12	15
10	а не	15	14
11	в частности	13	12
12	и т.п	9	12
13	в отличие	2	12
14	отличие от	2	12
15	то есть	8	12
16	в мире	8	11
17	представляет собой	15	11
18	но и	19	11
19	тогда как	10	11
20	но в	6	11
21	том что	7	10
22	не только	20	10
23	своего рода	10	10
24	со стороны	5	10
25	такого рода	16	9
26	так и	8	9
27	не может	7	9
28	в том	10	8
29	а также	8	8
30	как в	4	8
31	в рамках	4	7
32	не менее	4	7
33	художественного письма	7	7
34	прежде всего	7	7
35	в нем	5	7
36	но не	5	7
37	картины мира	5	7
38	при всей	2	7
39	в данном	13	7
40	по мысли	5	6
41	отнюдь не	7	6
42	еще не	7	6
43	все же	6	6
44	в своей	5	6
45	данном случае	6	6
46	то же	5	6
47	тем самым	5	6
48	в своих	2	6
49	по своей	3	6
50	а с	2	5
51	что в	3	5
52	в своем	5	5
53	с другой	5	5
54	нового времени	3	5
55	в противовес	3	5
56	же время	3	5
57	для него	3	5
58	то что	6	5
59	и на	3	5
60	коммуникативного события	5	5
61	в то	4	5
62	одного из	3	4
63	к этому	2	4
64	с позиции	2	4
65	не сводится	4	4
66	к его	3	4
67	в пределах	2	4
68	одной стороны	5	4
69	как бы	4	4
70	времени в	3	4
71	отношению к	7	4
72	по отношению	7	4
73	этом отношении	4	4
74	с одной	5	4
75	картина мира	12	4
76	в рассказе	6	4
77	потому что	5	4
78	в основе	3	4
79	о том	5	4
80	картину мира	3	4
81	мира и	2	4
82	не является	3	4
83	перед нами	6	3
84	жизни в	4	3
85	очевидным образом	2	3
86	могут быть	4	3
87	восходит к	2	3
88	в этих	3	3
89	в них	2	3
90	это не	6	3
91	не столько	4	3
92	из этих	3	3
93	и все	4	3
94	или иной	3	3
95	уже не	5	3
96	и того	2	3
97	не в	6	3
98	соответствии с	6	3
99	своего и	2	3
100	можно сказать	4	3
101	например в	2	3
102	он не	3	3
103	той или	3	3
104	в его	4	3
105	еще в	2	3
106	в котором	8	3
107	принадлежит к	3	3
108	жизни и	7	3
109	коммуникативное событие	6	3
110	присутствия в	7	3
111	в тексте	10	3
112	приводит к	2	3
113	не было	2	3
114	иначе говоря	6	3
115	и наконец	2	3
116	также и	4	3
117	и его	5	3
118	но это	3	3
119	следует признать	4	3
120	[...] в	2	3
121	всей своей	2	3
122	как будто	4	3
123	только в	6	3
124	не следует	3	3
125	мира в	8	3
126	место в	2	2
127	картин мира	2	2
128	никогда не	4	2
129	по большей	3	2
130	которая в	3	2
131	или напротив	2	2
132	и чужого	2	2
133	в окказиональном	2	2
134	в целом	3	2
135	вследствие этого	3	2
136	большей части	3	2
137	нарративную интригу	2	2
138	что на	2	2
139	писателя с	2	2
140	в ходе	2	2
141	в той	4	2
142	в соответствии	6	2
143	а к	3	2
144	от лат	5	2
145	картине мира	4	2
146	есть в	2	2
147	времени и	7	2
148	должна быть	2	2
149	отношение к	2	2
150	о чем	2	2
151	персонажей и	2	2
152	в ряду	2	2
153	х гг	3	2
154	в ней	4	2
155	далеко не	4	2
156	по сути	2	2
157	не с	3	2
158	что и	2	2
159	рассказчика и	2	2
160	не к	4	2
161	это мир	2	2
162	что же	3	2
163	человеческой жизни	3	2
164	дистанция между	2	2
165	сводится к	4	2
166	ситуации и	3	2
167	другой стороны	2	2
168	и для	3	2
169	как субъект	2	2
170	а в	6	2
171	в концовке	2	2
172	тому как	2	2
173	являет собой	2	2
174	в результате	3	2
175	их в	2	2
176	пока еще	4	2
177	и с	2	2
178	не о	2	2
179	подобно тому	2	2
180	говорить о	2	2
181	рассказ в	2	2
182	и адресата	2	2
183	здесь не	2	2
184	в области	3	2
185	мы имеем	5	2
186	но при	5	2
