N	3gram	Vinokur_Vv_1	Hudozhes
1	в том что	12	11
2	о том что	12	7
3	по отношению к	4	7
4	то же время	5	4
5	в то же	5	4
6	с одной стороны	4	3
7	в самом деле	5	3
8	в соответствии с	2	3
9	не может быть	8	3
10	тем не менее	8	3
11	для того чтобы	21	3
12	как будто бы	2	2
13	только в том	2	2
14	в данном случае	4	2
15	же самое что	2	2
16	хотя бы и	2	2
17	состоит в том	2	2
18	и в этом	3	2
19	до сих пор	5	2
20	с точки зрения	2	2
21	то же самое	2	2
22	и т д	37	2
23	не только в	4	2
24	можно было бы	3	2
25	и т п	5	2
