N	2gram	Vygotskiy__4	NovoeSre
1	а не	6	17
2	не может	10	16
3	и в	33	16
4	и не	13	11
5	и есть	4	10
6	что в	21	9
7	жизни и	4	8
8	он не	11	8
9	в том	21	8
10	не будет	4	7
11	как и	5	7
12	в этом	28	7
13	может быть	22	7
14	с его	2	6
15	никогда не	5	6
16	не в	2	6
17	ни в	3	6
18	в нем	7	5
19	все это	13	5
20	в жизни	4	5
21	с ее	3	5
22	и к	2	5
23	в ней	6	5
24	не только	7	5
25	то что	44	4
26	в них	2	4
27	это не	6	4
28	и все	12	4
29	не было	3	4
30	не имеет	2	4
31	и для	3	4
32	должно быть	3	4
33	потому что	24	4
34	прежде всего	2	4
35	и мы	15	4
36	о том	20	4
37	и потому	2	4
38	но и	3	3
39	в своей	4	3
40	с другой	2	3
41	вопрос о	2	3
42	во всех	2	3
43	перейти к	2	3
44	к тому	12	3
45	в мире	3	3
46	в ее	2	3
47	в основе	3	3
48	с тем	4	3
49	конечно не	3	3
50	как в	3	3
51	она не	3	3
52	тому как	2	3
53	сказать что	13	3
54	это было	4	3
55	что все	11	2
56	времени и	2	2
57	я не	4	2
58	все время	24	2
59	себя в	4	2
60	нем нет	2	2
61	место в	2	2
62	у него	6	2
63	вместе с	8	2
64	все они	2	2
65	так и	3	2
66	что она	10	2
67	для этого	8	2
68	и формы	2	2
69	другой стороны	2	2
70	и от	2	2
71	а в	4	2
72	с одной	3	2
73	все эти	6	2
74	думать что	2	2
75	такой же	2	2
76	того чтобы	22	2
77	одной стороны	3	2
78	хотя бы	2	2
79	но не	3	2
80	так же	13	2
81	по существу	2	2
82	это и	5	2
83	время как	2	2
84	мы не	5	2
85	том что	22	2
86	можно было	4	2
87	же как	3	2
88	одна из	4	2
89	и с	2	2
90	и что	25	2
91	силы и	2	2
92	с этим	5	2
93	переход к	2	2
94	и на	5	2
95	в себе	6	2
96	ли это	3	2
97	в то	3	2
98	как будто	8	2
99	и это	5	2
100	для чего	4	2
101	когда мы	6	2
102	том чтобы	4	2
103	как это	14	2
104	должно было	2	2
105	но в	2	2
