N	2gram	Nazirov_Tv_1	VerxiiNi
1	и в	21	26
2	таким образом	5	22
3	вместе с	2	15
4	в этом	6	15
5	как бы	17	12
6	в том	7	11
7	может быть	5	10
8	не только	7	10
9	и с	3	10
10	что в	12	9
11	но и	3	9
12	так как	3	9
13	с другой	3	8
14	но не	3	8
15	и не	7	8
16	и у	2	8
17	том что	11	7
18	из них	2	7
19	то что	8	7
20	потому что	5	7
21	но в	7	7
22	представление о	3	6
23	к тому	2	6
24	того же	2	6
25	что и	2	6
26	все же	5	6
27	так и	2	6
28	все это	10	6
29	в себе	2	6
30	о том	6	6
31	крайней мере	2	5
32	одной из	4	5
33	в его	13	5
34	никогда не	3	5
35	к жизни	2	5
36	так же	3	5
37	а не	5	5
38	в мире	4	5
39	по крайней	2	5
40	в этих	2	4
41	и от	4	4
42	что все	3	4
43	что он	6	4
44	в нем	3	4
45	русской жизни	4	4
46	в самом	3	4
47	в котором	6	4
48	не может	4	4
49	а в	6	4
50	то же	13	4
51	и по	3	4
52	бога и	2	4
53	в виде	3	4
54	он не	8	4
55	в то	15	4
56	только в	5	4
57	то есть	12	4
58	в этой	5	4
59	далеко не	3	4
60	не менее	6	3
61	и другие	3	3
62	хотя бы	5	3
63	точно так	2	3
64	к этому	2	3
65	можно сказать	2	3
66	для него	6	3
67	с самого	3	3
68	так что	2	3
69	и как	4	3
70	из всех	4	3
71	представляет собой	3	3
72	в своем	4	3
73	в качестве	2	3
74	к достижению	2	3
75	если в	2	3
76	тем не	2	3
77	когда он	2	3
78	при этом	7	3
79	уже не	3	3
80	того что	3	3
81	и даже	3	3
82	в которой	3	3
83	уже в	3	2
84	самого начала	3	2
85	с его	11	2
86	именно в	2	2
87	из себя	2	2
88	и мир	2	2
89	больше не	4	2
90	прежде всего	4	2
91	надо было	2	2
92	в свою	7	2
93	был всегда	2	2
94	же время	12	2
95	тот же	2	2
96	со всеми	3	2
97	мысль о	2	2
98	время он	2	2
99	героев и	3	2
100	вслед за	2	2
101	некоторые из	2	2
102	но если	3	2
103	один из	4	2
104	жизни и	3	2
105	приводит к	2	2
106	только что	2	2
107	добра и	3	2
108	одновременно и	2	2
109	в одно	2	2
110	свидетельствует о	2	2
111	одним из	4	2
112	и на	7	2
113	людей и	2	2
114	связан с	3	2
115	сказать что	2	2
116	больше чем	2	2
117	не в	2	2
118	и наконец	2	2
119	когда человек	2	2
120	о котором	2	2
121	от людей	2	2
122	и все	6	2
123	в россии	3	2
124	в виду	2	2
