N	2gram	Vygotskiy__4	Problemy
1	и в	20	34
2	и не	8	29
3	как бы	7	27
4	что он	6	23
5	в его	11	22
6	может быть	12	19
7	в нем	2	19
8	не может	6	19
9	как и	9	18
10	но в	3	16
11	и его	5	16
12	в этом	24	16
13	и с	4	15
14	прежде всего	2	15
15	то же	16	14
16	к нему	2	14
17	самом деле	7	13
18	для него	2	13
19	но и	9	12
20	и к	5	12
21	потому что	12	12
22	в сущности	4	11
23	то что	15	11
24	не только	15	10
25	слова и	5	10
26	в отношении	10	9
27	не в	4	9
28	а не	7	9
29	никогда не	5	8
30	в самом	6	8
31	так же	11	8
32	точки зрения	24	8
33	и для	4	8
34	слова в	9	7
35	что в	19	7
36	этого слова	11	7
37	все же	5	7
38	с которым	2	7
39	как мы	13	7
40	что они	14	6
41	не знает	2	6
42	и на	6	6
43	мы уже	5	6
44	так и	5	6
45	в себе	10	6
46	только в	10	6
47	все время	4	5
48	что это	2	5
49	это не	5	5
50	и от	3	5
51	к тому	6	5
52	так что	3	5
53	и что	8	5
54	того что	10	5
55	всяком случае	3	5
56	себе и	3	5
57	в целом	11	5
58	из них	4	5
59	таким образом	25	5
60	а в	2	5
61	мы должны	11	5
62	с тем	6	5
63	это слово	2	5
64	даже в	2	5
65	что и	9	5
66	и у	2	5
67	в слове	2	5
68	во всяком	4	5
69	в чем	3	5
70	с другой	12	4
71	что все	3	4
72	ни в	3	4
73	на этом	3	4
74	у него	2	4
75	при этом	12	4
76	на его	3	4
77	все эти	5	4
78	но как	2	4
79	в начале	2	4
80	его в	6	4
81	так как	10	4
82	если бы	5	4
83	этом смысле	8	4
84	но не	3	4
85	еще не	2	4
86	с таким	3	4
87	как в	5	4
88	только на	2	4
89	с точки	11	4
90	тем что	7	4
91	в виде	3	4
92	и это	2	4
93	вместе с	8	4
94	не менее	3	3
95	уже в	6	3
96	но так	2	3
97	в каждом	2	3
98	его к	4	3
99	словом и	4	3
100	в том	42	3
101	такой же	2	3
102	знает что	3	3
103	что с	4	3
104	в реальном	2	3
105	но для	2	3
106	в него	2	3
107	в виду	3	3
108	мы видели	6	3
109	уже говорили	2	3
110	другой стороны	9	3
111	к одному	6	3
112	должно быть	3	3
113	для других	2	3
114	их в	2	3
115	говорит он	5	3
116	в ней	2	3
117	во всем	3	3
118	в высшей	2	3
119	как он	4	3
120	бы в	3	3
121	под влиянием	2	3
122	и во	3	3
123	том что	35	3
124	по своему	4	3
125	между тем	9	3
126	со словом	2	3
127	в своей	7	3
128	только что	4	3
129	а с	2	3
130	если не	2	3
131	и как	9	3
132	и то	10	3
133	высшей степени	2	3
134	далеко не	2	3
135	понятно что	2	2
136	тому что	4	2
137	столь же	3	2
138	вообще не	2	2
139	с этой	4	2
140	это в	2	2
141	этом случае	3	2
142	слова мы	3	2
143	мы и	2	2
144	же слова	2	2
145	собой и	2	2
146	друг с	7	2
147	в другой	2	2
148	что такое	5	2
149	не является	5	2
150	один из	3	2
151	друг друга	4	2
152	по которому	2	2
153	отличается от	2	2
154	в своем	4	2
155	и только	4	2
156	что оно	4	2
157	те же	6	2
158	увидим что	5	2
159	друг на	5	2
160	с этим	5	2
161	на одном	2	2
162	на друга	5	2
163	самого себя	2	2
164	о том	5	2
165	сказать что	6	2
166	слово в	6	2
167	к которому	3	2
168	нисколько не	2	2
169	смысле этого	7	2
170	отнюдь не	3	2
171	и того	5	2
172	того же	9	2
173	очень часто	2	2
174	с другом	7	2
175	тот же	9	2
176	было бы	8	2
177	со всеми	3	2
178	раз в	2	2
179	не бывает	2	2
180	слова не	3	2
181	когда он	3	2
182	в отличие	2	2
183	входит в	2	2
184	тому же	6	2
185	в той	2	2
186	и он	2	2
187	в которой	3	2
188	той же	6	2
189	тому как	2	2
190	они действительно	2	2
191	между двумя	2	2
192	подобно тому	2	2
193	которые в	4	2
194	этими двумя	2	2
195	отличие от	2	2
196	же не	2	2
