N	2gram	Medvedev_F_1	DiskursI
1	не только	7	28
2	в том	6	23
3	а не	10	22
4	может быть	14	17
5	и в	24	16
6	как и	11	16
7	в этом	15	15
8	еще не	6	14
9	но и	7	14
10	при этом	5	13
11	прежде всего	22	11
12	но не	3	11
13	и не	20	11
14	с другой	5	10
15	как в	8	10
16	в частности	4	9
17	в нем	14	9
18	отношению к	4	9
19	одной стороны	4	9
20	по отношению	4	9
21	не может	16	9
22	с одной	4	9
23	отнюдь не	6	8
24	так и	18	8
25	но в	5	8
26	в основе	3	7
27	в его	23	7
28	со стороны	5	7
29	то же	10	7
30	не было	3	7
31	в себе	3	7
32	только в	2	7
33	не в	8	7
34	в своем	11	6
35	и как	3	6
36	к тому	3	5
37	как бы	6	5
38	в своей	11	5
39	то что	8	5
40	во всех	5	5
41	в процессе	9	5
42	а в	6	5
43	в их	11	5
44	сводится к	3	5
45	и на	8	5
46	с его	4	4
47	что в	4	4
48	в них	3	4
49	не как	4	4
50	и к	4	4
51	что он	3	4
52	уже не	2	4
53	для него	3	4
54	в истории	4	4
55	в целом	6	4
56	же время	8	4
57	одной из	2	4
58	связи с	3	4
59	на его	2	4
60	отношение к	3	4
61	в особенности	3	4
62	лишь в	8	4
63	между тем	2	4
64	это не	2	3
65	по себе	5	3
66	не сводится	2	3
67	что и	2	3
68	в ее	8	3
69	свою очередь	6	3
70	в свою	8	3
71	литературного произведения	4	3
72	с этим	2	3
73	в действительности	2	3
74	в самом	5	3
75	еще в	2	3
76	или на	2	3
77	один из	3	3
78	не с	2	3
79	хотя бы	5	3
80	все же	3	3
81	бы быть	2	3
82	в строгом	2	3
83	таким образом	13	3
84	именно в	8	3
85	того что	5	3
86	должны быть	5	3
87	и даже	3	3
88	в своих	2	3
89	точки зрения	16	3
90	в то	9	3
91	в произведении	2	3
92	и потому	9	3
93	мира в	2	3
94	литературы в	8	2
95	одновременно с	2	2
96	не менее	11	2
97	никогда не	4	2
98	и все	6	2
99	в одном	2	2
100	в каждом	3	2
101	в году	2	2
102	в литературе	5	2
103	стороны и	4	2
104	его как	3	2
105	в пределах	6	2
106	тот или	2	2
107	более того	3	2
108	общения и	2	2
109	более или	6	2
110	о литературе	6	2
111	отличается от	3	2
112	так например	3	2
113	не от	2	2
114	не сможет	2	2
115	в ряду	2	2
116	к другим	2	2
117	и др	5	2
118	произведение в	3	2
119	сами по	2	2
120	оно не	4	2
121	точка зрения	2	2
122	не могло	5	2
123	не есть	2	2
124	с ее	7	2
125	того или	2	2
126	когда он	3	2
127	в различных	2	2
128	или менее	6	2
129	приводит к	2	2
130	за пределы	2	2
131	целый ряд	3	2
132	жизни в	2	2
133	как к	3	2
134	отношения к	6	2
135	может и	2	2
136	становления и	3	2
137	как мы	5	2
138	не приходится	2	2
139	и что	2	2
140	том чтобы	2	2
141	в науке	2	2
142	эпохи и	2	2
143	в современном	2	2
144	и его	10	2
145	как их	2	2
146	здесь в	2	2
147	во всяком	4	2
148	и ее	10	2
149	к которому	2	2
150	могла бы	2	2
151	в этой	6	2
152	так сказать	3	2
153	они не	3	2
154	в литературоведении	3	2
155	влияния на	2	2
