N	2gram	Voloshinov_1	Morfolog
1	может быть	17	52
2	и пр	12	40
3	таким образом	9	20
4	не может	8	17
5	в этих	3	16
6	могут быть	3	15
7	с этим	2	14
8	и в	16	13
9	в этом	9	13
10	и др	3	12
11	так как	4	12
12	мы видим	2	11
13	прежде всего	9	9
14	так и	4	9
15	то же	2	9
16	и не	4	9
17	что и	2	8
18	и этим	2	7
19	не могут	2	6
20	в том	3	6
21	а в	3	6
22	во время	3	6
23	не менее	2	5
24	если мы	2	5
25	во всех	3	5
26	как бы	5	5
27	один из	2	5
28	то что	3	5
29	мы не	2	5
30	что в	3	4
31	и как	3	4
32	было бы	2	4
33	не только	7	4
34	как мы	4	4
35	тех же	3	4
36	так же	2	4
37	как и	2	4
38	точки зрения	8	4
39	с точки	6	4
40	на этом	3	4
41	его в	4	4
42	между собой	2	3
43	в начале	2	3
44	том что	3	3
45	но это	2	3
46	здесь же	2	3
47	в пределах	2	3
48	он не	2	3
49	ни в	5	3
50	но и	4	3
51	пр и	3	3
52	на самом	4	3
53	самом деле	6	3
54	и по	2	3
55	и для	2	3
56	можно назвать	2	3
57	мы можем	9	3
58	и ее	4	3
59	в один	4	3
60	но в	4	3
61	совсем не	2	2
62	в частности	2	2
63	хотя бы	4	2
64	к этому	2	2
65	что он	2	2
66	можно сказать	4	2
67	и к	6	2
68	на первый	2	2
69	путь к	2	2
70	только в	4	2
71	а на	2	2
72	в большинстве	3	2
73	есть и	2	2
74	момент в	2	2
75	для него	6	2
76	мы уже	2	2
77	во сне	2	2
78	себя и	2	2
79	оно не	2	2
80	не существует	2	2
81	и таким	2	2
82	и только	9	2
83	все эти	5	2
84	к себе	3	2
85	что такое	5	2
86	и его	8	2
87	друг на	2	2
88	в каком	2	2
89	на друга	2	2
90	не знает	2	2
91	что мы	2	2
92	о том	2	2
93	в свое	2	2
94	большинстве случаев	3	2
95	сказать что	7	2
96	как это	3	2
