N	2gram	Bakhtin_Pr_5	slovoVRo
1	и в	35	41
2	в нем	16	30
3	то есть	16	26
4	в роман	2	19
5	во всех	3	17
6	но и	14	16
7	и не	27	16
8	точки зрения	7	16
9	не только	10	16
10	а не	4	15
11	то же	15	14
12	в пределах	11	14
13	может быть	14	14
14	не может	18	14
15	и его	14	14
16	и на	6	14
17	в то	11	14
18	в сущности	14	13
19	в его	21	13
20	слова и	11	13
21	же время	10	12
22	до конца	4	12
23	как бы	31	12
24	в этом	14	12
25	так и	8	11
26	в большинстве	2	10
27	слово в	2	10
28	в той	4	10
29	или иной	4	9
30	той или	4	9
31	таким образом	7	9
32	все эти	3	9
33	себя в	2	9
34	иной степени	2	9
35	слова в	6	8
36	прежде всего	12	8
37	на его	4	8
38	но в	19	8
39	как в	5	8
40	как мы	8	8
41	с точки	2	8
42	или в	2	8
43	с чужим	2	8
44	не в	10	7
45	отношение к	6	7
46	с ним	7	7
47	вовсе не	7	7
48	в своей	4	7
49	все же	8	7
50	в слове	6	7
51	во всяком	4	7
52	в отношении	9	6
53	это не	3	6
54	при этом	2	6
55	и даже	5	6
56	а в	7	6
57	большинстве случаев	2	6
58	в плане	6	6
59	в них	4	6
60	к чужому	4	6
61	к своему	5	6
62	только в	6	6
63	отношении к	7	6
64	с другой	4	5
65	и мир	2	5
66	со своим	2	5
67	в самом	6	5
68	всяком случае	4	5
69	на слушателя	2	5
70	все это	14	5
71	точек зрения	2	5
72	как его	3	5
73	и к	12	5
74	к нему	13	5
75	с другими	2	5
76	он в	4	5
77	так сказать	2	5
78	и от	3	4
79	в каждом	6	4
80	в ней	2	4
81	с ее	3	4
82	за пределы	3	4
83	лишь в	7	4
84	и наконец	7	4
85	рядом с	4	4
86	и с	12	4
87	в которой	2	4
88	и все	15	4
89	с его	7	4
90	всех этих	2	4
91	не как	3	4
92	лежит в	2	4
93	как и	18	4
94	здесь в	2	4
95	еще не	7	4
96	но именно	2	4
97	о нем	2	4
98	быть и	2	4
99	каждое слово	3	4
100	другой стороны	3	4
101	речи в	2	4
102	и для	8	4
103	там где	7	4
104	ничего не	3	4
105	все его	4	4
106	все время	4	3
107	никогда не	4	3
108	в тонах	2	3
109	хотя бы	2	3
110	переходит в	2	3
111	на всю	2	3
112	к тому	6	3
113	словом и	3	3
114	в том	5	3
115	и сам	7	3
116	для него	14	3
117	в него	3	3
118	из них	3	3
119	его и	3	3
120	в своем	2	3
121	того что	3	3
122	друг друга	2	3
123	вообще не	2	3
124	с ними	5	3
125	о том	2	3
126	его в	4	3
127	в первом	2	3
128	так как	4	3
129	вне себя	2	3
130	у него	4	3
131	и во	3	3
132	с этим	3	3
133	авторское слово	2	3
134	в себе	5	3
135	с этой	2	3
136	рассказчика и	5	3
137	было бы	3	3
138	его же	2	3
139	одной из	2	3
140	конечно не	2	3
141	он не	13	3
142	внутренней речи	5	3
143	но эти	2	3
144	момент его	2	3
145	из этого	2	3
146	в чужих	2	3
147	бы и	2	3
148	своему предмету	7	2
149	два голоса	3	2
150	свой предмет	2	2
151	тому что	2	2
152	столь же	2	2
153	голосов и	2	2
154	что все	2	2
155	речи героя	2	2
156	своего слова	3	2
157	войти в	2	2
158	ни было	3	2
159	так что	5	2
160	в построении	2	2
161	что они	6	2
162	на этом	2	2
163	стиля в	2	2
164	друг с	4	2
165	например в	2	2
166	сливается с	4	2
167	хотя и	2	2
168	и по	2	2
169	в целом	3	2
170	в этих	2	2
171	друг другу	4	2
172	как к	5	2
173	уже не	3	2
174	те же	2	2
175	этот стиль	2	2
176	его слово	4	2
177	должно быть	3	2
178	так же	7	2
179	время как	2	2
180	чужого слова	6	2
181	сказать что	3	2
182	потому что	8	2
183	в речах	6	2
184	же и	4	2
185	но он	4	2
186	рассказ в	3	2
187	с которыми	2	2
188	между тем	4	2
189	в романах	5	2
190	а как	2	2
191	в котором	3	2
192	бы его	3	2
193	в одном	6	2
194	том что	3	2
195	то в	2	2
196	но не	6	2
197	по своему	4	2
198	одно и	3	2
199	слов и	3	2
200	мы уже	8	2
201	его слова	2	2
202	с которым	4	2
203	наконец в	4	2
204	и самое	2	2
205	даже в	5	2
206	слово не	2	2
207	среди других	2	2
208	в ее	3	2
209	как раз	4	2
210	так в	2	2
211	а с	3	2
212	свои собственные	2	2
213	на самом	9	2
214	только на	4	2
215	и слово	8	2
216	и у	4	2
217	той же	2	2
218	такая же	2	2
219	можно было	2	2
220	и то	5	2
221	в виде	7	2
222	эти слова	3	2
223	а между	3	2
224	в другом	12	2
225	на протяжении	5	2
226	и вообще	2	2
227	с другом	4	2
228	голоса в	2	2
229	в эту	4	2
