N	2gram	Potebnia_M_4	Poddanst
1	не только	10	17
2	и в	23	14
3	и не	18	12
4	в области	2	11
5	в этом	23	10
6	то же	14	9
7	в том	23	9
8	но в	8	9
9	хотя бы	4	8
10	же время	3	7
11	в то	4	7
12	только в	15	7
13	быть может	4	6
14	но и	11	6
15	в ней	2	6
16	в смысле	3	6
17	было бы	8	6
18	с другой	2	5
19	не в	11	5
20	в которых	3	5
21	и о	4	5
22	может быть	26	5
23	в котором	4	4
24	то что	29	4
25	что в	17	4
26	если бы	13	4
27	в своем	8	4
28	не может	11	4
29	по себе	11	4
30	и к	6	4
31	а в	5	4
32	том что	12	4
33	мы должны	2	4
34	и если	3	4
35	как бы	5	4
36	и потому	10	4
37	сами по	2	3
38	в нем	7	3
39	и т	7	3
40	с тем	7	3
41	в сравнении	4	3
42	и без	2	3
43	столь же	2	3
44	это не	7	3
45	тем самым	4	3
46	для того	6	3
47	с точки	3	3
48	мы не	8	3
49	и как	2	3
50	с ними	3	3
51	между тем	9	3
52	могут быть	7	3
53	точки зрения	4	3
54	в себе	14	3
55	что мы	10	3
56	тот же	2	3
57	потому что	33	3
58	хотя и	5	3
59	не менее	5	2
60	и тем	4	2
61	в мире	2	2
62	именно в	3	2
63	и есть	3	2
64	тем более	5	2
65	со стороны	3	2
66	заключает в	8	2
67	в них	3	2
68	есть нечто	5	2
69	все это	5	2
70	с этим	7	2
71	между прочим	3	2
72	при посредстве	2	2
73	еще более	2	2
74	думать что	4	2
75	и других	3	2
76	было в	3	2
77	по-видимому не	2	2
78	а не	12	2
79	бы ни	2	2
80	того что	14	2
81	должно быть	5	2
82	для нас	14	2
83	в ее	2	2
84	говорить о	5	2
85	духа и	2	2
86	есть не	4	2
87	есть в	5	2
88	которое в	3	2
89	в силу	7	2
90	в виде	2	2
91	переход от	3	2
92	не нужно	2	2
93	не было	12	2
94	более чем	3	2
95	и мы	5	2
96	например в	3	2
97	и это	2	2
98	мысль о	6	2
99	в ряду	6	2
100	да и	4	2
101	в его	5	2
102	и с	4	2
