N	2gram	Tiupa_Anal_1	Narrotol
1	не только	15	32
2	может быть	29	25
3	но и	17	23
4	в качестве	31	21
5	и не	21	20
6	и в	18	19
7	то есть	11	19
8	в том	27	18
9	в этом	13	17
10	в тексте	5	16
11	в частности	19	14
12	том что	12	14
13	не в	14	14
14	состоит в	11	13
15	в рамках	3	12
16	а не	17	12
17	своего рода	3	12
18	тогда как	14	12
19	коммуникативного события	14	12
20	представляет собой	16	12
21	то что	6	11
22	а в	9	11
23	не может	22	10
24	точки зрения	6	10
25	при этом	12	9
26	со стороны	2	9
27	так и	4	9
28	в его	13	9
29	в мире	8	9
30	с другой	4	8
31	героя в	2	8
32	не является	2	8
33	во времени	4	8
34	и т.п	5	8
35	в себе	11	8
36	времени и	6	7
37	в случае	6	7
38	как и	13	7
39	еще не	3	7
40	к тому	7	7
41	такого рода	5	7
42	а также	3	7
43	все же	4	7
44	по отношению	6	7
45	с одной	3	7
46	одной стороны	3	7
47	том числе	3	6
48	с его	3	6
49	что он	3	6
50	отношению к	5	6
51	то в	2	6
52	но не	10	6
53	именно в	4	6
54	в себя	6	6
55	в той	8	6
56	тем самым	7	6
57	иначе говоря	9	6
58	о том	5	6
59	но в	8	6
60	и как	5	5
61	отнюдь не	15	5
62	нуждается в	8	5
63	по себе	4	5
64	или иной	6	5
65	можно сказать	2	5
66	тому же	4	5
67	себя в	6	5
68	не предполагает	2	5
69	и пространстве	4	5
70	не все	2	5
71	уже не	4	5
72	к нему	3	5
73	и его	5	5
74	в данном	2	5
75	в основе	6	5
76	между двумя	3	5
77	в отличие	6	5
78	отличие от	6	5
79	в этой	5	5
80	далеко не	6	5
81	мира в	2	5
82	прежде всего	6	4
83	одного из	2	4
84	в нем	3	4
85	что не	3	4
86	то же	9	4
87	основе своей	2	4
88	жизненной позиции	2	4
89	в силу	3	4
90	в противовес	2	4
91	при всей	2	4
92	же время	6	4
93	было бы	2	4
94	имеет место	5	4
95	той или	6	4
96	как бы	5	4
97	о нем	3	4
98	хотя бы	3	4
99	данном случае	2	4
100	другой стороны	2	4
101	отличается от	2	4
102	из которых	4	4
103	в принципе	8	4
104	не столько	2	4
105	только в	6	4
106	как правило	4	4
107	здесь не	2	4
108	и с	2	4
109	по мысли	3	3
110	а с	3	3
111	текста на	2	3
112	ни было	4	3
113	что в	5	3
114	могут быть	4	3
115	> в	3	3
116	никогда не	2	3
117	из этих	2	3
118	но о	2	3
119	ни в	4	3
120	различного рода	2	3
121	в присутствии	2	3
122	в сущности	6	3
123	он не	3	3
124	и самого	2	3
125	если в	3	3
126	один из	2	3
127	не с	4	3
128	не есть	8	3
129	не будет	3	3
130	как говорит	2	3
131	бы то	3	3
132	в первом	2	3
133	из них	2	3
134	коммуникативное событие	6	3
135	в эпизоде	2	3
136	а именно	3	3
137	особенно в	2	3
138	то ни	3	3
139	этом отношении	2	3
140	сюжетного повествования	2	3
141	как мы	2	3
142	сводится к	5	3
143	значении этого	7	3
144	столь же	4	3
145	и на	5	3
146	и рецептивная	2	3
147	будто бы	3	3
148	между тем	5	3
149	не о	2	3
150	на себя	2	3
151	в конечном	4	3
152	по своей	6	3
153	в то	9	3
154	как будто	3	3
155	по бахтину	2	3
156	бы быть	3	3
157	героя к	2	3
158	в произведении	5	3
159	присутствия в	2	3
160	дело с	4	2
161	этом ряду	2	2
162	художественного высказывания	2	2
163	не являются	2	2
164	бы не	2	2
165	дискурс в	2	2
166	говорит и	2	2
167	себя и	4	2
168	конечном счете	4	2
169	между собой	2	2
170	которая в	3	2
171	в какой	2	2
172	в противоположность	2	2
173	первом случае	2	2
174	текста в	12	2
175	быть может	2	2
176	личности в	3	2
177	она может	3	2
178	не всегда	4	2
179	или иного	3	2
180	в собственном	3	2
181	в литературе	4	2
182	не сводится	2	2
183	что именно	2	2
184	и представляет	3	2
185	по выражению	2	2
186	что иное	5	2
187	субъекта и	4	2
188	поведения в	2	2
189	том или	3	2
190	во внешнем	3	2
191	имеем дело	4	2
192	как известно	3	2
193	не что	4	2
194	для него	2	2
195	обозначить как	2	2
196	в пределах	2	2
197	читателя в	2	2
198	выступает в	2	2
199	несмотря на	2	2
200	в роли	2	2
201	и потому	2	2
202	даже в	3	2
203	нет и	2	2
204	сами по	2	2
205	в любом	3	2
206	в культуре	3	2
207	и до	2	2
208	который в	2	2
209	отношение к	2	2
210	как к	2	2
211	отношения к	2	2
212	мифологическое мышление	2	2
213	собой не	2	2
214	все эти	2	2
215	в двух	2	2
216	символическое воскресение	2	2
217	самом деле	2	2
218	как справедливо	3	2
219	организации текста	3	2
220	что мы	3	2
221	того или	3	2
222	одним из	3	2
223	с точки	4	2
224	это не	6	2
225	роль в	2	2
226	бесконечно репродуцируемых	2	2
227	в таком	3	2
228	тому как	3	2
229	я героя	2	2
230	не случайно	3	2
231	тем более	2	2
232	каждый из	2	2
233	однако в	3	2
234	или ином	3	2
235	подобно тому	3	2
236	смысла но	4	2
237	исходя из	4	2
238	события в	2	2
239	даже самое	2	2
240	художественного текста	12	2
241	и соответственно	4	2
242	этого слова	7	2
243	и все	3	2
244	жизни но	2	2
245	представляют собой	2	2
246	всего лишь	4	2
247	оно может	3	2
248	мы имеем	6	2
249	иное как	5	2
250	таком случае	3	2
251	и одновременно	3	2
252	мировое древо	2	2
