N	2gram	Tiupa_Narr_2	Psycholo
1	то что	8	37
2	и в	13	30
3	в том	14	27
4	что в	4	24
5	и что	2	23
6	потому что	2	23
7	том что	13	21
8	таким образом	5	20
9	того чтобы	3	20
10	как бы	6	19
11	что он	5	17
12	на то	2	17
13	не только	26	16
14	в самом	2	14
15	в этом	13	14
16	так же	2	13
17	как раз	3	13
18	то есть	9	13
19	одной стороны	5	12
20	с одной	5	12
21	если бы	4	11
22	может быть	10	11
23	как на	2	11
24	о том	5	10
25	никогда не	6	9
26	с другой	5	9
27	и когда	3	9
28	не может	8	9
29	сказать что	3	9
30	что это	4	8
31	тому что	3	8
32	мы имеем	3	8
33	к тому	9	8
34	не в	8	8
35	а не	17	8
36	при этом	14	8
37	того что	6	8
38	самом деле	3	8
39	в нем	5	7
40	но не	3	7
41	все же	6	7
42	и т	2	7
43	то же	4	7
44	действующих лиц	3	7
45	точки зрения	5	7
46	героя и	2	7
47	как это	4	7
48	в своем	6	6
49	что она	2	6
50	именно в	2	6
51	как и	4	6
52	что с	2	6
53	и тем	5	6
54	и для	3	6
55	но и	15	6
56	и не	14	6
57	жизни и	4	6
58	и его	3	6
59	и здесь	2	6
60	никак не	3	6
61	о котором	3	6
62	дело с	2	5
63	только не	2	5
64	в целом	3	5
65	обратиться к	2	5
66	несмотря на	2	5
67	в этой	4	5
68	что они	3	5
69	еще не	2	5
70	было бы	2	5
71	один из	3	5
72	а с	2	5
73	сводится к	9	5
74	в своих	2	5
75	в себе	8	5
76	но в	6	5
77	только в	11	5
78	ответ на	5	5
79	бы в	2	5
80	в результате	2	4
81	в частности	11	4
82	и все	4	4
83	прежде всего	6	4
84	именно то	2	4
85	говорит о	2	4
86	у нас	2	4
87	и к	6	4
88	мысль о	2	4
89	в своей	4	4
90	в ней	2	4
91	в его	6	4
92	в него	2	4
93	только на	2	4
94	только что	2	4
95	внимание на	3	4
96	а в	9	4
97	на одном	2	4
98	могли бы	2	4
99	в конце	4	4
100	должен был	2	4
101	о чем	2	4
102	и уже	4	3
103	у него	6	3
104	что у	2	3
105	хотя бы	2	3
106	это не	3	3
107	из этих	2	3
108	состоит в	12	3
109	вовсе не	2	3
110	для нас	2	3
111	об этом	4	3
112	эти два	2	3
113	одна из	3	3
114	в свою	2	3
115	для него	4	3
116	имеет место	2	3
117	он не	5	3
118	одном полюсе	2	3
119	в ее	4	3
120	что и	2	3
121	данном случае	6	3
122	так и	9	3
123	со стороны	6	3
124	как в	5	3
125	времени и	4	3
126	этом отношении	3	3
127	по поводу	2	3
128	в той	5	3
129	героя в	6	3
130	в таком	3	3
131	по его	2	3
132	той же	2	3
133	мы не	2	3
134	можно было	2	3
135	в силу	4	3
136	но он	2	3
137	в данном	10	3
138	т п	2	3
139	в другом	4	3
140	в каждой	2	3
141	в состав	3	3
142	он является	3	2
143	с этой	3	2
144	перед нами	4	2
145	в ответ	3	2
146	с его	3	2
147	и читатель	2	2
148	в душе	2	2
149	же как	2	2
150	представить себе	3	2
151	между собой	3	2
152	не является	4	2
153	давно уже	2	2
154	отношения между	2	2
155	в сердце	2	2
156	а как	3	2
157	характеры действующих	2	2
158	или иной	3	2
159	можно сказать	6	2
160	лицо и	3	2
161	характера и	3	2
162	же в	4	2
163	и того	3	2
164	всякий раз	2	2
165	должна быть	2	2
166	со своим	2	2
167	в центре	2	2
168	к другому	2	2
169	на том	3	2
170	той или	3	2
171	в качестве	14	2
172	в котором	5	2
173	себе и	2	2
174	с таким	2	2
175	строго говоря	3	2
176	представляют собой	2	2
177	в форме	5	2
178	по отношению	5	2
179	в отличие	5	2
180	в течение	2	2
181	в себя	4	2
182	с точки	2	2
183	и даже	3	2
184	и он	2	2
185	бы на	2	2
186	отличие от	5	2
187	в глазах	4	2
188	ничего не	6	2
189	в нашем	2	2
190	в то	5	2
191	все то	2	2
192	в рассказе	4	2
193	как он	2	2
194	все эти	3	2
195	едва ли	3	2
196	на самом	2	2
