N	2gram	Tiupa_Hudo_1	VelikijI
1	и не	15	20
2	и в	19	16
3	то что	4	9
4	еще не	3	8
5	и потому	2	7
6	а не	9	7
7	в мире	21	5
8	хотя и	3	5
9	как бы	9	5
10	но и	10	5
11	все это	2	5
12	того что	4	5
13	по пути	4	5
14	во мне	2	4
15	что он	3	4
16	в нем	5	4
17	как и	2	4
18	так и	11	4
19	потому что	3	4
20	в этом	11	4
21	говорить о	3	4
22	в его	9	4
23	с его	6	3
24	что в	6	3
25	в этих	3	3
26	в них	2	3
27	превращается в	2	3
28	в жизни	2	3
29	ни в	5	3
30	в том	18	3
31	не в	7	3
32	к тому	4	3
33	во всех	3	3
34	никогда не	2	3
35	что и	2	3
36	в своей	5	3
37	к бытию	2	3
38	тому что	2	3
39	лишь в	4	3
40	и что	3	3
41	и для	2	3
42	их в	3	3
43	личности и	3	3
44	все эти	2	3
45	в чем	2	3
46	но в	7	3
47	тот кто	2	2
48	это не	2	2
49	прежде всего	4	2
50	том что	8	2
51	одна из	2	2
52	но не	11	2
53	для него	4	2
54	того чтобы	2	2
55	ведет по	2	2
56	не только	16	2
57	значения и	2	2
58	один из	2	2
59	не с	2	2
60	не будет	2	2
61	ее в	2	2
62	в форме	4	2
63	а с	2	2
64	в себя	2	2
65	уже не	4	2
66	я думаю	2	2
67	а в	12	2
68	с ним	2	2
69	и то	4	2
70	между тем	4	2
71	могут быть	4	2
72	только в	5	2
73	и это	2	2
74	мира в	2	2
