N	2gram	Tiupa_Lite_1	RusskieA
1	и в	8	36
2	не только	24	22
3	что в	3	19
4	том что	14	19
5	в том	16	17
6	но и	17	16
7	и м	2	14
8	в этом	12	12
9	это не	4	10
10	как и	6	10
11	потому что	3	10
12	а в	3	9
13	состоит в	11	8
14	из них	4	8
15	может быть	13	8
16	один из	3	8
17	о том	2	8
18	как это	8	8
19	так и	4	7
20	между тем	2	7
21	и не	12	6
22	при этом	19	6
23	уже не	7	6
24	таким образом	3	6
25	то что	10	6
26	все же	4	5
27	как будто	2	5
28	как бы	7	5
29	во многих	2	5
30	одно из	3	5
31	как в	5	5
32	из этих	2	4
33	с собой	4	4
34	к тому	2	4
35	представляет собой	4	4
36	одна из	3	4
37	еще не	4	4
38	связи с	6	4
39	вплоть до	2	4
40	следующим образом	2	4
41	еще в	4	4
42	и др	3	4
43	в их	3	4
44	в россии	2	4
45	не может	5	4
46	в связи	4	4
47	того что	6	4
48	тем что	2	4
49	только в	8	4
50	не менее	7	3
51	для них	2	3
52	по этому	2	3
53	в качестве	17	3
54	в своем	11	3
55	в поле	2	3
56	тем не	2	3
57	в москве	2	3
58	на этом	2	3
59	несмотря на	3	3
60	только на	2	3
61	как правило	2	3
62	а также	5	3
63	своего рода	11	3
64	приводит к	3	3
65	то же	5	3
66	с точки	2	3
67	точки зрения	6	3
68	то есть	6	3
69	далеко не	3	3
70	в области	3	3
71	не было	3	2
72	что ему	3	2
73	в частности	15	2
74	могут быть	2	2
75	та же	2	2
76	их не	2	2
77	в нем	2	2
78	у него	3	2
79	в жизни	6	2
80	в силу	4	2
81	но не	4	2
82	отнюдь не	2	2
83	например в	3	2
84	том же	3	2
85	так называемый	2	2
86	в его	7	2
87	в целом	8	2
88	в е	2	2
89	е годы	2	2
90	для этого	4	2
91	не на	2	2
92	тогда как	13	2
93	все эти	2	2
94	в году	13	2
95	а не	16	2
96	в своих	4	2
97	не случайно	2	2
98	на себя	2	2
99	но в	3	2
100	в равной	2	2
101	как он	2	2
