N	2gram	Savitsky_E_1	Myshleni
1	в процессе	4	27
2	и в	37	25
3	в развитии	2	24
4	в том	11	23
5	на основе	2	22
6	том что	6	20
7	что в	21	17
8	так же	9	17
9	таким образом	2	17
10	с тем	3	16
11	как и	7	15
12	то что	6	15
13	в его	2	15
14	в этом	12	14
15	вместе с	2	14
16	может быть	6	13
17	между собой	2	13
18	так как	7	12
19	в качестве	14	12
20	по своему	7	11
21	на основании	2	11
22	как бы	6	10
23	и не	14	10
24	и что	2	10
25	того что	7	10
26	было бы	8	10
27	что и	3	10
28	только в	9	10
29	заключается в	2	9
30	как в	3	9
31	мы не	4	9
32	того чтобы	6	8
33	не является	3	8
34	тем что	3	8
35	как мы	5	8
36	столь же	5	7
37	как это	4	7
38	по себе	4	7
39	по своей	2	7
40	для того	6	7
41	мы можем	3	7
42	в области	11	7
43	с другой	7	6
44	не в	5	6
45	же как	5	6
46	мы видели	3	6
47	не может	9	6
48	и на	6	6
49	потому что	3	6
50	мы должны	2	6
51	от этого	5	6
52	в отношении	32	6
53	в силу	2	6
54	представляет собой	3	6
55	но не	5	6
56	того же	3	6
57	не только	18	6
58	точки зрения	23	6
59	можно было	3	6
60	так и	10	5
61	именно в	4	5
62	что это	2	5
63	которую мы	5	5
64	и как	2	5
65	одной стороны	8	5
66	друг с	3	5
67	с одной	8	5
68	и по	5	5
69	если бы	2	5
70	и к	3	5
71	о том	3	5
72	могут быть	2	5
73	в этой	2	5
74	с другом	3	5
75	не могут	2	4
76	независимо от	4	4
77	в частности	5	4
78	никогда не	3	4
79	в своем	14	4
80	в какой	2	4
81	прежде всего	9	4
82	на то	6	4
83	в смысле	9	4
84	к тому	8	4
85	мог бы	2	4
86	к которым	5	4
87	всяком случае	3	4
88	отнюдь не	9	4
89	из них	3	4
90	но и	14	4
91	в деле	3	4
92	а в	2	4
93	сказать что	4	4
94	с мы	2	4
95	в то	16	4
96	тогда когда	2	4
97	в известном	3	4
98	с этим	2	4
99	и все	2	4
100	и того	2	4
101	он не	2	4
102	по сравнению	2	4
103	это значит	2	4
104	во всяком	3	4
105	там где	3	4
106	можно считать	3	3
107	но на	3	3
108	с этой	6	3
109	что эти	2	3
110	в свою	3	3
111	как оно	2	3
112	в самом	4	3
113	вслед за	6	3
114	имеет место	2	3
115	не можем	2	3
116	в котором	2	3
117	если в	2	3
118	этот процесс	2	3
119	другой стороны	2	3
120	по признаку	3	3
121	в которых	3	3
122	этом отношении	3	3
123	в результате	3	3
124	между тем	8	3
125	же мало	2	3
126	в случае	2	3
127	сравнению с	2	3
128	но как	2	3
129	приводит нас	2	3
130	мы видим	2	3
131	то в	4	3
132	или иной	4	3
133	наряду с	2	3
134	не есть	2	3
135	когда он	3	3
136	между ними	2	3
137	этот вопрос	2	3
138	в виде	5	3
139	место в	3	2
140	то же	15	2
141	подходит к	2	2
142	известном смысле	3	2
143	можно ли	3	2
144	в этих	2	2
145	эти последние	2	2
146	и от	3	2
147	этой точки	5	2
148	для нас	4	2
149	ни было	4	2
150	свою очередь	2	2
151	все более	9	2
152	нас к	2	2
153	хотя и	2	2
154	той или	4	2
155	в сфере	3	2
156	заключает в	3	2
157	и только	3	2
158	относятся к	2	2
159	и других	2	2
160	или иному	2	2
161	как на	3	2
162	на себя	3	2
163	в своих	2	2
164	к той	2	2
165	ни на	3	2
166	того или	4	2
167	бы в	2	2
168	главным образом	2	2
169	но по	2	2
170	само по	4	2
171	в них	3	2
172	и во	2	2
173	в одном	2	2
174	этом смысле	3	2
175	или иного	4	2
176	же в	2	2
177	в таком	3	2
178	это так	3	2
179	иначе говоря	2	2
180	и потому	5	2
181	а также	7	2
182	не будет	3	2
183	в мире	2	2
184	в своей	8	2
185	в течение	5	2
186	из того	2	2
187	тем самым	5	2
188	и эта	2	2
189	на этот	2	2
190	и для	3	2
191	как их	2	2
192	тому или	2	2
193	или в	2	2
194	с другими	2	2
195	и то	2	2
196	в каком	4	2
197	в себе	9	2
198	в эту	2	2
