N	2gram	Bakhtin_KF_1	Mirosoze
1	и в	24	46
2	в нем	28	22
3	может быть	45	21
4	в этом	14	20
5	никогда не	5	18
6	для него	8	18
7	и не	26	18
8	не только	5	18
9	есть лишь	5	17
10	но и	9	15
11	не может	27	15
12	как и	5	13
13	не есть	20	13
14	а не	17	13
15	прежде всего	2	12
16	потому что	2	12
17	не было	8	11
18	в ней	3	11
19	та же	2	10
20	но в	5	10
21	он не	6	10
22	в себе	21	10
23	не в	12	9
24	не знает	5	9
25	и есть	9	8
26	но это	6	8
27	как бы	9	8
28	в своем	16	8
29	отношение к	5	8
30	в мире	6	7
31	в этой	2	7
32	человек не	2	7
33	что он	2	7
34	и потому	2	7
35	как в	2	7
36	хотя бы	4	7
37	и для	9	7
38	вопрос о	2	6
39	что это	3	6
40	того что	3	6
41	и здесь	7	6
42	жизни и	8	6
43	не могу	3	6
44	то же	5	5
45	я не	6	5
46	бы и	3	5
47	совсем не	2	5
48	один из	2	5
49	это не	10	5
50	и все	7	5
51	во всем	7	5
52	то что	7	5
53	в своей	10	5
54	для того	3	5
55	и его	17	5
56	в его	40	5
57	и это	12	5
58	что в	4	4
59	тому что	2	4
60	для этого	2	4
61	до конца	3	4
62	нет в	4	4
63	не имеет	5	4
64	в жизни	2	4
65	думать что	2	4
66	в свою	3	4
67	том что	4	4
68	должен быть	7	4
69	что и	7	4
70	себя в	8	4
71	так и	2	4
72	уже не	7	4
73	того чтобы	2	4
74	к чему	3	4
75	жизнь и	2	4
76	его на	2	4
77	себя и	2	3
78	в каждом	3	3
79	к которой	2	3
80	ни в	12	3
81	в том	6	3
82	лишь как	2	3
83	момент в	7	3
84	менее всего	6	3
85	жизни в	5	3
86	в своих	3	3
87	и на	3	3
88	людей и	2	3
89	о том	3	3
90	его в	5	3
91	с ним	5	3
92	если бы	8	3
93	это и	2	3
94	не будет	2	3
95	от того	3	3
96	чтобы не	2	3
97	и она	2	3
98	тем что	3	3
99	только в	16	3
100	отношении к	2	3
101	только с	3	3
102	в чем	4	3
103	место в	5	2
104	а лишь	3	2
105	и мир	2	2
106	ее и	6	2
107	или иной	2	2
108	но эта	5	2
109	я и	2	2
110	это есть	2	2
111	лишь момент	5	2
112	но для	2	2
113	только это	2	2
114	к нему	12	2
115	и за	2	2
116	по отношению	26	2
117	что есть	2	2
118	как к	2	2
119	что за	2	2
120	чем не	4	2
121	и других	2	2
122	лишь в	8	2
123	ответственности и	2	2
124	должно быть	6	2
125	а в	4	2
126	от своей	5	2
127	к себе	2	2
128	в основе	5	2
129	не о	2	2
130	точки зрения	12	2
131	между тем	4	2
132	а для	2	2
133	и та	2	2
134	были бы	2	2
135	его с	2	2
136	тогда когда	3	2
137	по себе	2	2
138	себе и	3	2
139	во всех	11	2
140	оно не	2	2
141	отношению к	22	2
142	быть и	3	2
143	момент его	8	2
144	если я	2	2
145	бы не	3	2
146	еще более	2	2
147	что не	3	2
148	и эта	2	2
149	от этого	2	2
150	сознания и	3	2
151	от его	5	2
152	есть момент	3	2
153	и этим	3	2
154	ничего не	3	2
