N	2gram	Losev_Dial_4	Vvedenie
1	и т	17	42
2	т д	15	36
3	т е	46	35
4	и в	15	32
5	в том	11	31
6	в этом	11	30
7	может быть	17	26
8	том что	10	26
9	не только	8	22
10	для того	5	21
11	того чтобы	5	20
12	таким образом	5	19
13	также и	4	18
14	то что	16	16
15	потому что	10	15
16	так как	14	15
17	не может	11	14
18	в самом	2	13
19	в нем	5	13
20	о том	5	13
21	со стороны	3	13
22	того что	13	12
23	в их	3	12
24	и не	30	12
25	в его	4	12
26	только в	7	12
27	что такое	5	11
28	ясно что	11	11
29	и именно	2	11
30	в ее	2	11
31	в данном	3	11
32	что в	7	10
33	но в	3	9
34	и как	4	9
35	в истории	3	9
36	этом смысле	4	9
37	по себе	13	9
38	то же	9	9
39	не менее	2	8
40	это не	12	8
41	тем не	2	8
42	не в	8	8
43	именно в	5	8
44	прежде всего	11	7
45	вопрос о	2	7
46	точки зрения	14	7
47	было бы	9	7
48	все же	2	7
49	как нечто	2	7
50	не могут	2	6
51	из этих	2	6
52	же время	6	6
53	один из	4	6
54	но и	4	6
55	все это	9	6
56	и даже	6	6
57	в то	6	6
58	с тем	4	6
59	вовсе не	6	6
60	как и	7	6
61	в качестве	2	6
62	а именно	6	6
63	хотя бы	4	6
64	и его	7	6
65	тем что	2	6
66	и это	8	6
67	иное как	8	5
68	так что	6	5
69	она есть	10	5
70	но если	5	5
71	как бы	14	5
72	и тем	6	5
73	а как	2	5
74	другой стороны	2	5
75	с их	4	5
76	сказать что	6	5
77	в них	2	5
78	быть в	5	5
79	об этом	3	5
80	есть и	3	5
81	или вообще	3	5
82	не есть	40	5
83	вместе с	2	5
84	в течение	4	5
85	а не	18	5
86	что не	3	5
87	могут быть	3	5
88	науки и	2	4
89	с этой	2	4
90	как о	2	4
91	в котором	2	4
92	в особенности	4	4
93	не просто	7	4
94	и что	9	4
95	не имеет	14	4
96	даже и	3	4
97	что иное	8	4
98	как это	2	4
99	мы имеем	5	4
100	е в	2	4
101	от этого	3	4
102	сравнению с	2	4
103	в разных	2	4
104	по крайней	7	4
105	что он	7	4
106	не что	8	4
107	еще не	4	4
108	крайней мере	7	4
109	по сравнению	2	4
110	в своей	3	4
111	только что	2	4
112	как раз	4	4
113	в виде	3	4
114	истории и	2	4
115	уже не	9	4
116	и для	5	4
117	той же	5	4
118	или иначе	2	4
119	и то	3	4
120	во всяком	2	4
121	само по	4	4
122	и ее	8	4
123	в себе	8	4
124	сама по	5	3
125	что это	13	3
126	и есть	19	3
127	в частности	2	3
128	в собственном	3	3
129	со всей	2	3
130	бы и	3	3
131	можно сказать	5	3
132	да и	2	3
133	но все	2	3
134	в этой	4	3
135	на этом	3	3
136	но что	5	3
137	что с	2	3
138	при этом	2	3
139	от себя	2	3
140	хотя и	6	3
141	в ней	5	3
142	в виду	9	3
143	себе что	2	3
144	и уже	4	3
145	из них	2	3
146	что она	5	3
147	в своем	5	3
148	все эти	3	3
149	и вот	11	3
150	заключается в	2	3
151	так же	4	3
152	знания и	5	3
153	и на	5	3
154	в результате	6	3
155	говорить о	11	3
156	что даже	2	3
157	при помощи	3	3
158	тогда когда	5	3
159	есть еще	2	3
160	нисколько не	2	3
161	если бы	6	3
162	однако в	2	3
163	не как	4	3
164	к этому	3	3
165	история и	2	3
166	что уже	2	3
167	говорит о	3	3
168	в чем	8	3
169	так чтобы	3	3
170	одной из	2	3
171	в одном	4	3
172	в сущности	5	3
173	в свое	2	3
174	что и	6	3
175	собственном смысле	2	3
176	что же	2	3
177	на основании	3	3
178	вот почему	3	3
179	в каком	5	3
180	и вообще	7	3
181	как будто	2	3
182	в области	3	3
183	как только	5	2
184	должна быть	7	2
185	никогда не	2	2
186	для этого	2	2
187	в отношении	2	2
188	точно так	2	2
189	чем больше	2	2
190	не нужно	2	2
191	это есть	13	2
192	но это	4	2
193	что если	3	2
194	тем или	2	2
195	и той	3	2
196	мог бы	2	2
197	говоря уже	3	2
198	не говоря	3	2
199	природы и	2	2
200	от того	2	2
201	во внимание	2	2
202	мы говорим	2	2
203	не было	2	2
204	не мог	2	2
205	есть только	3	2
206	должно быть	2	2
207	только так	4	2
208	и с	4	2
209	и так	2	2
210	чем же	2	2
211	с этим	3	2
212	той или	4	2
213	бы в	4	2
214	так и	5	2
215	и чем	2	2
216	лежит в	3	2
217	надо было	3	2
218	есть не	5	2
219	природе и	2	2
220	у нас	3	2
221	и при	2	2
222	тем более	6	2
223	учение о	5	2
224	во всех	2	2
225	что мы	7	2
226	мы должны	4	2
227	жизни и	4	2
228	мы уже	3	2
229	себе и	2	2
230	и требует	2	2
231	ни одна	2	2
232	ни с	4	2
233	в этот	2	2
234	для нее	2	2
235	быть и	3	2
236	и тогда	2	2
237	того как	2	2
238	одной и	3	2
239	из которых	3	2
240	с точки	9	2
241	мы не	9	2
242	тому как	4	2
243	в силу	4	2
244	мы можем	3	2
245	подобно тому	4	2
246	или нет	3	2
247	познания и	2	2
248	иной раз	3	2
249	идет речь	4	2
250	и истории	3	2
251	а если	3	2
252	ничего не	17	2
253	не могли	2	2
254	д все	2	2
