N	2gram	Berdyaev_V_1	NovoeSre
1	а не	7	17
2	и в	16	16
3	во имя	32	15
4	и не	20	11
5	и есть	4	10
6	что в	3	9
7	истории и	2	9
8	жизни и	3	8
9	как не	3	8
10	в том	3	8
11	не будет	2	7
12	как и	4	7
13	в этом	4	7
14	с его	3	6
15	никогда не	3	6
16	не в	3	6
17	лишь в	3	6
18	но это	3	6
19	ни в	3	6
20	от бога	8	6
21	в нем	4	5
22	все это	5	5
23	в жизни	3	5
24	в ней	4	5
25	не только	2	5
26	то что	9	4
27	в них	3	4
28	это не	2	4
29	и все	4	4
30	не было	3	4
31	не имеет	3	4
32	и для	3	4
33	должно быть	3	4
34	государства и	2	4
35	потому что	4	4
36	прежде всего	2	4
37	и мы	3	4
38	и потому	7	4
39	но и	5	3
40	не есть	6	3
41	должна быть	3	3
42	в своей	3	3
43	в истории	8	3
44	человека и	6	3
45	в духе	2	3
46	во всех	3	3
47	к тому	3	3
48	в мире	5	3
49	бога и	5	3
50	с тем	2	3
51	духа и	2	3
52	в прошлом	2	3
53	конечно не	2	3
54	еще не	8	3
55	имя свободы	3	3
56	что все	4	2
57	свободы от	3	2
58	нем нет	2	2
59	всемирной истории	3	2
60	божественной жизни	2	2
61	так и	4	2
62	мир и	2	2
63	а в	2	2
64	жизни все	2	2
65	все эти	3	2
66	свободы и	12	2
67	уже не	2	2
68	нет и	2	2
69	того чтобы	2	2
70	хотя бы	3	2
71	но не	2	2
72	вот почему	2	2
73	будет уже	2	2
74	к вечности	3	2
75	мы не	2	2
76	том что	2	2
77	можно было	2	2
78	одна из	2	2
79	и что	3	2
80	могут быть	2	2
81	не к	2	2
82	люди не	2	2
83	и это	2	2
84	к богу	8	2
85	не могли	2	2
86	хотя и	5	2
87	но в	3	2
