N	2gram	Tiupa_Anal_2	Morfolog
1	может быть	6	52
2	таким образом	2	20
3	представляет собой	8	17
4	не может	4	17
5	т е	2	16
6	в этих	2	16
7	могут быть	10	15
8	этих случаях	2	14
9	и в	16	13
10	в этом	18	13
11	представляют собой	2	10
12	прежде всего	3	9
13	этом случае	4	9
14	так и	15	9
15	то же	4	9
16	и не	12	9
17	а не	10	9
18	мы имеем	3	9
19	с другой	6	8
20	а затем	2	8
21	по существу	2	8
22	что и	3	8
23	в результате	3	8
24	в качестве	11	7
25	в том	12	6
26	но не	4	6
27	а также	7	6
28	а в	3	6
29	подобно тому	3	6
30	не менее	4	5
31	тому как	3	5
32	в поле	4	5
33	в ходе	4	5
34	вслед за	2	5
35	во всех	4	5
36	как бы	10	5
37	один из	2	5
38	то что	7	5
39	или в	3	5
40	что в	2	4
41	на котором	2	4
42	вовсе не	2	4
43	тем не	3	4
44	отношению к	4	4
45	было бы	3	4
46	на его	3	4
47	несмотря на	3	4
48	не только	16	4
49	как в	4	4
50	как мы	3	4
51	другой стороны	2	4
52	так же	2	4
53	по отношению	4	4
54	как и	14	4
55	хотя и	4	4
56	тем что	3	4
57	точки зрения	4	4
58	с точки	2	4
59	на этом	4	4
60	его в	2	4
61	ничего не	9	4
62	если бы	3	3
63	а то	2	3
64	в нашем	3	3
65	связывается с	2	3
66	узнает о	2	3
67	том что	12	3
68	в целом	8	3
69	в пределах	9	3
70	в сущности	4	3
71	он не	2	3
72	но и	12	3
73	на него	2	3
74	и для	2	3
75	из них	3	3
76	в то	2	3
77	в один	4	3
78	но в	6	3
79	можно отметить	2	2
80	обоих случаях	2	2
81	в частности	16	2
82	и за	3	2
83	состоит в	8	2
84	к этому	2	2
85	как уже	3	2
86	можно сказать	4	2
87	так например	2	2
88	и к	5	2
89	не с	4	2
90	из его	2	2
91	со смертью	3	2
92	только в	4	2
93	также может	2	2
94	для него	4	2
95	одной стороны	4	2
96	одной из	3	2
97	в обоих	2	2
98	в таких	2	2
99	себя в	2	2
100	с одной	5	2
101	и наоборот	2	2
102	того что	2	2
103	уже не	4	2
104	не имеет	2	2
105	и его	4	2
106	можно было	3	2
107	не знает	3	2
108	о том	7	2
109	сказать что	2	2
110	как это	6	2
111	это было	2	2
