N	2gram	Propp_Morf_1	Narrotol
1	не только	4	31
2	но и	4	27
3	и не	12	23
4	может быть	52	15
5	в частности	2	14
6	в качестве	5	14
7	как и	3	13
8	а не	11	13
9	а в	7	13
10	только в	2	12
11	в этом	14	12
12	и в	13	11
13	состоит в	2	10
14	тогда как	2	10
15	то что	8	9
16	то же	7	8
17	в том	6	8
18	со стороны	3	8
19	не может	14	8
20	уже не	2	8
21	представляет собой	17	8
22	если бы	2	7
23	том что	4	7
24	но в	2	7
25	к тому	4	6
26	об этом	4	6
27	а также	4	6
28	не в	3	6
29	как бы	3	6
30	один из	5	6
31	во втором	3	6
32	или в	4	6
33	в этой	2	6
34	действующих лиц	11	5
35	перед нами	10	5
36	можно сказать	2	5
37	так и	6	5
38	потому что	3	5
39	точки зрения	2	5
40	с его	2	4
41	все же	7	4
42	то в	3	4
43	но не	4	4
44	прежде всего	9	4
45	еще не	3	4
46	к нему	3	4
47	и тем	2	4
48	в первом	3	4
49	из них	3	4
50	не по	2	4
51	как в	3	4
52	того что	3	4
53	того чтобы	3	4
54	или не	3	4
55	хотя и	3	4
56	в то	3	4
57	о том	2	4
58	одна из	4	4
59	не существует	3	3
60	не менее	5	3
61	тому как	5	3
62	что в	8	3
63	это уже	3	3
64	однако в	2	3
65	в нашем	3	3
66	первом случае	3	3
67	это не	6	3
68	не всегда	9	3
69	что он	4	3
70	тем не	5	3
71	у нас	2	3
72	и как	5	3
73	в начале	3	3
74	в поле	4	3
75	в целом	3	3
76	самом деле	4	3
77	но как	2	3
78	для того	2	3
79	но для	2	3
80	он не	3	3
81	не является	3	3
82	отношению к	4	3
83	в ходе	4	3
84	по отношению	4	3
85	героя в	4	3
86	к чему	3	3
87	мы не	8	3
88	также и	4	3
89	подобно тому	6	3
90	и ее	3	3
91	как будто	2	3
92	представляют собой	11	3
93	как это	3	3
94	мы имеем	9	3
95	между тем	5	3
96	этого не	2	2
97	если она	2	2
98	в этих	13	2
99	его и	2	2
100	между собой	4	2
101	а на	3	2
102	в сущности	3	2
103	на то	2	2
104	как мы	6	2
105	а по	3	2
106	же в	2	2
107	идет по	2	2
108	по своему	2	2
109	они и	3	2
110	в пределах	3	2
111	она не	2	2
112	в обоих	2	2
113	новое лицо	2	2
114	всяком случае	2	2
115	чем это	2	2
116	если в	5	2
117	не имеет	2	2
118	оно не	2	2
119	героя из	2	2
120	хотя бы	4	2
121	или просто	2	2
122	быть и	2	2
123	дело не	2	2
124	в форме	6	2
125	другой стороны	4	2
126	только что	2	2
127	в связи	9	2
128	входит в	2	2
129	ее из	2	2
130	она в	2	2
131	который в	2	2
132	с другой	8	2
133	и для	2	2
134	и иных	2	2
135	друг друга	3	2
136	ничего не	4	2
137	друг на	2	2
138	в результате	7	2
139	сказать что	2	2
140	во всяком	2	2
141	мы можем	2	2
142	на друга	2	2
143	связи с	10	2
144	что мы	2	2
145	здесь не	2	2
146	та же	2	2
147	то они	2	2
148	это было	3	2
