N	2gram	Voloshinov_1	Tvorches
1	и в	12	20
2	не только	4	13
3	никогда не	5	11
4	как бы	13	11
5	в его	2	10
6	таким образом	12	10
7	в то	2	10
8	и его	13	9
9	и не	10	9
10	прежде всего	8	8
11	в том	6	8
12	при этом	6	8
13	но и	3	8
14	может быть	14	8
15	в этом	4	8
16	и с	3	8
17	это не	2	7
18	что в	2	7
19	не может	16	7
20	то же	5	7
21	как и	5	6
22	в своей	3	6
23	так и	4	6
24	все это	3	6
25	а не	5	6
26	в основном	2	6
27	но это	2	5
28	еще не	3	5
29	но не	2	5
30	все же	4	5
31	так же	3	5
32	и на	4	5
33	о том	3	5
34	в творчестве	3	5
35	в душе	2	4
36	мы не	3	4
37	том что	5	4
38	отнюдь не	5	4
39	когда он	3	4
40	как в	5	4
41	все эти	3	4
42	не в	4	4
43	в чем	2	4
44	и потому	2	4
45	ничего не	2	4
46	если бы	9	4
47	но в	5	4
48	место в	2	3
49	с этой	2	3
50	к этому	2	3
51	с ним	3	3
52	но зато	2	3
53	отношению к	11	3
54	для него	3	3
55	что не	4	3
56	в самом	4	3
57	он не	2	3
58	в котором	3	3
59	и др	5	3
60	в нем	6	3
61	то что	5	3
62	вместе с	2	3
63	сих пор	3	3
64	по отношению	11	3
65	так как	9	3
66	уже не	4	3
67	в себе	3	3
68	его в	4	3
69	нет ничего	2	3
70	между тем	3	3
71	до сих	3	3
72	уже в	2	2
73	зависит от	2	2
74	все время	6	2
75	не менее	3	2
76	от этой	2	2
77	точку зрения	2	2
78	с другой	4	2
79	в такой	3	2
80	такой же	2	2
81	и ее	3	2
82	в литературе	4	2
83	тому же	2	2
84	более того	2	2
85	несравненно более	2	2
86	точка зрения	3	2
87	в процессе	6	2
88	на него	2	2
89	опираясь на	2	2
90	бы не	2	2
91	самом деле	3	2
92	и что	2	2
93	связь с	2	2
94	и наконец	3	2
95	другой стороны	2	2
96	не так	2	2
97	и по	3	2
98	с другими	2	2
99	имеет в	3	2
100	могут быть	2	2
101	и вообще	3	2
102	только в	6	2
103	действия и	2	2
104	героя и	5	2
105	из этого	3	2
106	едва ли	2	2
