N	2gram	Bakhtin_Pr_2	VerxiiNi
1	и в	43	26
2	таким образом	5	22
3	в этом	13	15
4	точки зрения	13	13
5	как бы	22	12
6	в том	6	11
7	может быть	23	10
8	не только	11	10
9	и с	5	10
10	из этих	2	10
11	что в	4	9
12	но и	14	9
13	так как	4	9
14	с другой	4	8
15	но не	5	8
16	и не	29	8
17	том что	2	7
18	но все	2	7
19	из них	2	7
20	к нему	5	7
21	то что	7	7
22	а с	2	7
23	но в	10	7
24	в конце	2	6
25	к тому	4	6
26	того же	3	6
27	что и	3	6
28	все же	3	6
29	так и	3	6
30	все это	5	6
31	в отношении	3	6
32	все эти	5	6
33	с точки	8	6
34	во всяком	2	6
35	в себе	5	6
36	о том	5	6
37	и к	3	5
38	тому же	3	5
39	отношение к	2	5
40	до сих	7	5
41	друг с	4	5
42	в его	10	5
43	никогда не	9	5
44	с другом	4	5
45	сих пор	7	5
46	или менее	3	5
47	так же	2	5
48	лишь в	8	5
49	а не	7	5
50	и для	3	5
51	более или	3	5
52	в этих	6	4
53	что он	13	4
54	в нем	12	4
55	в самом	7	4
56	в котором	6	4
57	целый ряд	2	4
58	не может	18	4
59	и только	3	4
60	а в	5	4
61	то же	8	4
62	и что	5	4
63	на этот	4	4
64	в которых	2	4
65	во время	4	4
66	в виде	3	4
67	он не	9	4
68	в то	7	4
69	только в	4	4
70	то есть	4	4
71	далеко не	4	4
72	не менее	3	3
73	что это	2	3
74	если бы	3	3
75	хотя бы	2	3
76	для него	8	3
77	так что	5	3
78	и как	2	3
79	и при	2	3
80	в своем	4	3
81	и нет	4	3
82	и о	2	3
83	тем не	2	3
84	отношению к	5	3
85	когда он	3	3
86	при этом	6	3
87	уже не	3	3
88	того что	2	3
89	и даже	3	3
90	в таком	2	3
91	в результате	4	3
92	конце концов	2	3
93	в одном	12	3
94	уже в	2	2
95	не могут	4	2
96	с его	4	2
97	ни было	2	2
98	в них	4	2
99	превращается в	2	2
100	и особенно	2	2
101	не как	6	2
102	но при	3	2
103	в образе	2	2
104	прежде всего	10	2
105	на то	5	2
106	или иной	3	2
107	от них	2	2
108	оно является	2	2
109	и здесь	3	2
110	сознании и	2	2
111	положение в	2	2
112	самой этой	2	2
113	по существу	3	2
114	по своему	2	2
115	же время	5	2
116	тот же	3	2
117	еще не	9	2
118	со всеми	3	2
119	конечно не	2	2
120	той или	3	2
121	и является	2	2
122	во всех	4	2
123	к другу	2	2
124	и сами	2	2
125	в процессе	2	2
126	быть и	2	2
127	по своим	3	2
128	приводит к	6	2
129	отличается от	2	2
130	для этого	2	2
131	иной раз	2	2
132	особенно в	2	2
133	в самой	4	2
134	в одно	3	2
135	среди них	4	2
136	наконец в	3	2
137	друг на	2	2
138	и на	10	2
139	сказать что	2	2
140	не в	11	2
141	мы можем	2	2
142	и наконец	6	2
143	на друга	2	2
144	и все	6	2
145	так чтобы	4	2
146	и это	4	2
147	в эту	3	2
148	между тем	3	2
149	в виду	3	2
