N	2gram	Tiupa_Disk_2	Istorich
1	и в	16	22
2	мы имеем	2	19
3	в этом	16	17
4	что в	5	15
5	не только	10	14
6	но и	11	12
7	и не	15	12
8	может быть	16	11
9	в этих	3	11
10	еще не	6	10
11	но в	11	10
12	что он	2	9
13	в нем	7	9
14	что и	2	9
15	вместе с	2	9
16	в том	8	9
17	том что	10	8
18	другой стороны	2	7
19	с другой	5	7
20	к этому	4	7
21	но не	7	7
22	то что	5	7
23	из них	3	7
24	уже не	3	7
25	в них	3	6
26	это не	3	6
27	с ней	2	6
28	а в	2	6
29	то же	6	6
30	а не	14	6
31	не менее	7	5
32	в частности	12	5
33	живет в	2	5
34	или по	2	5
35	все же	6	5
36	этом случае	2	5
37	он не	3	5
38	могут быть	3	5
39	в этой	4	5
40	не в	3	4
41	в пределах	4	4
42	только в	3	4
43	что на	2	4
44	отношение к	2	4
45	и его	3	4
46	и на	5	4
47	в данном	7	4
48	не может	9	4
49	все эти	3	4
50	и с	2	4
51	состоит в	16	3
52	и все	3	3
53	прежде всего	7	3
54	стороны и	2	3
55	как и	16	3
56	и как	3	3
57	но это	3	3
58	представляет собой	11	3
59	в его	3	3
60	никогда не	2	3
61	в целом	2	3
62	данном случае	6	3
63	со стороны	10	3
64	потому что	4	3
65	и ее	3	3
66	из этих	3	3
67	далеко не	2	3
68	в русской	3	3
69	о том	4	3
70	его в	3	3
71	здесь не	2	3
72	их в	2	3
73	одном из	3	3
74	не было	3	2
75	в одном	4	2
76	указать на	2	2
77	можно сказать	3	2
78	ни в	7	2
79	такой же	2	2
80	с одной	4	2
81	как в	8	2
82	при этом	17	2
83	в качестве	16	2
84	это еще	2	2
85	одной стороны	4	2
86	например в	3	2
87	одного из	4	2
88	же как	2	2
89	в ней	2	2
90	в котором	3	2
91	к жизни	3	2
92	не с	2	2
93	отношению к	4	2
94	и это	2	2
95	жизни и	3	2
96	но она	3	2
97	так и	9	2
98	по отношению	4	2
99	в своем	5	2
100	той же	2	2
101	там же	2	2
102	и для	2	2
103	роль в	4	2
104	и то	4	2
105	между тем	2	2
106	точки зрения	4	2
107	в другом	3	2
108	в то	5	2
109	как будто	3	2
110	а также	8	2
