N	2gram	Berdyaev_V_1	Problema
1	то что	9	42
2	и в	16	32
3	и не	20	31
4	не есть	6	29
5	в этом	4	19
6	не только	2	17
7	потому что	4	16
8	а не	7	15
9	как бы	5	14
10	но в	3	14
11	в нем	4	13
12	что мы	4	13
13	что в	3	12
14	том что	2	12
15	так и	4	12
16	и т	2	11
17	так как	9	11
18	прежде всего	2	10
19	т д	2	10
20	нет ничего	3	10
21	но не	2	9
22	в том	3	9
23	но и	5	9
24	и что	3	9
25	еще не	8	9
26	того чтобы	2	9
27	и это	2	9
28	все эти	3	8
29	в своей	3	8
30	но это	3	8
31	никогда не	3	7
32	ни в	3	7
33	все это	5	7
34	того что	5	7
35	в них	3	7
36	и все	4	7
37	что он	4	7
38	во всех	3	7
39	во всяком	2	7
40	тем что	2	7
41	только в	2	7
42	и есть	4	6
43	в конце	3	6
44	хотя и	5	6
45	это не	2	6
46	говорить о	4	6
47	и то	2	6
48	в его	4	6
49	для нас	2	5
50	в котором	4	5
51	с тем	2	5
52	все равно	2	5
53	тому что	3	4
54	не в	3	4
55	мы и	2	4
56	один из	2	4
57	на том	2	4
58	не было	3	4
59	а есть	2	4
60	а в	2	4
61	их в	3	4
62	в истории	8	4
63	если не	3	4
64	и для	3	4
65	что не	4	3
66	в этих	3	3
67	что все	4	3
68	что они	7	3
69	хотя бы	3	3
70	с ним	2	3
71	по этому	3	3
72	и во	2	3
73	в жизни	3	3
74	как и	4	3
75	к тому	3	3
76	оно не	3	3
77	мы хотим	4	3
78	да и	2	3
79	уже не	2	3
80	можно было	2	3
81	в чем	3	3
82	которые не	2	3
83	что их	2	2
84	не могут	2	2
85	его во	3	2
86	это мы	2	2
87	для него	2	2
88	уже на	2	2
89	не имеет	3	2
90	должно быть	3	2
91	между тем	2	2
92	тот кто	2	2
93	с его	3	2
94	для них	2	2
95	могут быть	2	2
96	и потому	7	2
97	нет и	2	2
98	не будет	2	2
99	ее в	2	2
100	мы не	2	2
101	является в	2	2
102	на себя	5	2
