N	2gram	Vinokur_St_2	SlovoVZh
1	не может	2	16
2	точки зрения	5	14
3	может быть	2	14
4	и его	6	13
5	как бы	5	13
6	таким образом	10	12
7	и в	29	12
8	и не	9	10
9	если бы	2	9
10	так как	2	9
11	прежде всего	5	8
12	сказать что	2	7
13	в нем	4	6
14	в процессе	2	6
15	при этом	2	6
16	в том	27	6
17	только в	2	6
18	в ней	7	6
19	и др	2	5
20	то что	11	5
21	никогда не	3	5
22	а не	5	5
23	то же	2	5
24	хотя бы	3	5
25	как и	2	5
26	том что	27	5
27	как в	3	5
28	но в	8	5
29	в виду	7	5
30	и к	4	4
31	ни было	2	4
32	все же	6	4
33	так и	9	4
34	с другой	4	4
35	на самом	3	4
36	не в	4	4
37	в этом	21	4
38	и на	6	4
39	его в	2	4
40	дело в	4	4
41	в самом	7	4
42	свое выражение	2	4
43	не только	19	4
44	в котором	7	3
45	в них	2	3
46	отношении к	3	3
47	и более	2	3
48	бы то	2	3
49	не к	2	3
50	не менее	3	3
51	в своей	7	3
52	в некоторых	2	3
53	сих пор	5	3
54	все это	11	3
55	то ни	2	3
56	и по	3	3
57	и вообще	2	3
58	все эти	2	3
59	по себе	3	3
60	но и	19	3
61	и пр	8	3
62	того что	5	3
63	тем не	2	3
64	ни в	3	3
65	так же	3	3
66	самом деле	3	3
67	и с	4	3
68	о том	17	3
69	в каком	2	3
70	в себе	2	3
71	для него	4	3
72	до сих	6	3
73	между тем	5	3
74	с этой	2	2
75	с его	2	2
76	что и	2	2
77	но все	7	2
78	что в	19	2
79	вместе с	7	2
80	а к	2	2
81	в этих	3	2
82	в своем	9	2
83	в отношении	2	2
84	в какой	2	2
85	другой стороны	3	2
86	и другие	2	2
87	в особенности	2	2
88	тому же	3	2
89	была бы	5	2
90	к этому	4	2
91	связь с	2	2
92	конечно в	2	2
93	и что	6	2
94	искусства и	2	2
95	с точки	2	2
96	и здесь	3	2
97	его как	2	2
98	как на	9	2
99	и те	2	2
100	но это	3	2
101	в данном	2	2
102	но не	3	2
103	выражение в	2	2
104	кроме того	4	2
105	до конца	3	2
106	в то	2	2
107	на это	2	2
108	подчеркнуть что	3	2
109	там где	2	2
110	оно не	3	2
111	как это	2	2
112	ничего не	4	2
113	он не	9	2
114	в его	13	2
115	и потому	2	2
