N	2gram	Bakhtin_Pr_3	Freidism
1	таким образом	5	24
2	и не	29	23
3	не может	19	20
4	точки зрения	8	19
5	прежде всего	15	18
6	в этом	16	15
7	в его	22	15
8	в душе	2	13
9	может быть	19	13
10	и его	16	12
11	как и	18	11
12	как бы	27	11
13	то что	11	11
14	все эти	4	11
15	с точки	4	11
16	и потому	2	10
17	так и	6	10
18	как мы	7	10
19	самом деле	13	10
20	его в	4	10
21	с ним	8	10
22	но в	16	10
23	с его	6	9
24	и в	34	9
25	во всех	2	9
26	по отношению	5	9
27	что он	23	8
28	отношению к	6	8
29	еще не	4	8
30	в своей	3	8
31	он не	15	8
32	не только	10	8
33	все это	16	8
34	то же	14	8
35	только в	6	8
36	и все	19	8
37	так как	4	8
38	мы знаем	2	7
39	ни в	4	7
40	тот же	2	7
41	к нему	14	7
42	во всяком	5	7
43	один из	2	7
44	мы видели	3	7
45	отношение к	6	7
46	в самом	8	7
47	что же	8	7
48	те же	2	7
49	и наконец	5	7
50	сказать что	2	7
51	мы уже	6	7
52	всяком случае	5	7
53	никогда не	8	6
54	вовсе не	11	6
55	и ее	2	6
56	для него	13	6
57	за пределы	2	6
58	того что	5	6
59	в ней	3	6
60	все те	2	6
61	так сказать	2	6
62	хотя бы	5	6
63	и с	15	6
64	на протяжении	5	6
65	и к	12	5
66	он сам	5	5
67	не в	9	5
68	в чем	5	5
69	для этого	3	5
70	в то	12	5
71	в большинстве	2	5
72	что такое	2	5
73	что в	7	5
74	но и	12	5
75	и прежде	4	5
76	на самом	11	5
77	а в	5	5
78	и на	6	5
79	с этим	2	5
80	мы должны	5	5
81	большинстве случаев	3	5
82	я и	2	5
83	не менее	3	4
84	но не	4	4
85	я не	7	4
86	в котором	3	4
87	сознания и	3	4
88	то ни	4	4
89	в пределах	6	4
90	в жизни	2	4
91	с другими	4	4
92	к тому	5	4
93	сводится к	3	4
94	всех этих	2	4
95	же время	12	4
96	на этом	4	4
97	в последнем	2	4
98	при этом	4	4
99	конечно не	2	4
100	как раз	4	4
101	все позволено	2	4
102	в нем	19	4
103	все же	7	4
104	не было	2	4
105	уже не	2	4
106	с самого	8	4
107	и для	8	4
108	совсем не	3	4
109	в которой	2	4
110	той же	2	4
111	с ними	6	4
112	характер и	3	4
113	потому что	12	4
114	во время	2	4
115	себя и	8	4
116	говорить о	3	4
117	самого начала	8	3
118	нисколько не	2	3
119	если бы	4	3
120	мыслей и	2	3
121	тому что	2	3
122	в них	2	3
123	и от	5	3
124	о себе	18	3
125	к себе	17	3
126	что все	4	3
127	конечно в	2	3
128	в себе	6	3
129	это как	3	3
130	войти в	2	3
131	и как	3	3
132	но это	4	3
133	по своему	3	3
134	со всеми	2	3
135	было бы	2	3
136	в общем	4	3
137	бы он	4	3
138	внутренняя речь	3	3
139	с ее	3	3
140	бы то	4	3
141	жизни и	3	3
142	когда он	2	3
143	на него	7	3
144	вместе с	4	3
145	смерти отца	4	3
146	тому чтобы	2	3
147	всем этим	2	3
148	не знает	6	3
149	как в	4	3
150	чем не	2	3
151	и вот	5	3
152	и что	5	3
153	между двумя	2	3
154	он дает	2	3
155	такой же	3	3
156	у него	4	3
157	слова и	10	3
158	человека с	3	3
159	не является	2	3
160	в силах	2	2
161	в отношении	9	2
162	уже в	3	2
163	этого не	3	2
164	его целом	2	2
165	но все	5	2
166	что это	5	2
167	это уже	2	2
168	и об	2	2
169	быть и	2	2
170	его и	3	2
171	для себя	6	2
172	того же	2	2
173	по всему	2	2
174	с другой	4	2
175	с которыми	2	2
176	это не	5	2
177	в конце	5	2
178	в такой	3	2
179	тем не	2	2
180	в ее	3	2
181	до конца	3	2
182	да и	4	2
183	желание смерти	3	2
184	ни было	4	2
185	это и	2	2
186	том что	3	2
187	более того	2	2
188	самого себя	2	2
189	высшей степени	3	2
190	мы остановимся	4	2
191	всего этого	2	2
192	в глаза	3	2
193	а не	9	2
194	всю жизнь	2	2
195	что с	3	2
196	из них	5	2
197	которой он	2	2
198	на всю	2	2
199	вполне понятно	2	2
200	к другим	2	2
201	его отношение	4	2
202	но для	3	2
203	конце концов	3	2
204	о нем	2	2
205	в него	3	2
206	в своем	2	2
207	со всею	2	2
208	себе и	5	2
209	в этот	2	2
210	во внутреннем	2	2
211	что значит	2	2
212	и мысли	2	2
213	только на	4	2
214	отличается от	2	2
215	а с	3	2
216	которых мы	2	2
217	что оно	2	2
218	человека как	4	2
219	внутренней речи	4	2
220	в отличие	2	2
221	в заключение	2	2
222	и у	5	2
223	другого человека	5	2
224	в высшей	3	2
225	и даже	7	2
226	так же	8	2
227	как на	2	2
228	рядом с	4	2
229	отличие от	2	2
230	без труда	2	2
231	и то	3	2
232	их в	3	2
233	нуждается в	3	2
234	что и	5	2
235	но как	4	2
236	в другом	8	2
237	и вообще	2	2
238	только с	3	2
239	ослабленной форме	2	2
240	в виду	3	2
241	это было	3	2
