N	3gram	Bakhtin_Pr_4	slovoVRo
1	то же время	5	12
2	в то же	5	12
3	в узком смысле	2	10
4	той или иной	2	9
5	с точки зрения	9	8
6	с чужим словом	3	8
7	во всех его	2	7
8	в большинстве случаев	8	6
9	в отношении к	2	6
10	как мы сказали	3	4
11	к чужому слову	5	4
12	с другой стороны	3	4
13	большей или меньшей	2	4
14	но в то	2	4
15	в самом предмете	2	3
16	более или менее	3	3
17	чужим словом в	3	3
18	или меньшей степени	2	3
19	в большей или	2	3
20	мы уже сказали	2	2
21	можно было бы	2	2
22	и не может	7	2
23	ту же тему	2	2
24	как мы уже	2	2
25	до сих пор	8	2
26	и в сущности	2	2
27	о том же	2	2
28	друг с другом	5	2
