N	2gram	Vinokur_St_3	TeoriaLi
1	не только	12	18
2	в качестве	4	17
3	и не	10	16
4	а в	6	14
5	и в	25	13
6	состоит в	4	13
7	может быть	19	12
8	так и	5	12
9	то есть	2	12
10	в этом	24	11
11	в том	20	11
12	но не	2	10
13	а не	5	10
14	и его	3	10
15	в его	12	9
16	то же	5	9
17	что в	19	8
18	своего рода	3	8
19	такого рода	5	8
20	но и	9	8
21	том что	15	7
22	точки зрения	7	7
23	в то	7	7
24	только в	6	7
25	место в	6	6
26	с его	3	6
27	же время	3	6
28	еще не	2	6
29	лишь в	4	6
30	как бы	6	6
31	в русской	6	6
32	но в	5	6
33	в рамках	2	5
34	или иной	2	5
35	а также	4	5
36	как и	4	5
37	не в	6	5
38	в самом	2	5
39	как в	6	5
40	а а	6	5
41	он не	5	5
42	уже не	3	5
43	с другой	5	5
44	между тем	6	5
45	мы имеем	5	5
46	не менее	2	4
47	не столько	2	4
48	в свою	2	4
49	в стихотворении	3	4
50	можно сказать	4	4
51	ни в	5	4
52	в своей	4	4
53	то что	12	4
54	отношение к	4	4
55	в форме	2	4
56	в их	3	4
57	не может	7	4
58	сказать что	4	4
59	но он	3	4
60	и ее	2	4
61	говорить о	3	4
62	и др	4	3
63	никогда не	2	3
64	в этих	11	3
65	в отношении	2	3
66	этом смысле	4	3
67	прежде всего	10	3
68	и к	4	3
69	тем не	2	3
70	для него	3	3
71	того что	5	3
72	например в	4	3
73	этого слова	2	3
74	на почве	5	3
75	с ее	2	3
76	другой стороны	5	3
77	как раз	3	3
78	таким образом	10	3
79	а с	2	3
80	в другом	3	3
81	и что	3	3
82	и по	2	3
83	или в	2	3
84	потому что	5	3
85	в этой	14	3
86	все эти	3	3
87	к которому	3	3
88	русской поэзии	2	2
89	если бы	4	2
90	была бы	4	2
91	могут быть	2	2
92	себя и	2	2
93	в конце	6	2
94	того же	2	2
95	это не	7	2
96	этих двух	2	2
97	вовсе не	2	2
98	что он	19	2
99	к тому	2	2
100	об этом	5	2
101	но как	2	2
102	пушкина что	4	2
103	что они	2	2
104	одной стороны	3	2
105	во втором	2	2
106	одной из	2	2
107	из которых	4	2
108	слова как	2	2
109	в виду	2	2
110	и тем	4	2
111	к нему	4	2
112	в целом	4	2
113	во всех	2	2
114	вместе с	2	2
115	дело не	2	2
116	со стороны	3	2
117	не на	2	2
118	и для	4	2
119	с одной	2	2
120	в году	5	2
121	говорит что	5	2
122	с точки	4	2
123	в мировой	3	2
124	в рассказе	3	2
125	у него	9	2
126	и здесь	3	2
127	о том	8	2
128	жизни но	2	2
129	и это	5	2
130	в чем	4	2
131	в которой	4	2
132	в области	6	2
133	я и	3	2
134	это было	8	2
