N	2gram	Medvedev_F_3	Psycholo
1	то что	8	37
2	и в	27	30
3	в том	7	27
4	что в	8	24
5	и что	3	23
6	потому что	7	23
7	том что	4	21
8	все время	6	20
9	для того	4	20
10	таким образом	18	20
11	того чтобы	5	20
12	как бы	8	19
13	что он	6	17
14	если мы	7	16
15	не только	9	16
16	в самом	11	14
17	в этом	18	14
18	так же	9	13
19	как раз	8	13
20	в нас	2	13
21	в сущности	2	12
22	вместе с	6	12
23	если бы	12	11
24	может быть	25	11
25	о том	4	10
26	никогда не	5	9
27	с другой	6	9
28	для этого	2	9
29	мы увидим	2	9
30	не может	24	9
31	увидим что	2	9
32	сказать что	3	9
33	так как	9	9
34	с тем	7	8
35	что это	3	8
36	тому что	3	8
37	к тому	4	8
38	не в	12	8
39	а не	17	8
40	при этом	8	8
41	того что	3	8
42	самом деле	16	8
43	могут быть	4	8
44	и это	2	8
45	по себе	4	7
46	в нем	15	7
47	и как	4	7
48	зависимости от	5	7
49	но не	5	7
50	мы можем	4	7
51	все же	6	7
52	и т	11	7
53	то же	15	7
54	действующих лиц	2	7
55	точки зрения	16	7
56	героя и	2	7
57	как это	4	7
58	в основе	3	7
59	уже в	4	6
60	ясно что	3	6
61	в зависимости	5	6
62	в своем	2	6
63	что она	2	6
64	как и	14	6
65	совершенно не	7	6
66	в искусстве	7	6
67	и тем	3	6
68	и для	6	6
69	но и	10	6
70	и не	30	6
71	жизни и	4	6
72	и его	19	6
73	никак не	3	6
74	тем что	5	6
75	мы уже	3	6
76	на этом	2	6
77	дело с	3	5
78	только не	2	5
79	в целом	4	5
80	что именно	5	5
81	как мы	8	5
82	и потому	5	5
83	в этой	2	5
84	что они	5	5
85	еще не	6	5
86	было бы	6	5
87	был бы	2	5
88	художественное произведение	11	5
89	другой стороны	5	5
90	сводится к	5	5
91	именно на	2	5
92	в своих	6	5
93	в себе	3	5
94	но в	6	5
95	только в	8	5
96	же самое	3	5
97	бы в	6	5
98	материала и	3	5
99	в основу	2	4
100	в результате	5	4
101	от него	2	4
102	и все	8	4
103	прежде всего	4	4
104	содержание и	2	4
105	стороны и	2	4
106	у нас	3	4
107	с такой	2	4
108	именно это	2	4
109	в своей	6	4
110	от того	2	4
111	в ней	5	4
112	в его	7	4
113	в него	3	4
114	в них	3	4
115	не есть	4	4
116	и именно	2	4
117	только на	4	4
118	содержания и	4	4
119	там где	7	4
120	это противоречие	2	4
121	в конце	3	4
122	в виду	3	4
123	не можем	2	4
124	что ни	2	3
125	не могут	10	3
126	была бы	2	3
127	одним и	2	3
128	обстоит дело	4	3
129	хотя бы	6	3
130	это не	3	3
131	формы и	3	3
132	не как	2	3
133	из этих	2	3
134	именно потому	2	3
135	к этому	2	3
136	вовсе не	28	3
137	художественного произведения	7	3
138	для нас	3	3
139	находятся в	2	3
140	одна из	2	3
141	имеет место	3	3
142	и между	5	3
143	в ее	4	3
144	что и	2	3
145	ни в	8	3
146	данном случае	4	3
147	так и	21	3
148	со стороны	4	3
149	как в	4	3
150	так в	2	3
151	это только	2	3
152	и только	2	3
153	т д	6	3
154	этом отношении	3	3
155	в той	3	3
156	героя в	3	3
157	тем же	7	3
158	в таком	2	3
159	той же	3	3
160	мы не	4	3
161	человека в	2	3
162	и на	3	3
163	в каком	2	3
164	в данном	6	3
165	т п	5	3
166	мы должны	2	3
167	в этих	3	3
168	он является	2	2
169	в отношении	2	2
170	с его	2	2
171	же как	3	2
172	связи с	5	2
173	искусства в	3	2
174	знаем что	2	2
175	между собой	4	2
176	не является	5	2
177	отношения между	2	2
178	в одной	5	2
179	в каждом	5	2
180	этом смысле	2	2
181	или иной	2	2
182	с помощью	8	2
183	можно сказать	3	2
184	и понять	2	2
185	художественном произведении	3	2
186	мы знаем	4	2
187	он был	4	2
188	до конца	4	2
189	в романе	4	2
190	этот закон	2	2
191	очевидно что	2	2
192	того же	3	2
193	должна быть	3	2
194	это значит	2	2
195	слов и	4	2
196	или на	2	2
197	к другому	2	2
198	и эта	3	2
199	исходили из	2	2
200	и следовательно	3	2
201	каждый элемент	4	2
202	еще в	3	2
203	в котором	2	2
204	сами по	2	2
205	должен быть	2	2
206	с таким	2	2
207	из них	2	2
208	для чего	2	2
209	во всех	3	2
210	отношения к	2	2
211	нам кажется	2	2
212	к самому	2	2
213	все это	7	2
214	отличается от	2	2
215	по отношению	3	2
216	в отличие	2	2
217	это и	2	2
218	одной и	2	2
219	с точки	14	2
220	и даже	2	2
221	между ними	15	2
222	отличие от	2	2
223	ничего не	2	2
224	в которых	3	2
225	от одного	2	2
226	и с	3	2
227	говорит он	5	2
228	является в	2	2
229	и самый	2	2
230	поэтому совершенно	2	2
231	совсем не	5	2
232	в то	7	2
233	ту же	2	2
234	если же	5	2
235	как он	2	2
236	все эти	6	2
237	дело в	2	2
238	из этого	4	2
239	в полной	2	2
240	конце концов	2	2
241	связь между	4	2
242	на самом	14	2
