N	3gram	Vygotskiy__4	Psycholo
1	в самом деле	6	18
2	на то что	4	12
3	в том что	31	11
4	с точки зрения	11	9
5	то же самое	7	8
6	для того чтобы	5	8
7	мы видим что	2	7
8	заключается в том	14	6
9	с одной стороны	9	5
10	с другой стороны	8	5
11	о том что	3	3
12	мы могли бы	9	3
13	мы уже говорили	2	3
14	и то что	4	3
15	речь идет о	3	3
16	смысле этого слова	7	2
17	в данном случае	2	2
18	в том смысле	2	2
19	в свою очередь	2	2
20	одно и то	6	2
21	того же самого	2	2
22	все более и	2	2
23	только в том	2	2
24	как мы видели	2	2
25	и то же	6	2
26	мы видим в	2	2
27	вместе с тем	3	2
28	во всяком случае	3	2
29	мы видели что	2	2
30	более и более	2	2
