N	2gram	Kanaev_Sov_1	VLabPisa
1	таким образом	11	27
2	в этом	7	26
3	и в	7	25
4	не только	4	22
5	может быть	12	21
6	и не	6	19
7	не может	17	17
8	в его	2	15
9	прежде всего	5	13
10	в том	4	13
11	все это	3	12
12	из них	4	11
13	не могут	2	10
14	что в	2	9
15	то же	3	9
16	все эти	5	8
17	могут быть	2	8
18	из этих	2	7
19	как и	6	7
20	было бы	3	7
21	вместе с	4	7
22	а не	3	7
23	у него	2	6
24	это не	4	6
25	в себе	3	6
26	в нем	3	6
27	в зависимости	4	6
28	их в	4	6
29	в результате	6	5
30	все же	3	5
31	зависимости от	4	5
32	и есть	2	5
33	как бы	4	5
34	приводит к	2	5
35	не в	3	5
36	для его	2	4
37	в одном	3	4
38	в целом	4	4
39	что все	2	4
40	одна из	3	4
41	в самом	2	4
42	в этой	3	4
43	и к	3	3
44	в конце	3	3
45	мы знаем	2	3
46	у нас	3	3
47	мы видели	4	3
48	видели что	3	3
49	с этим	2	3
50	следующим образом	3	3
51	нет и	4	3
52	жизни и	4	3
53	и по	2	3
54	точки зрения	12	3
55	не менее	2	2
56	в каждом	8	2
57	у каждого	3	2
58	задача эта	2	2
59	отличается от	3	2
60	не подлежит	3	2
61	наблюдения и	2	2
62	роль в	2	2
63	или иной	2	2
64	что при	2	2
65	и потому	3	2
66	как известно	2	2
67	в системе	3	2
68	еще не	3	2
69	же самое	2	2
70	ни одна	2	2
71	в науке	2	2
72	что она	3	2
73	и даже	2	2
74	всяком случае	2	2
75	отнюдь не	3	2
76	он может	3	2
77	может не	3	2
78	а в	4	2
79	с одной	2	2
80	из которых	2	2
81	что такое	2	2
82	само собою	3	2
83	каждом отдельном	5	2
84	во всяком	2	2
85	он в	3	2
86	знаем что	2	2
87	говорить о	2	2
88	как он	3	2
89	в которой	2	2
90	в области	3	2
91	но в	3	2
