N	3gram	Tiupa_Narr_2	Myshleni
1	с точки зрения	2	21
2	в том что	8	13
3	не только не	2	9
4	так же как	2	7
5	к тому что	3	6
6	в данном случае	6	5
7	с одной стороны	5	5
8	по отношению к	5	5
9	о том что	4	4
10	и тем самым	2	4
11	по своей природе	2	4
12	не может быть	2	4
13	тем не менее	4	3
14	можно сказать что	3	3
15	в этом отношении	3	3
16	состоит в том	4	3
17	мере в какой	2	2
18	точно так же	2	2
19	в отличие от	5	2
20	в известном смысле	3	2
21	в той мере	2	2
22	в конечном счете	3	2
23	той мере в	2	2
24	на самом деле	2	2
