N	3gram	Vinokur_St_3	Vvedenie
1	и т д	2	36
2	о том что	4	12
3	в том что	11	12
4	тем не менее	2	8
5	не может быть	5	8
6	в этом смысле	4	8
7	то же время	3	6
8	в то же	3	6
9	до сих пор	2	6
10	и т п	6	5
11	с другой стороны	4	5
12	в том чтобы	2	5
13	по крайней мере	4	4
14	не только в	3	4
15	с одной стороны	2	4
16	в этом отношении	4	4
17	и в этом	2	4
18	во всяком случае	4	4
19	с тем что	3	3
20	и тем не	2	3
21	заключается в том	2	3
22	но все же	2	3
23	в конце концов	3	2
24	по этому поводу	2	2
25	в начале xix	3	2
26	с точки зрения	4	2
27	не в том	3	2
28	в связи с	3	2
29	состоит в том	3	2
30	потому что он	2	2
