N	2gram	Berdyaev_V_1	Literetu
1	а не	7	20
2	и в	16	19
3	и не	20	11
4	в том	3	10
5	как и	4	10
6	но и	5	10
7	в мире	5	9
8	в этом	4	9
9	не только	2	8
10	том что	2	7
11	то что	9	7
12	так и	4	7
13	с тобой	2	5
14	одна из	2	5
15	но не	2	5
16	того что	5	5
17	что в	3	4
18	прежде всего	2	4
19	не в	3	4
20	для него	2	4
21	в ней	4	4
22	в его	4	4
23	один из	2	4
24	жизни и	3	4
25	мы не	2	4
26	тем что	2	4
27	никогда не	3	3
28	в себя	2	3
29	что он	4	3
30	в нем	4	3
31	но это	3	3
32	во всех	3	3
33	не с	2	3
34	и для	3	3
35	так как	9	3
36	а в	2	3
37	и то	2	3
38	не было	3	2
39	первый раз	3	2
40	с тем	2	2
41	в них	3	2
42	в конце	3	2
43	в жизни	3	2
44	что было	2	2
45	для нас	2	2
46	все что	4	2
47	тот же	3	2
48	еще не	8	2
49	и сам	2	2
50	не так	2	2
51	как бы	5	2
52	что и	3	2
53	и т	2	2
54	не к	2	2
55	могут быть	2	2
56	и за	2	2
57	в истории	8	2
58	все равно	2	2
59	уже не	2	2
60	что ты	3	2
61	и что	3	2
62	что не	4	2
63	за то	3	2
64	хотя бы	3	2
65	а к	2	2
66	потому что	4	2
67	во имя	32	2
68	на себя	5	2
69	в первый	3	2
70	что я	3	2
71	с ним	2	2
72	но в	3	2
73	мира в	2	2
