N	2gram	Bakhtin_fo_2	RusskieA
1	и в	46	29
2	что в	5	22
3	том что	4	22
4	в том	10	22
5	как бы	10	18
6	и другие	3	14
7	может быть	7	13
8	так как	6	13
9	во время	10	12
10	как и	8	11
11	в этом	22	11
12	все это	6	10
13	в этот	3	10
14	и с	6	10
15	не только	11	10
16	а на	2	9
17	о том	4	9
18	в некоторых	2	9
19	а в	3	9
20	но и	9	8
21	ее в	3	8
22	его в	6	8
23	мы видели	2	7
24	в день	2	7
25	как в	4	7
26	с тем	2	6
27	этом случае	2	6
28	же в	4	6
29	еще не	6	6
30	для того	8	6
31	вместе с	9	6
32	таким образом	3	6
33	при этом	6	6
34	того чтобы	8	6
35	и на	7	6
36	в данном	2	6
37	мы имеем	2	6
38	на земле	2	5
39	представление о	2	5
40	потому что	8	5
41	это не	2	5
42	к этому	3	5
43	то что	7	5
44	но не	5	5
45	и т	14	5
46	не может	2	5
47	т д	3	5
48	но в	10	5
49	именно в	2	4
50	о чем	3	4
51	в них	7	4
52	и все	6	4
53	а затем	3	4
54	уже не	3	4
55	по существу	5	4
56	так что	4	4
57	не в	9	4
58	из них	8	4
59	том же	4	4
60	а также	3	4
61	в фольклоре	2	4
62	так же	2	4
63	то же	8	4
64	у нас	2	4
65	а не	4	4
66	в которых	3	4
67	их в	4	4
68	далеко не	2	4
69	как это	2	4
70	на этом	2	3
71	тем что	3	3
72	в этих	3	3
73	в качестве	3	3
74	и других	2	3
75	и от	2	3
76	и смех	3	3
77	на первый	3	3
78	она не	2	3
79	что здесь	2	3
80	до конца	2	3
81	того что	3	3
82	было бы	2	3
83	и о	2	3
84	в котором	4	3
85	на землю	2	3
86	во всех	11	3
87	все эти	5	3
88	смеха при	2	3
89	и по	3	3
90	как мы	6	3
91	но он	2	3
92	в этой	2	3
93	по всем	2	3
94	с этой	4	2
95	связи с	8	2
96	могут быть	2	2
97	никогда не	6	2
98	связанные с	5	2
99	жизни в	4	2
100	с другой	2	2
101	из этих	4	2
102	ее и	2	2
103	в образе	4	2
104	прежде всего	14	2
105	как можно	3	2
106	как уже	3	2
107	не был	2	2
108	представлений о	2	2
109	что и	3	2
110	кроме того	3	2
111	и как	3	2
112	в ряд	9	2
113	у них	2	2
114	совсем не	2	2
115	здесь в	6	2
116	смерти в	11	2
117	и пр	2	2
118	что на	3	2
119	в виду	3	2
120	со смехом	3	2
121	один из	2	2
122	все же	6	2
123	все в	2	2
124	после этого	2	2
125	в форме	3	2
126	в их	3	2
127	смерти и	4	2
128	сюда же	2	2
129	влияние на	2	2
130	не было	3	2
131	с одной	2	2
132	ее к	2	2
133	там где	2	2
134	здесь мы	3	2
135	и для	9	2
136	должно быть	5	2
137	жизнь и	3	2
138	каждый из	2	2
139	людей и	2	2
140	с этим	5	2
141	в то	5	2
142	смерть и	8	2
143	та же	3	2
