N	2gram	Propp_Russ_2	VelikijI
1	и в	29	16
2	то что	5	9
3	так как	13	9
4	еще не	6	8
5	на земле	5	7
6	а не	4	7
7	как бы	18	5
8	но и	8	5
9	все это	10	5
10	того что	3	5
11	на себя	2	5
12	в образе	2	4
13	как и	11	4
14	в котором	3	4
15	потому что	5	4
16	в этом	11	4
17	и все	4	4
18	что в	22	3
19	по этому	2	3
20	в этих	3	3
21	в них	4	3
22	в том	22	3
23	не в	4	3
24	за ним	3	3
25	во всех	3	3
26	никогда не	2	3
27	что и	2	3
28	в своей	2	3
29	не было	2	3
30	и что	5	3
31	не имеет	3	3
32	и для	2	3
33	должно быть	2	3
34	их в	4	3
35	все эти	3	3
36	но в	5	3
37	что от	3	2
38	с тем	6	2
39	это не	5	2
40	прежде всего	2	2
41	ее и	2	2
42	для нас	6	2
43	том что	22	2
44	а к	2	2
45	одна из	11	2
46	но не	5	2
47	не к	2	2
48	для них	2	2
49	того чтобы	6	2
50	земли и	5	2
51	не только	10	2
52	один из	2	2
53	не с	2	2
54	и т	5	2
55	ее в	8	2
56	в форме	2	2
57	т д	5	2
58	а с	2	2
59	тем что	3	2
60	мы не	6	2
61	уже не	4	2
62	а в	9	2
63	можно было	2	2
64	и то	2	2
65	людей и	2	2
66	между тем	3	2
67	могут быть	2	2
