N	3gram	Medvedev_V_1	KulturaY
1	и т п	9	18
2	в том что	5	15
3	для того чтобы	3	15
4	и т д	14	14
5	по отношению к	7	8
6	в том чтобы	2	8
7	с другой стороны	8	6
8	по крайней мере	2	5
9	в этом отношении	13	5
10	о том что	3	5
11	в зависимости от	5	5
12	хотя бы в	3	4
13	не в том	2	4
14	только в том	2	3
15	можно было бы	2	3
16	о том как	3	3
17	более или менее	6	3
18	в связи с	3	3
19	не может быть	8	3
20	вместе с тем	3	3
21	т е в	2	2
22	то же время	5	2
23	хотя бы и	5	2
24	к тому что	3	2
25	этой точки зрения	2	2
26	в то же	5	2
27	чуть ли не	2	2
