N	2gram	Savitsky_E_1	Psycholo
1	в том	11	37
2	и в	37	32
3	и что	2	22
4	том что	6	21
5	то что	6	21
6	таким образом	2	21
7	потому что	3	21
8	то есть	6	21
9	что в	21	20
10	так же	9	18
11	может быть	6	18
12	что и	3	17
13	не может	9	17
14	точки зрения	23	17
15	того чтобы	6	14
16	то же	15	13
17	для того	6	13
18	в этом	12	13
19	по себе	4	12
20	в самом	4	12
21	не только	18	12
22	заключается в	2	12
23	с и	10	12
24	так как	7	12
25	на то	6	11
26	с тем	3	11
27	было бы	8	11
28	при помощи	2	10
29	как и	7	10
30	когда он	3	10
31	но и	14	10
32	и не	14	10
33	с точки	17	10
34	никогда не	3	9
35	что все	2	9
36	как в	3	9
37	в своих	2	9
38	тем что	3	9
39	что это	2	8
40	не в	5	8
41	того что	7	8
42	к тому	8	7
43	и как	2	7
44	такой же	2	7
45	а не	2	7
46	можно было	3	7
47	сказать что	4	7
48	в психологии	3	7
49	как будто	2	7
50	только в	9	7
51	в этой	2	6
52	и мы	3	6
53	он не	2	6
54	как бы	6	6
55	целый ряд	2	6
56	что если	2	6
57	о том	3	6
58	если бы	2	6
59	отнюдь не	9	5
60	вслед за	6	5
61	в ней	4	5
62	далеко не	2	5
63	этом отношении	3	5
64	и даже	6	5
65	как на	3	5
66	и на	6	5
67	в то	16	5
68	и более	2	4
69	же как	5	4
70	столь же	5	4
71	с этой	6	4
72	утверждать что	2	4
73	есть не	2	4
74	что на	2	4
75	как это	4	4
76	несмотря на	4	4
77	иначе говоря	2	4
78	и по	5	4
79	и тем	3	4
80	из них	3	4
81	жизни и	2	4
82	наряду с	2	4
83	данном случае	2	4
84	а в	2	4
85	и все	2	4
86	мы видим	2	4
87	не имеет	4	4
88	и для	3	4
89	в данном	3	4
90	и с	2	4
91	могут быть	2	4
92	с этим	2	4
93	и поэтому	2	4
94	между тем	8	4
95	в общем	3	3
96	по своему	7	3
97	не могут	2	3
98	главным образом	2	3
99	в частности	5	3
100	к которым	5	3
101	хотя бы	15	3
102	с другой	7	3
103	представление о	2	3
104	и к	3	3
105	это значит	2	3
106	но как	2	3
107	в свою	3	3
108	в своей	8	3
109	так и	10	3
110	не к	2	3
111	во всех	6	3
112	бы и	3	3
113	в их	11	3
114	в отношении	32	3
115	что же	2	3
116	которого мы	2	3
117	еще более	2	3
118	и других	2	3
119	этот вопрос	2	3
120	и сейчас	2	3
121	в смысле	9	3
122	само по	4	3
123	в каком	4	3
124	в которых	3	3
125	и то	2	3
126	ни на	3	3
127	мы должны	2	3
128	отношении к	15	3
129	того или	4	3
130	думать что	8	3
131	тогда когда	2	3
132	но в	14	3
133	мы не	4	3
134	мы можем	3	3
135	место в	3	2
136	и этот	2	2
137	все более	9	2
138	с в	2	2
139	но даже	4	2
140	в них	3	2
141	сравнению с	2	2
142	то ни	4	2
143	в какой	2	2
144	и от	3	2
145	точка зрения	2	2
146	из всех	3	2
147	к природе	2	2
148	с другими	2	2
149	в одном	2	2
150	на одну	2	2
151	именно потому	2	2
152	к нулю	2	2
153	или иного	4	2
154	этой точки	5	2
155	во всяком	3	2
156	говорит о	3	2
157	же время	14	2
158	тем более	4	2
159	свою очередь	2	2
160	но не	5	2
161	очевидно что	3	2
162	того же	3	2
163	по сравнению	2	2
164	она не	2	2
165	вовсе не	6	2
166	к нему	2	2
167	к ним	3	2
168	которые они	2	2
169	в его	2	2
170	всяком случае	3	2
171	если в	2	2
172	в ее	8	2
173	бы то	4	2
174	в этих	2	2
175	как не	2	2
176	для нас	4	2
177	в процессе	4	2
178	вместе с	2	2
179	заключает в	3	2
180	не на	4	2
181	другой стороны	2	2
182	из того	2	2
183	или иному	2	2
184	на этот	2	2
185	в других	2	2
186	тому или	2	2
187	в таком	3	2
188	также и	7	2
189	ли это	3	2
190	в себе	9	2
191	и таким	2	2
192	и только	3	2
193	там где	3	2
194	заметить что	2	2
