N	2gram	Tiupa_Lite_3	Istorich
1	и в	16	22
2	в этом	14	17
3	что в	2	15
4	не только	14	14
5	но и	14	12
6	и не	22	12
7	может быть	12	11
8	еще не	6	10
9	но в	3	10
10	что он	5	9
11	в нем	2	9
12	что и	2	9
13	вместе с	5	9
14	в том	12	9
15	не знаю	2	8
16	том что	8	8
17	как мы	2	8
18	другой стороны	2	7
19	с другой	6	7
20	к этому	2	7
21	но не	4	7
22	то что	12	7
23	из них	4	7
24	уже не	3	7
25	там где	3	7
26	связи с	2	6
27	это не	5	6
28	все еще	3	6
29	не вполне	2	6
30	с ней	2	6
31	а в	5	6
32	то же	9	6
33	а не	12	6
34	если бы	2	6
35	не менее	2	5
36	в частности	11	5
37	один из	2	5
38	все же	2	5
39	того что	9	5
40	в этой	8	5
41	не всегда	2	4
42	на смену	3	4
43	как это	3	4
44	у нас	2	4
45	не в	10	4
46	только в	7	4
47	в свою	2	4
48	одним из	4	4
49	отношение к	2	4
50	а именно	5	4
51	и его	6	4
52	и на	2	4
53	в данном	4	4
54	не может	8	4
55	тем что	2	4
56	и с	2	4
57	я не	2	3
58	состоит в	6	3
59	что у	2	3
60	он все	2	3
61	прежде всего	3	3
62	стороны и	2	3
63	к тому	6	3
64	и к	3	3
65	а затем	3	3
66	как и	5	3
67	и как	3	3
68	за ним	2	3
69	представляет собой	2	3
70	особого рода	5	3
71	было бы	2	3
72	на его	3	3
73	в его	6	3
74	никогда не	4	3
75	в целом	5	3
76	ее в	2	3
77	данном случае	4	3
78	со стороны	7	3
79	так же	2	3
80	с ними	2	3
81	потому что	3	3
82	он и	2	3
83	и ее	2	3
84	далеко не	2	3
85	о том	6	3
86	его в	2	3
87	здесь не	2	3
88	если это	2	3
89	одном из	2	3
90	все время	3	2
91	в сторону	3	2
92	в одном	4	2
93	в жизни	8	2
94	вопрос о	2	2
95	а я	3	2
96	можно сказать	2	2
97	же в	2	2
98	тому же	5	2
99	с одной	4	2
100	как в	5	2
101	при этом	15	2
102	в качестве	5	2
103	на себя	2	2
104	одной стороны	4	2
105	совершенно не	3	2
106	например в	3	2
107	одного из	2	2
108	хотя и	4	2
109	и потому	2	2
110	даже в	4	2
111	к жизни	2	2
112	не с	2	2
113	то это	2	2
114	отношению к	4	2
115	жизни и	3	2
116	герой в	2	2
117	так и	9	2
118	по отношению	4	2
119	той же	3	2
120	если не	2	2
121	из того	2	2
122	и вот	2	2
123	что не	2	2
124	и даже	2	2
125	и для	4	2
126	со своими	2	2
127	в работе	2	2
128	между тем	3	2
129	точки зрения	7	2
130	в другом	6	2
131	в то	9	2
132	как будто	4	2
133	а также	4	2
