N	2gram	Nazirov_Vr_1	Psycholo
1	то что	7	32
2	и в	8	31
3	в том	3	30
4	что в	7	23
5	может быть	4	22
6	таким образом	2	20
7	при помощи	2	20
8	при этом	4	19
9	не может	2	17
10	как и	6	16
11	том что	3	16
12	и не	5	16
13	точки зрения	2	15
14	не только	9	13
15	так же	4	12
16	в этом	8	12
17	на то	3	10
18	никогда не	2	8
19	вместе с	2	8
20	все это	4	8
21	и что	8	8
22	что он	4	7
23	и его	3	7
24	о том	4	7
25	отнюдь не	2	6
26	целый ряд	4	6
27	а в	2	6
28	и даже	6	6
29	в его	3	6
30	и все	7	5
31	все же	6	5
32	х годов	4	5
33	для нас	4	5
34	несмотря на	4	5
35	как бы	4	5
36	то же	5	5
37	в то	5	5
38	в котором	6	4
39	в виду	4	4
40	столь же	2	4
41	в себе	2	4
42	что я	2	4
43	же как	2	4
44	одна из	2	4
45	у него	5	4
46	и о	3	4
47	к этому	3	4
48	и у	3	4
49	в своих	4	4
50	между тем	5	4
51	уже в	4	3
52	его и	2	3
53	в своем	3	3
54	что у	3	3
55	мы знаем	2	3
56	но это	2	3
57	в этой	2	3
58	он не	3	3
59	речь идет	3	3
60	в своей	2	3
61	не было	5	3
62	в конце	3	3
63	и это	2	3
64	но в	6	3
65	т е	3	3
66	в известном	2	2
67	не менее	2	2
68	и как	3	2
69	в них	2	2
70	и во	3	2
71	это в	2	2
72	с ним	4	2
73	на место	2	2
74	там же	2	2
75	уже не	2	2
76	о чем	2	2
77	том же	2	2
78	далеко не	3	2
79	в него	2	2
80	в нем	6	2
81	отношение к	2	2
82	из них	2	2
83	но и	7	2
84	я хотел	3	2
85	как раз	2	2
86	что есть	3	2
87	страшной мести	3	2
88	в связи	3	2
89	по мнению	2	2
90	на основе	2	2
91	с точки	2	2
92	в чем	3	2
93	к ним	2	2
94	их в	2	2
95	и с	6	2
96	но как	2	2
97	и то	2	2
98	на это	2	2
99	его в	3	2
