N	2gram	Tiupa_Disk_2	VrazhdaK
1	не только	10	9
2	в этом	16	8
3	и в	16	8
4	но и	11	7
5	что в	5	7
6	то что	5	7
7	и все	3	7
8	в котором	3	6
9	в нем	7	6
10	все же	6	6
11	как и	16	6
12	но в	11	6
13	и с	2	6
14	то же	6	5
15	не было	3	5
16	и не	15	5
17	между тем	2	5
18	в то	5	5
19	же время	5	5
20	как бы	4	4
21	все это	2	4
22	это не	3	4
23	что он	2	4
24	в своих	6	4
25	может быть	16	4
26	при этом	17	4
27	о том	4	4
28	в ней	2	4
29	с его	6	3
30	русской литературе	2	3
31	записки охотника	2	3
32	в своем	5	3
33	к этому	4	3
34	человека в	4	3
35	в том	8	3
36	и его	3	3
37	том что	10	3
38	и как	3	3
39	в его	3	3
40	далеко не	2	3
41	в русской	3	3
42	его в	3	3
43	он не	3	3
44	и т.п	12	2
45	место в	2	2
46	а с	5	2
47	в своей	6	2
48	и это	2	2
49	из них	3	2
50	не менее	7	2
51	никогда не	2	2
52	вместе с	2	2
53	отнюдь не	6	2
54	в них	3	2
55	столь же	3	2
56	не может	9	2
57	а в	2	2
58	тогда как	11	2
59	это в	2	2
60	в период	4	2
61	но это	3	2
62	там же	2	2
63	в той	2	2
64	уже не	3	2
65	этот человек	2	2
66	на первый	2	2
67	с точки	2	2
68	в этой	4	2
69	и то	4	2
70	же как	2	2
71	их в	2	2
72	точки зрения	4	2
73	и ее	3	2
74	в себе	19	2
75	отношение к	2	2
76	для него	5	2
77	еще не	6	2
78	о чем	2	2
79	в мире	11	2
80	а также	8	2
