N	2gram	Losev_Vesc_1	RusskieA
1	и в	21	36
2	не только	36	22
3	что в	9	19
4	том что	8	19
5	в том	8	17
6	т е	55	17
7	в и	2	17
8	но и	18	16
9	так как	7	15
10	в этом	4	12
11	это не	5	10
12	как мы	4	10
13	как и	8	10
14	и т	19	10
15	потому что	16	10
16	об этом	3	9
17	т д	19	9
18	а в	4	9
19	с тем	5	8
20	у нас	7	8
21	из них	4	8
22	может быть	16	8
23	один из	3	8
24	е в	7	8
25	о том	6	8
26	как это	2	8
27	что они	6	7
28	что и	3	7
29	так и	3	7
30	и не	29	6
31	для нас	2	6
32	уже не	9	6
33	таким образом	8	6
34	мы не	6	6
35	все это	5	6
36	то что	27	6
37	все же	4	5
38	как бы	12	5
39	а и	9	5
40	и у	3	5
41	с ними	3	5
42	тому что	2	4
43	с собой	2	4
44	к тому	3	4
45	что на	2	4
46	по существу	2	4
47	одна из	5	4
48	еще не	8	4
49	и а	2	4
50	во всех	2	4
51	и их	7	4
52	в россии	2	4
53	с в	2	4
54	не может	17	4
55	а с	3	4
56	мы имеем	7	4
57	и что	15	4
58	того что	8	4
59	но это	10	4
60	тем что	2	4
61	только в	14	4
62	слова в	2	3
63	не менее	3	3
64	что это	13	3
65	в своем	6	3
66	в одном	2	3
67	в свою	4	3
68	тем не	3	3
69	на этом	2	3
70	только на	3	3
71	не с	7	3
72	в разных	4	3
73	то же	6	3
74	с точки	3	3
75	ничего не	3	3
76	их в	3	3
77	точки зрения	5	3
78	независимо от	5	2
79	но даже	3	2
80	в отдельности	4	2
81	его и	2	2
82	или другие	4	2
83	что у	5	2
84	с этим	3	2
85	и потому	5	2
86	не просто	19	2
87	в нем	2	2
88	не что	7	2
89	у него	2	2
90	в в	2	2
91	в жизни	3	2
92	так что	5	2
93	и как	8	2
94	мы видим	2	2
95	в силу	3	2
96	говорится о	2	2
97	свою очередь	4	2
98	но не	5	2
99	но что	2	2
100	она не	4	2
101	отнюдь не	5	2
102	судить о	4	2
103	в ней	12	2
104	в его	2	2
105	не значит	7	2
106	как можно	3	2
107	и с	8	2
108	значит что	24	2
109	с ней	2	2
110	но она	3	2
111	что она	15	2
112	находится в	3	2
113	в свете	7	2
114	для этого	4	2
115	между прочим	3	2
116	все эти	3	2
117	можно говорить	2	2
118	а не	19	2
119	и пр	6	2
120	и для	9	2
121	с ним	8	2
122	или в	2	2
123	тут же	2	2
124	не случайно	2	2
125	мы можем	4	2
126	хотя и	4	2
127	себя и	4	2
128	к ней	2	2
129	и здесь	4	2
130	что иное	7	2
131	но в	5	2
132	мы должны	2	2
133	иное как	7	2
