N	2gram	Bakhtin_Pr_2	Analitik
1	в этом	13	18
2	и в	43	16
3	не только	11	16
4	так и	3	15
5	как и	14	14
6	в том	6	12
7	но и	14	12
8	и не	29	12
9	том что	2	12
10	могут быть	3	10
11	как бы	22	10
12	при этом	6	10
13	а не	7	10
14	в пределах	16	9
15	лишь в	8	9
16	и даже	3	9
17	ничего не	3	9
18	то есть	4	9
19	в целом	2	8
20	к тому	4	7
21	в себе	5	7
22	то что	7	7
23	особенно в	2	7
24	о том	5	7
25	с другой	4	6
26	в самом	7	6
27	и на	10	6
28	может быть	23	6
29	но в	10	6
30	в сторону	2	5
31	и к	3	5
32	на себя	2	5
33	не менее	3	4
34	в своем	4	4
35	в конце	2	4
36	у него	6	4
37	уже не	3	4
38	тому же	3	4
39	не в	11	4
40	за пределы	3	4
41	но не	5	4
42	того же	3	4
43	для него	8	4
44	в сущности	9	4
45	и является	2	4
46	внутренней речи	2	4
47	и особенно	2	4
48	отношению к	5	4
49	во всех	4	4
50	как в	2	4
51	все это	5	4
52	как раз	4	4
53	по отношению	5	4
54	не может	18	4
55	и его	8	4
56	то же	8	4
57	хотя и	5	4
58	точки зрения	13	4
59	только в	4	4
60	в себя	3	4
61	не был	2	3
62	никогда не	9	3
63	на фоне	5	3
64	прежде всего	10	3
65	или иной	3	3
66	этого слова	2	3
67	что на	2	3
68	тем не	2	3
69	так что	5	3
70	с самим	8	3
71	есть в	3	3
72	было бы	5	3
73	и сам	7	3
74	на себе	2	3
75	в речи	5	3
76	или в	8	3
77	той или	3	3
78	что и	3	3
79	из них	2	3
80	в первой	2	3
81	в словах	4	3
82	в их	3	3
83	приводит к	6	3
84	только на	3	3
85	если бы	3	3
86	не знает	3	3
87	можно было	3	3
88	а в	5	3
89	как мы	10	3
90	с ними	2	3
91	и то	2	3
92	в результате	4	3
93	автора и	2	3
94	тем что	3	3
95	бы в	5	3
96	в эту	3	3
97	я и	2	3
98	и все	6	3
99	а как	4	2
100	того что	2	2
101	уже и	2	2
102	была бы	2	2
103	другого и	2	2
104	в одном	12	2
105	от автора	3	2
106	этом смысле	2	2
107	вовсе не	5	2
108	по себе	11	2
109	на то	5	2
110	момент его	2	2
111	он был	3	2
112	знаю что	4	2
113	а затем	2	2
114	отличие от	4	2
115	по существу	3	2
116	из его	2	2
117	ведь ты	2	2
118	том или	3	2
119	а то	2	2
120	превращается в	2	2
121	же время	5	2
122	ведь это	2	2
123	что в	4	2
124	с их	2	2
125	она не	3	2
126	еще не	9	2
127	ведь и	7	2
128	в своей	4	2
129	в котором	6	2
130	даже в	3	2
131	не есть	2	2
132	себя в	3	2
133	и их	3	2
134	в отличие	4	2
135	на него	3	2
136	другой стороны	3	2
137	отношения к	2	2
138	таким образом	5	2
139	здесь в	3	2
140	той же	3	2
141	т е	26	2
142	еще более	2	2
143	того и	3	2
144	но эта	2	2
145	этих случаях	2	2
146	на этот	4	2
147	и он	5	2
148	и для	3	2
149	с точки	8	2
150	высказывания и	2	2
151	голосов в	9	2
152	так же	2	2
153	в таком	2	2
154	и до	4	2
155	никак не	5	2
156	между тем	3	2
157	речи и	4	2
158	он не	9	2
159	он и	3	2
160	о себе	7	2
161	в то	7	2
162	в его	10	2
163	в поэзии	2	2
164	в диалоге	3	2
165	его в	3	2
166	в этих	6	2
167	в произведении	4	2
168	сказать что	2	2
169	с ним	3	2
170	о своей	3	2
171	же не	4	2
172	произведения как	2	2
