N	2gram	Potebnia_M_1	Sotsiolo
1	в том	26	5
2	в этом	15	5
3	не в	15	3
4	для нас	9	3
5	и только	2	3
6	в его	5	3
7	и в	39	3
8	не только	21	3
9	или даже	3	2
10	по отношению	13	2
11	еще не	6	2
12	было бы	12	2
13	как будто	2	2
14	она может	3	2
15	только в	25	2
16	нужно было	3	2
17	таким образом	13	2
18	том что	16	2
19	то же	6	2
20	отношению к	13	2
21	то что	10	2
22	тем более	2	2
23	может быть	27	2
24	за пределы	2	2
25	и что	10	2
26	но и	20	2
27	очевидно что	3	2
28	в смысле	4	2
29	к которому	3	2
30	как бы	6	2
31	должна быть	3	2
32	что в	22	2
