N	2gram	Tiupa_Anal_3	KulturaY
1	и в	18	23
2	не только	22	20
3	в том	9	19
4	в этом	14	18
5	и не	12	16
6	было бы	3	15
7	может быть	9	15
8	точки зрения	3	14
9	в самом	5	12
10	все эти	2	12
11	том что	12	11
12	но в	2	11
13	что в	9	10
14	по себе	4	10
15	а не	9	10
16	в сущности	5	9
17	то что	2	9
18	самом деле	2	9
19	не может	2	9
20	с другой	7	8
21	прежде всего	5	8
22	не в	6	8
23	в качестве	12	8
24	уже не	5	8
25	с точки	2	8
26	не менее	4	7
27	все же	4	7
28	но и	13	7
29	другой стороны	5	7
30	это не	2	6
31	по крайней	4	6
32	крайней мере	4	6
33	да и	2	6
34	в этой	6	6
35	но не	7	6
36	что не	3	6
37	тем не	2	6
38	вопроса о	2	6
39	то же	3	6
40	между тем	5	6
41	и на	4	6
42	что мы	2	6
43	что он	4	5
44	об этом	2	5
45	еще не	6	5
46	несмотря на	2	5
47	в его	7	5
48	всяком случае	2	5
49	этого слова	2	5
50	один из	2	5
51	вместе с	2	5
52	приводит к	4	5
53	все это	3	5
54	таким образом	4	5
55	там где	2	5
56	и вот	2	5
57	лишь в	5	5
58	как это	3	5
59	во всяком	2	5
60	и здесь	2	5
61	только в	2	5
62	мы имеем	5	5
63	отнюдь не	4	4
64	в них	2	4
65	перед нами	4	4
66	к этому	3	4
67	бы и	2	4
68	можно сказать	4	4
69	к тому	6	4
70	в пределах	4	4
71	своего рода	8	4
72	хотя и	2	4
73	как бы	10	4
74	в нем	2	4
75	со стороны	9	4
76	не было	3	4
77	в данном	4	4
78	в результате	5	4
79	сказать что	2	4
80	могут быть	2	4
81	говорить о	3	4
82	в то	3	4
83	в конце	5	4
84	в особенности	3	4
85	ничего не	3	4
86	так и	14	4
87	уже в	3	3
88	гораздо более	2	3
89	же время	3	3
90	а также	2	3
91	о которых	2	3
92	же в	2	3
93	это и	2	3
94	в соответствии	2	3
95	того же	5	3
96	совершенно не	2	3
97	в ней	2	3
98	он не	6	3
99	что и	5	3
100	что она	2	3
101	как в	3	3
102	как раз	7	3
103	так в	3	3
104	в форме	2	3
105	с этим	3	3
106	этом отношении	3	3
107	именно в	3	3
108	те же	2	3
109	сводится к	2	3
110	и по	2	3
111	а в	10	3
112	и его	13	3
113	тем что	2	3
114	указание на	2	3
115	здесь не	3	3
116	всего лишь	8	3
117	с тем	2	2
118	в частности	12	2
119	никогда не	5	2
120	состоит в	4	2
121	не как	2	2
122	и от	2	2
123	и все	2	2
124	не всегда	3	2
125	не должно	3	2
126	что они	3	2
127	конечном счете	2	2
128	ли не	4	2
129	и потому	2	2
130	с одной	2	2
131	свою очередь	4	2
132	очевидно что	2	2
133	не более	2	2
134	в свою	5	2
135	тех пор	2	2
136	на примере	2	2
137	при этом	11	2
138	по поводу	3	2
139	что касается	3	2
140	по преимуществу	2	2
141	в конечном	2	2
142	в свое	2	2
143	и даже	8	2
144	дело не	3	2
145	все они	2	2
146	данном случае	3	2
147	в их	6	2
148	в своем	4	2
149	в отличие	2	2
150	и для	2	2
151	еще и	3	2
152	нам не	2	2
153	как и	14	2
154	в году	3	2
155	в той	2	2
156	тем самым	4	2
157	свое время	2	2
158	той же	5	2
159	роль в	3	2
160	в глазах	2	2
161	однако и	3	2
162	нуждается в	2	2
163	он и	3	2
164	могла бы	2	2
165	могли бы	2	2
166	ответ на	3	2
167	отличие от	2	2
168	отношения к	2	2
