N	2gram	Vinokur_Ku_3	EvropaiC
1	таким образом	9	32
2	в том	22	31
3	и в	23	24
4	том что	11	20
5	все эти	7	19
6	не может	6	18
7	то что	4	17
8	может быть	14	15
9	все же	5	15
10	точки зрения	23	13
11	в своем	4	12
12	до сих	8	12
13	сих пор	8	12
14	самом деле	14	12
15	в этом	16	12
16	все это	2	11
17	между тем	4	11
18	отношению к	2	10
19	как бы	5	10
20	по отношению	3	10
21	так и	6	10
22	при этом	6	9
23	в результате	3	9
24	как и	5	9
25	того же	4	9
26	что в	13	9
27	не в	5	8
28	в самом	13	8
29	так же	2	8
30	если бы	8	8
31	ясно что	4	8
32	с точки	16	8
33	не менее	12	7
34	для этого	6	7
35	к тому	3	7
36	но и	3	7
37	и не	10	7
38	и что	7	7
39	из этих	5	7
40	о том	6	7
41	что он	6	7
42	по существу	3	7
43	в силу	6	7
44	или менее	2	7
45	на самом	3	7
46	того чтобы	11	7
47	для того	12	7
48	более или	2	7
49	должна быть	3	6
50	все они	2	6
51	с другой	7	6
52	в общем	6	6
53	отличается от	2	6
54	того что	11	6
55	при чем	5	6
56	как на	8	6
57	так как	9	6
58	и при	2	6
59	еще не	9	6
60	что и	6	6
61	только в	6	6
62	вместе с	2	6
63	именно в	3	5
64	что это	3	5
65	и без	2	5
66	столь же	4	5
67	что все	2	5
68	тому же	3	5
69	в целом	4	5
70	другой стороны	3	5
71	как к	2	5
72	и с	3	5
73	потому что	12	5
74	так называемого	3	5
75	его в	2	5
76	но в	2	5
77	и к	3	5
78	в то	3	5
79	по своему	2	5
80	и если	2	5
81	в его	11	5
82	не только	17	5
83	но все	2	5
84	лишь в	8	5
85	далеко не	5	5
86	на вопрос	3	4
87	не могут	5	4
88	этом случае	4	4
89	из того	2	4
90	тем не	9	4
91	в дальнейшем	2	4
92	что как	3	4
93	хотя и	5	4
94	отношение к	3	4
95	в их	6	4
96	а потому	2	4
97	не так	3	4
98	должно быть	7	4
99	том случае	4	4
100	связи с	6	4
101	мы должны	3	4
102	иначе говоря	2	4
103	он не	3	4
104	не есть	3	4
105	совершенно не	5	4
106	то же	6	4
107	а с	3	4
108	если мы	7	4
109	хотя бы	9	4
110	в таком	4	4
111	в области	14	4
112	а лишь	3	3
113	с одной	4	3
114	в нашем	7	3
115	в этих	2	3
116	одного и	2	3
117	вопрос о	11	3
118	в тех	2	3
119	для нас	4	3
120	очевидно что	3	3
121	данном случае	4	3
122	от того	5	3
123	целый ряд	4	3
124	заключается в	4	3
125	а в	5	3
126	это не	3	3
127	что мы	2	3
128	с тем	6	3
129	прежде всего	9	3
130	сказано выше	3	3
131	и того	2	3
132	у нас	10	3
133	чем в	2	3
134	тот же	6	3
135	конечно не	2	3
136	что если	2	3
137	только что	2	3
138	может служить	2	3
139	в данном	7	3
140	очень много	2	3
141	тем более	5	3
142	в связи	5	3
143	отличие от	2	3
144	не то	2	3
145	но на	3	2
146	независимо от	5	2
147	в частности	2	2
148	тому что	4	2
149	точку зрения	2	2
150	о них	4	2
151	и говорить	2	2
152	с этой	3	2
153	что эти	2	2
154	что на	3	2
155	как мы	5	2
156	совершенно ясно	2	2
157	такой же	2	2
158	что они	2	2
159	на этом	2	2
160	одной стороны	4	2
161	том чтобы	4	2
162	но для	3	2
163	в ней	3	2
164	но если	3	2
165	лишь о	2	2
166	в виду	8	2
167	принять во	2	2
168	в котором	2	2
169	мы видели	3	2
170	на том	2	2
171	вопросе о	2	2
172	что она	5	2
173	то и	2	2
174	те же	7	2
175	они не	3	2
176	в которых	3	2
177	но как	3	2
178	говорить о	6	2
179	не было	4	2
180	также и	5	2
181	это конечно	2	2
182	во всяком	2	2
183	говорить что	3	2
184	этом что	2	2
185	и более	3	2
186	отнюдь не	3	2
187	до тех	4	2
188	тогда когда	4	2
189	вовсе не	5	2
190	только тогда	4	2
191	ответить на	2	2
192	то в	3	2
193	но не	3	2
194	только то	3	2
195	тех же	4	2
196	она не	3	2
197	было бы	16	2
198	в сущности	4	2
199	между прочим	8	2
200	во внимание	5	2
201	в процессе	3	2
202	на него	3	2
203	что же	5	2
204	тем самым	4	2
205	не более	2	2
206	этот вопрос	3	2
207	совершенно иной	2	2
208	не знает	2	2
209	если это	2	2
210	этого слова	4	2
211	если же	2	2
212	и только	3	2
