N	2gram	Losev_Prob_5	Istorich
1	и в	30	26
2	так как	6	18
3	мы имеем	2	14
4	никогда не	7	13
5	потому что	13	13
6	что в	5	12
7	таким образом	13	12
8	в том	12	12
9	и на	6	12
10	в этом	17	12
11	может быть	7	11
12	с другой	6	10
13	том что	17	10
14	и не	12	10
15	не только	18	10
16	представление о	2	9
17	что он	7	9
18	еще не	3	9
19	но и	13	9
20	а именно	12	9
21	в нем	6	8
22	все же	9	8
23	вместе с	7	8
24	на небо	8	8
25	другой стороны	6	8
26	все эти	2	8
27	с ним	3	8
28	уже не	6	7
29	с одной	3	7
30	мы можем	5	7
31	одной стороны	3	7
32	и его	6	7
33	у него	11	7
34	о том	12	7
35	но в	9	7
36	то что	18	6
37	ее в	2	6
38	как в	2	6
39	не может	5	6
40	в виде	10	6
41	и с	5	6
42	в русской	3	6
43	мы не	2	6
44	на небе	2	5
45	у нас	7	5
46	как и	7	5
47	этот мотив	4	5
48	в ней	3	5
49	в его	12	5
50	не будет	2	5
51	так и	7	5
52	то же	2	5
53	и что	6	5
54	тем что	2	5
55	в то	4	5
56	только в	9	5
57	его в	6	5
58	с тем	5	4
59	это не	2	4
60	прежде всего	6	4
61	не всегда	3	4
62	до сих	2	4
63	все что	2	4
64	в это	2	4
65	на его	2	4
66	как бы	6	4
67	и тем	3	4
68	что и	6	4
69	сих пор	2	4
70	на землю	7	4
71	на земле	9	4
72	как мы	2	4
73	и он	4	4
74	а также	3	4
75	в других	3	4
76	борьбы с	2	3
77	при помощи	6	3
78	и другие	3	3
79	в частности	4	3
80	в них	2	3
81	в одном	3	3
82	если он	2	3
83	к этому	2	3
84	так что	11	3
85	не в	7	3
86	они не	2	3
87	в качестве	4	3
88	то время	3	3
89	кроме того	2	3
90	стороны он	2	3
91	небо и	2	3
92	наряду с	2	3
93	еще в	5	3
94	что здесь	2	3
95	один из	2	3
96	когда он	2	3
97	в своей	22	3
98	из этого	4	3
99	данном случае	2	3
100	а в	6	3
101	при этом	4	3
102	время как	3	3
103	или в	4	3
104	в данном	2	3
105	и то	5	3
106	сказать что	9	3
107	и только	2	3
108	в себе	4	3
109	как будто	3	3
110	далеко не	4	3
111	того как	5	3
112	от этого	3	3
113	с этой	2	2
114	все время	3	2
115	и как	6	2
116	однако в	3	2
117	а потом	3	2
118	в своем	11	2
119	что у	5	2
120	но он	5	2
121	того же	4	2
122	в одной	2	2
123	вовсе не	8	2
124	на то	2	2
125	можно сказать	6	2
126	к тому	2	2
127	для нас	10	2
128	он был	2	2
129	что иное	3	2
130	по отношению	2	2
131	но все	4	2
132	в античной	2	2
133	что они	3	2
134	к скале	12	2
135	но не	7	2
136	так же	5	2
137	после того	3	2
138	было бы	4	2
139	и сам	4	2
140	под названием	4	2
141	не так	4	2
142	о похищении	3	2
143	но для	2	2
144	всяком случае	2	2
145	из земли	4	2
146	отношению к	2	2
147	этот миф	2	2
148	на тот	2	2
149	жизни и	2	2
150	ни в	4	2
151	и до	2	2
152	на него	2	2
153	борьбе с	2	2
154	то и	2	2
155	точно так	3	2
156	за что	4	2
157	или же	2	2
158	он не	3	2
159	а с	4	2
160	и они	2	2
161	мы находим	7	2
162	и сейчас	2	2
163	именно на	2	2
164	и другое	3	2
165	а не	5	2
166	того что	3	2
167	что не	2	2
168	земли и	2	2
169	его не	2	2
170	можно было	2	2
171	что этот	5	2
172	людей и	13	2
173	во всяком	2	2
174	быть только	3	2
175	что касается	3	2
176	он и	5	2
177	миф о	5	2
178	о котором	3	2
179	по всему	2	2
180	в этой	10	2
181	здесь не	7	2
182	мира и	2	2
183	ничего не	2	2
184	от солнца	2	2
185	же не	4	2
