N	2gram	Losev_Vesc_1	Dialekti
1	не есть	49	54
2	т е	55	48
3	и не	29	27
4	а не	19	26
5	точки зрения	5	25
6	это значит	24	24
7	и в	21	24
8	и т	19	24
9	значит что	24	24
10	не только	36	23
11	есть нечто	6	23
12	т д	19	23
13	что такое	12	21
14	по себе	13	20
15	не может	17	19
16	не просто	19	18
17	ничего не	3	17
18	и есть	26	16
19	это –	25	16
20	и что	15	15
21	что все	2	14
22	то что	27	14
23	с точки	3	14
24	может быть	16	13
25	таким образом	8	13
26	и даже	6	13
27	вовсе не	10	13
28	что это	13	12
29	того что	8	12
30	есть только	7	12
31	есть и	4	12
32	не менее	3	11
33	но тогда	3	11
34	что же	8	11
35	тем не	3	10
36	отнюдь не	5	10
37	она есть	8	10
38	только не	2	10
39	в сущности	4	10
40	то это	3	9
41	но и	18	9
42	что она	15	9
43	есть не	14	9
44	прежде всего	9	8
45	так что	5	8
46	и как	8	8
47	это есть	7	8
48	отличается от	7	8
49	что мы	14	8
50	том что	8	8
51	в этом	4	8
52	что в	9	7
53	никогда не	2	7
54	не суть	2	7
55	но что	2	7
56	в самом	9	7
57	другими словами	5	7
58	что оно	8	7
59	потому что	16	7
60	даже и	4	7
61	в виду	2	7
62	ясно что	8	7
63	это и	6	7
64	как и	8	7
65	нет никакого	2	7
66	только на	3	7
67	как раз	9	7
68	– не	9	7
69	ничем не	3	7
70	вещей и	4	6
71	иное как	7	6
72	я не	4	6
73	есть то	9	6
74	должна быть	4	6
75	кроме того	4	6
76	и –	10	6
77	но если	8	6
78	все это	5	6
79	и только	3	6
80	д и	5	6
81	и с	8	6
82	что иное	7	6
83	о том	6	6
84	так как	7	6
85	отлично от	2	6
86	больше ничего	8	6
87	если бы	5	6
88	– в	5	6
89	и все	5	6
90	не что	7	6
91	об этом	3	6
92	есть именно	6	6
93	оно не	3	6
94	что и	3	6
95	от всего	12	6
96	даже не	7	6
97	то же	6	6
98	самом деле	4	6
99	и пр	6	6
100	можно ли	7	5
101	всегда есть	3	5
102	с этой	4	5
103	но –	2	5
104	как же	3	5
105	в том	8	5
106	но это	10	5
107	хотя и	4	5
108	утверждаю что	3	5
109	жизни и	2	5
110	и его	2	5
111	или не	2	5
112	в то	3	5
113	как это	2	5
114	от чего	2	5
115	по крайней	4	5
116	тогда когда	5	5
117	не буду	2	5
118	есть ли	6	5
119	всего прочего	5	5
120	одно и	5	5
121	было бы	14	5
122	крайней мере	4	5
123	так и	3	5
124	есть всегда	4	5
125	и сама	3	5
126	уже не	9	5
127	что не	5	5
128	и притом	3	5
129	мы не	6	5
130	от всякого	4	5
131	сам по	3	5
132	только в	14	5
133	тому что	2	4
134	с другой	6	4
135	это не	5	4
136	сама по	3	4
137	к тому	3	4
138	я утверждаю	3	4
139	хотя бы	6	4
140	что есть	5	4
141	можно только	4	4
142	но только	3	4
143	и больше	9	4
144	есть просто	5	4
145	сказать что	17	4
146	все вещи	2	4
147	говорить что	3	4
148	нет никакой	2	4
149	у нас	7	4
150	говорить о	6	4
151	– и	2	4
152	мыслить и	3	4
153	истории и	2	4
154	это будет	3	4
155	если оно	4	4
156	от того	3	4
157	я должен	4	4
158	только что	2	4
159	собственно говоря	4	4
160	чего не	2	4
161	оно –	3	4
162	в чем	6	4
163	е не	2	4
164	тому как	4	4
165	и то	10	4
166	подобно тому	4	4
167	чтобы быть	3	4
168	е в	7	4
169	и это	14	4
170	ни от	5	4
171	для него	4	4
172	из самых	2	3
173	перед нами	2	3
174	все же	4	3
175	но даже	3	3
176	и без	3	3
177	в своем	6	3
178	может ли	2	3
179	и от	3	3
180	была бы	2	3
181	эти две	4	3
182	можно и	2	3
183	не в	5	3
184	не говорит	2	3
185	она не	4	3
186	одной стороны	3	3
187	в основе	3	3
188	и тут	3	3
189	в нем	2	3
190	из них	4	3
191	я вижу	2	3
192	то и	4	3
193	как таковая	2	3
194	– как	7	3
195	с одной	3	3
196	все эти	3	3
197	должно быть	6	3
198	с этим	3	3
199	мы уже	3	3
200	ни на	3	3
201	при помощи	2	3
202	себя как	2	3
203	тем что	2	3
204	есть еще	3	3
205	и значит	2	3
206	только тогда	3	3
207	в силу	3	3
208	на то	4	3
209	одна из	5	3
210	с полной	4	3
211	есть ни	3	3
212	и о	3	3
213	не значит	7	3
214	сами по	3	3
215	но она	3	3
216	не будет	12	3
217	как бы	12	3
218	если не	3	3
219	для того	2	3
220	должны быть	4	3
221	той же	2	3
222	в слове	2	3
223	и ее	18	3
224	вещь но	6	3
225	есть подлинная	2	3
226	нет это	2	2
227	чтобы она	2	2
228	слово –	3	2
229	но на	2	2
230	она должна	2	2
231	что у	5	2
232	вообще не	2	2
233	вещи в	9	2
234	из того	2	2
235	в смысле	12	2
236	не содержит	3	2
237	требует чтобы	4	2
238	оно есть	9	2
239	для нас	2	2
240	есть конечно	2	2
241	на этом	2	2
242	еще не	8	2
243	и если	2	2
244	ибо если	2	2
245	и ноги	2	2
246	но для	2	2
247	и следовательно	7	2
248	той или	2	2
249	у меня	3	2
250	себя и	4	2
251	не вполне	2	2
252	всяком случае	2	2
253	но совершенно	2	2
254	совершенно не	5	2
255	так или	4	2
256	и тем	3	2
257	и ничто	2	2
258	только одно	2	2
259	то как	2	2
260	себя самого	2	2
261	другой стороны	2	2
262	она была	2	2
263	для этого	4	2
264	того и	2	2
265	мы говорим	5	2
266	быть не	4	2
267	личность как	2	2
268	еще и	8	2
269	только и	2	2
270	данная вещь	4	2
271	и вот	2	2
272	руки и	2	2
273	а в	4	2
274	что нужно	3	2
275	быть только	3	2
276	в мысли	3	2
277	о ней	2	2
278	также и	6	2
279	никак не	3	2
280	и формы	2	2
281	их в	3	2
282	в ней	12	2
283	раз навсегда	2	2
284	для себя	5	2
285	и здесь	4	2
286	всего иного	3	2
287	от его	2	2
288	в первом	2	2
289	и потому	5	2
290	когда мы	6	2
291	бы в	5	2
292	есть момент	2	2
293	слово в	2	2
294	но в	5	2
295	я и	6	2
296	тут –	6	2
297	это значит?	2	2
298	тех или	5	2
299	не мешает	4	2
300	у него	2	2
301	перестает быть	3	2
302	содержится в	3	2
303	и во	3	2
304	вещь есть	7	2
305	бытия и	2	2
306	в понятии	4	2
307	все еще	3	2
308	вещи есть	51	2
309	от самой	4	2
310	и эти	2	2
311	по существу	2	2
312	то в	4	2
313	так чтобы	2	2
314	тут мы	4	2
315	но не	5	2
316	если я	6	2
317	отличен от	2	2
318	– только	4	2
319	но еще	3	2
320	и понимания	2	2
321	и когда	4	2
322	– чтобы	2	2
323	только к	2	2
324	однако не	2	2
325	со стороны	5	2
326	себя в	10	2
327	но то	2	2
328	как я	4	2
329	все равно	2	2
330	как мы	4	2
331	для такого	2	2
332	и у	3	2
333	и для	9	2
334	и материи	3	2
335	или в	2	2
336	или иначе	4	2
337	ничто не	2	2
338	нас в	3	2
339	в данном	5	2
340	бы то	4	2
341	во всяком	3	2
342	из себя	3	2
343	как с	4	2
344	в себе	14	2
345	есть некая	2	2
346	же такое	3	2
347	вещь не	9	2
348	в его	2	2
