N	3gram	Tiupa_Narr_1	Analitik
1	не может быть	4	16
2	в том что	5	9
3	в то же	4	8
4	в отличие от	2	6
5	то же время	4	6
6	той или иной	4	6
7	по отношению к	3	5
8	времени и пространстве	6	4
9	мы имеем дело	2	4
10	к тому же	5	4
11	состоит в том	2	3
12	во времени и	6	3
13	подобно тому как	3	3
14	имеем дело с	2	3
15	для того чтобы	3	3
16	о том что	2	3
17	сами по себе	2	2
18	в данном случае	8	2
19	в самом деле	2	2
20	в этом отношении	3	2
21	не сводится к	2	2
22	в первом случае	3	2
23	то же самое	2	2
24	в равной степени	2	2
25	и все же	2	2
26	но и в	2	2
