N	2gram	Trubetskoy_1	VerxiiNi
1	и в	23	26
2	таким образом	31	22
3	с тем	2	18
4	вместе с	6	15
5	в этом	12	15
6	точки зрения	13	13
7	как бы	10	12
8	в том	30	11
9	может быть	16	10
10	не только	7	10
11	и с	5	10
12	из этих	8	10
13	связи с	4	9
14	что в	8	9
15	но и	9	9
16	в области	4	9
17	так как	7	9
18	с другой	6	8
19	но не	2	8
20	в общем	6	8
21	и не	8	8
22	и у	4	8
23	как на	4	8
24	том что	19	7
25	но все	5	7
26	одной стороны	2	7
27	из них	5	7
28	к нему	2	7
29	то что	18	7
30	а с	4	7
31	с одной	3	7
32	потому что	9	7
33	но в	4	7
34	в конце	4	6
35	представление о	3	6
36	к тому	8	6
37	и потому	3	6
38	того же	9	6
39	несмотря на	6	6
40	всяком случае	2	6
41	что и	7	6
42	все же	13	6
43	так и	10	6
44	все это	11	6
45	все эти	19	6
46	с точки	8	6
47	во всяком	2	6
48	в себе	5	6
49	мы должны	4	6
50	и т.д	4	6
51	о том	7	6
52	образом в	3	5
53	и к	5	5
54	тому же	6	5
55	тем чтобы	2	5
56	отношение к	4	5
57	до сих	8	5
58	друг с	9	5
59	в его	5	5
60	никогда не	4	5
61	с другом	9	5
62	сих пор	8	5
63	или менее	7	5
64	так же	8	5
65	лишь в	5	5
66	того чтобы	8	5
67	для того	8	5
68	в силу	7	5
69	и для	6	5
70	в мире	6	5
71	более или	7	5
72	в этих	3	4
73	и от	5	4
74	что все	5	4
75	что он	7	4
76	в нем	3	4
77	очень мало	2	4
78	из которых	4	4
79	в самом	8	4
80	в котором	2	4
81	целый ряд	4	4
82	не может	17	4
83	и только	2	4
84	а в	3	4
85	то же	4	4
86	что оно	3	4
87	в течение	4	4
88	и что	8	4
89	и по	3	4
90	в которых	2	4
91	ничем не	4	4
92	в виде	4	4
93	культурных ценностей	20	4
94	он не	3	4
95	в то	6	4
96	только в	6	4
97	то есть	2	4
98	в этой	6	4
99	далеко не	5	4
100	не менее	7	3
101	течением времени	4	3
102	же как	3	3
103	что это	5	3
104	если бы	8	3
105	но по	3	3
106	так или	5	3
107	хотя бы	4	3
108	европейской культуры	6	3
109	к этому	5	3
110	ясно что	8	3
111	для него	2	3
112	так что	5	3
113	из всех	5	3
114	и при	6	3
115	культура в	2	3
116	в своем	10	3
117	и если	6	3
118	к ним	2	3
119	не вполне	3	3
120	тем не	4	3
121	отношению к	9	3
122	оказывается что	5	3
123	в связи	3	3
124	при этом	9	3
125	но с	2	3
126	культуры и	9	3
127	того что	6	3
128	с течением	4	3
129	в которой	5	3
130	то с	2	3
131	и те	2	3
132	у них	6	3
133	в таком	4	3
134	или иначе	5	3
135	с этой	3	3
136	в результате	9	3
137	что эти	2	3
138	конце концов	4	3
139	на нее	2	3
140	поэтому что	4	2
141	признать что	3	2
142	не могут	4	2
143	ни было	2	2
144	только не	2	2
145	именно в	5	2
146	одно из	3	2
147	из себя	10	2
148	первое время	5	2
149	при таком	2	2
150	в них	2	2
151	сравнению с	5	2
152	и особенно	2	2
153	эта культура	4	2
154	тогда когда	3	2
155	на все	5	2
156	прежде всего	3	2
157	большею частью	5	2
158	в свою	2	2
159	на то	9	2
160	тех пор	2	2
161	исторического развития	2	2
162	этого последнего	2	2
163	в пользу	5	2
164	по существу	6	2
165	то ни	3	2
166	мы видели	2	2
167	в начале	2	2
168	по своему	5	2
169	время после	2	2
170	том виде	2	2
171	все что	9	2
172	же время	2	2
173	ни один	3	2
174	что мы	4	2
175	тот же	3	2
176	еще не	5	2
177	и из	2	2
178	общего с	2	2
179	конечно не	3	2
180	то ясно	4	2
181	в среде	2	2
182	но если	2	2
183	эти черты	2	2
184	и проч	4	2
185	бы то	2	2
186	жизни и	2	2
187	во всех	10	2
188	гораздо менее	2	2
189	к другу	2	2
190	в процессе	2	2
191	быть и	5	2
192	заключает в	2	2
193	основано на	5	2
194	только что	3	2
195	отличается от	6	2
196	всех других	2	2
197	для этого	7	2
198	в разных	3	2
199	не было	2	2
200	те же	2	2
201	и сейчас	4	2
202	в самой	2	2
203	в одно	2	2
204	ко всему	2	2
205	между этими	2	2
206	значительная часть	3	2
207	одним из	4	2
208	в глазах	2	2
209	из этой	2	2
210	и на	6	2
211	можно назвать	3	2
212	не в	8	2
213	мы можем	6	2
214	различия между	3	2
215	и наконец	3	2
216	совершенно иной	2	2
217	по своей	7	2
218	о котором	7	2
219	по сравнению	5	2
220	ничего общего	3	2
221	и все	7	2
222	так чтобы	2	2
223	и это	3	2
224	из этого	6	2
225	очень много	3	2
226	этими двумя	2	2
227	не потому	2	2
228	к культуре	14	2
229	в эту	2	2
230	между тем	12	2
231	в виду	2	2
232	из него	2	2
