N	2gram	Trubetskoy_1	DiskursI
1	в качестве	3	34
2	не только	10	28
3	в том	11	23
4	а не	5	22
5	то есть	4	20
6	том что	7	19
7	может быть	10	17
8	представляет собой	3	17
9	и в	26	16
10	в этом	15	15
11	еще не	2	14
12	но и	9	14
13	при этом	3	13
14	прежде всего	2	11
15	но не	8	11
16	и не	8	11
17	по своей	2	11
18	с другой	8	10
19	далеко не	4	10
20	состоит в	2	9
21	в нем	4	9
22	отношению к	3	9
23	одной стороны	7	9
24	не может	4	9
25	с одной	7	9
26	а также	2	8
27	так и	6	8
28	о том	6	8
29	но в	7	8
30	в его	5	7
31	то же	4	7
32	не было	2	7
33	в себе	6	7
34	только в	4	7
35	не в	2	7
36	в своем	3	6
37	и как	3	6
38	в рамках	3	5
39	к тому	6	5
40	или иной	2	5
41	можно сказать	3	5
42	тому же	5	5
43	в силу	5	5
44	как бы	12	5
45	в котором	4	5
46	то что	7	5
47	во всех	2	5
48	в процессе	2	5
49	а с	7	5
50	а в	4	5
51	в эпоху	7	5
52	и на	2	5
53	с его	2	4
54	что в	9	4
55	в них	2	4
56	не как	2	4
57	и к	5	4
58	что он	4	4
59	уже не	3	4
60	для него	3	4
61	же время	2	4
62	одной из	5	4
63	связи с	9	4
64	и о	3	4
65	отношение к	5	4
66	по своим	2	4
67	лишь в	5	4
68	в которых	4	4
69	потому что	7	4
70	между тем	2	4
71	и т.д	6	4
72	того же	6	3
73	но при	2	3
74	что и	6	3
75	по своему	2	3
76	в свою	2	3
77	различия между	2	3
78	в самом	4	3
79	к ним	3	3
80	той или	2	3
81	один из	2	3
82	не с	2	3
83	хотя бы	3	3
84	все же	6	3
85	из них	7	3
86	таким образом	22	3
87	именно в	2	3
88	того что	3	3
89	и даже	3	3
90	сказать что	2	3
91	точки зрения	13	3
92	в то	4	3
93	и потому	6	3
94	не менее	3	2
95	одновременно и	2	2
96	никогда не	5	2
97	о котором	2	2
98	том числе	5	2
99	по крайней	5	2
100	и все	2	2
101	в одном	3	2
102	к этому	3	2
103	не всегда	2	2
104	ему в	2	2
105	к его	2	2
106	крайней мере	5	2
107	в значительной	3	2
108	более или	5	2
109	числе и	4	2
110	отличается от	2	2
111	так например	2	2
112	в начале	2	2
113	одним из	2	2
114	говорили о	2	2
115	стадии развития	2	2
116	не могло	2	2
117	когда он	3	2
118	или менее	5	2
119	приводит к	2	2
120	целый ряд	4	2
121	уже в	2	2
122	и что	4	2
123	свидетельствует о	2	2
124	и по	4	2
125	то с	3	2
126	во всяком	6	2
127	мы имеем	2	2
128	к которому	2	2
129	же самое	2	2
130	в этой	4	2
131	в виду	2	2
132	в новом	2	2
