N	2gram	Losev_Vesc_1	Myshleni
1	в том	8	42
2	том что	8	35
3	таким образом	8	25
4	точки зрения	5	24
5	в этом	4	24
6	и в	21	20
7	что в	9	19
8	в основе	3	17
9	то же	6	16
10	то что	27	15
11	не только	36	15
12	что они	6	14
13	как мы	4	13
14	с другой	6	12
15	потому что	16	12
16	может быть	16	12
17	в его	2	11
18	мы должны	2	11
19	с точки	3	11
20	того что	8	10
21	так как	7	10
22	в отношении	4	10
23	мы видим	2	10
24	если мы	8	10
25	и то	10	10
26	в себе	14	10
27	только в	14	10
28	слова в	2	9
29	и как	8	9
30	одной стороны	3	9
31	но и	18	9
32	другой стороны	2	9
33	с одной	3	9
34	как это	2	9
35	как и	8	9
36	того же	5	9
37	тот же	3	9
38	что и	3	9
39	понятий и	2	9
40	и не	29	8
41	и тем	3	8
42	и что	15	8
43	в результате	3	8
44	тогда когда	5	8
45	было бы	14	8
46	в собственном	2	7
47	как бы	12	7
48	что мы	14	7
49	в своей	5	7
50	собственном смысле	3	7
51	самом деле	4	7
52	а не	19	7
53	того чтобы	3	7
54	тем что	2	7
55	к одному	3	6
56	к тому	3	6
57	в самом	9	6
58	не может	17	6
59	сказать что	17	6
60	по своей	2	6
61	его в	2	6
62	слово в	2	6
63	с тем	5	6
64	в силу	3	6
65	одно и	5	6
66	той же	2	6
67	можно было	2	6
68	перед нами	2	5
69	никогда не	2	5
70	это не	5	5
71	на то	4	5
72	в действительности	7	5
73	что такое	12	5
74	только не	2	5
75	если бы	5	5
76	и его	2	5
77	с этим	3	5
78	все же	4	5
79	и того	2	5
80	о том	6	5
81	мы уже	3	5
82	в уме	3	5
83	так и	3	5
84	для того	2	5
85	все эти	3	5
86	мы можем	4	5
87	слова и	5	5
88	тому что	2	4
89	в своем	6	4
90	для нас	2	4
91	из них	4	4
92	и только	3	4
93	что оно	8	4
94	с этой	4	4
95	и с	8	4
96	в смысле	12	4
97	в сущности	4	4
98	по сравнению	7	4
99	только что	2	4
100	между ними	3	4
101	не в	5	4
102	и для	9	4
103	во всяком	3	4
104	на этом	2	3
105	не менее	3	3
106	и от	3	3
107	что все	2	3
108	а только	3	3
109	так что	5	3
110	в этой	3	3
111	знает что	2	3
112	но что	2	3
113	от того	3	3
114	в виду	2	3
115	всяком случае	2	3
116	один из	3	3
117	со стороны	5	3
118	должно быть	6	3
119	и когда	4	3
120	оно может	2	3
121	но в	5	3
122	отнюдь не	5	3
123	в настоящем	2	3
124	сравнению с	6	3
125	и во	3	3
126	к пониманию	3	3
127	различие между	2	3
128	бы в	5	3
129	по существу	2	3
130	но не	5	3
131	бы сказать	2	3
132	мы говорили	2	3
133	только к	2	3
134	себя в	10	3
135	по смыслу	5	3
136	совершенно не	5	3
137	нас в	3	3
138	является в	2	3
139	в чем	6	3
140	как только	4	2
141	может не	2	2
142	содержит в	4	2
143	должна быть	4	2
144	прежде всего	9	2
145	со всей	2	2
146	что на	2	2
147	свою очередь	4	2
148	в свою	4	2
149	для него	4	2
150	что это	13	2
151	и у	3	2
152	но для	2	2
153	в ней	12	2
154	в нем	2	2
155	из истории	2	2
156	другими словами	5	2
157	то как	2	2
158	данном случае	2	2
159	нам не	2	2
160	отличается от	7	2
161	не просто	19	2
162	действительности в	2	2
163	а в	4	2
164	вообще не	2	2
165	также и	6	2
166	в мысли	3	2
167	в данном	5	2
168	и здесь	4	2
169	ли мы	2	2
170	их в	3	2
171	когда мы	6	2
172	мы имеем	7	2
173	нисколько не	4	2
174	у него	2	2
175	а потом	2	2
176	ясно что	8	2
177	по законам	2	2
178	стороны и	2	2
179	а затем	2	2
180	мы возьмем	2	2
181	еще не	8	2
182	свое время	2	2
183	никак не	3	2
184	в свое	2	2
185	не есть	49	2
186	мысли и	3	2
187	только на	3	2
188	а с	3	2
189	если не	3	2
190	в той	3	2
191	слово и	4	2
192	в слове	2	2
193	тому как	4	2
194	это значит	24	2
195	подобно тому	4	2
196	ту же	2	2
197	как оно	3	2
198	и это	14	2
199	значит что	24	2
