N	2gram	Tiupa_Lite_1	Tragedij
1	и в	8	18
2	в году	13	9
3	в этом	12	9
4	не только	24	8
5	и не	12	7
6	может быть	13	7
7	как бы	7	7
8	что он	5	6
9	и его	4	6
10	же время	5	6
11	у него	3	6
12	но в	3	6
13	все же	4	5
14	так и	4	5
15	это не	4	5
16	не может	5	5
17	то же	5	5
18	как и	6	5
19	у достоевского	2	5
20	в то	5	5
21	несмотря на	3	5
22	но и	17	4
23	то что	10	4
24	в целом	8	4
25	что в	3	4
26	я люблю	2	4
27	я не	7	4
28	прежде всего	11	4
29	в нем	2	4
30	и даже	3	4
31	том что	14	4
32	в этой	4	4
33	что я	2	4
34	в себе	7	4
35	еще не	4	4
36	уже в	5	3
37	один из	3	3
38	отнюдь не	2	3
39	в своем	11	3
40	в конце	4	3
41	как в	5	3
42	все эти	2	3
43	в поле	2	3
44	тем самым	5	3
45	в его	7	3
46	для него	2	3
47	при этом	19	3
48	и сам	6	3
49	своего рода	11	3
50	как будто	2	3
51	в мире	2	3
52	как это	8	3
53	то есть	6	3
54	еще в	4	2
55	в душе	3	2
56	раз и	2	2
57	в частности	15	2
58	в отличие	5	2
59	данном случае	4	2
60	то и	2	2
61	но при	2	2
62	и я	6	2
63	а как	2	2
64	уже не	7	2
65	с его	5	2
66	к тому	2	2
67	столь же	4	2
68	в том	16	2
69	друг друга	4	2
70	отличие от	5	2
71	не в	8	2
72	в данном	5	2
73	и то	2	2
74	не случайно	2	2
75	одна из	3	2
76	потому что	3	2
77	тем что	2	2
78	он и	3	2
79	по поводу	2	2
80	о том	2	2
81	его в	3	2
82	в самом	3	2
83	это уже	2	2
84	не мог	3	2
85	никогда не	4	2
86	русской литературы	2	2
