N	2gram	Propp_Isto_2	KFilosof
1	может быть	17	43
2	в его	6	39
3	в нем	7	31
4	не может	5	27
5	и не	11	26
6	по отношению	3	25
7	и в	15	22
8	в котором	5	21
9	отношению к	3	21
10	в себе	4	21
11	а не	5	17
12	и его	3	17
13	только в	6	16
14	в этом	11	13
15	ни в	2	12
16	но не	2	12
17	и это	3	12
18	все эти	4	11
19	не в	7	11
20	к нему	5	11
21	это не	2	10
22	все это	3	10
23	во всех	2	10
24	и есть	5	9
25	но и	14	9
26	в их	3	9
27	как бы	6	9
28	и для	2	9
29	не было	2	8
30	было бы	5	8
31	и здесь	9	7
32	что и	6	7
33	то что	12	7
34	в себя	3	7
35	я не	2	6
36	в том	6	6
37	но это	4	6
38	и только	2	6
39	ко мне	2	6
40	и их	2	6
41	он не	8	6
42	никогда не	15	5
43	хотя бы	2	5
44	то же	10	5
45	но все	5	5
46	именно в	2	5
47	его в	10	5
48	но в	6	5
49	не знает	2	5
50	как и	2	5
51	не только	18	5
52	все же	9	5
53	мы имеем	15	5
54	что в	12	4
55	для нас	4	4
56	здесь мы	3	4
57	при этом	4	4
58	с ними	2	4
59	в одном	5	4
60	нисколько не	2	4
61	со мной	2	4
62	том что	7	4
63	о нем	4	4
64	а в	12	4
65	тем самым	2	4
66	что это	6	3
67	из него	2	3
68	и пр	7	3
69	в виду	2	3
70	был бы	2	3
71	здесь нет	2	3
72	я буду	3	3
73	нигде не	2	3
74	того что	3	3
75	ясно и	2	3
76	и на	4	3
77	в ней	4	3
78	о том	3	3
79	мы не	3	3
80	всех этих	3	3
81	не должен	4	3
82	могла бы	2	3
83	еще не	9	3
84	на самом	2	3
85	если ты	2	3
86	самом деле	2	3
87	только с	2	3
88	к чему	2	3
89	что этот	3	3
90	тем что	4	3
91	могут быть	2	3
92	в другом	9	3
93	здесь не	2	3
94	ничего не	7	3
95	слова в	2	2
96	а с	2	2
97	его и	4	2
98	прежде всего	5	2
99	вопрос о	4	2
100	есть на	2	2
101	себя и	2	2
102	в него	2	2
103	он имеет	2	2
104	потому что	9	2
105	имеем в	5	2
106	он и	3	2
107	к себе	2	2
108	я его	3	2
109	и то	2	2
110	с тем	9	2
111	что эта	2	2
112	в жизни	2	2
113	что он	24	2
114	в качестве	3	2
115	и может	2	2
116	но есть	2	2
117	и когда	2	2
118	и эти	2	2
119	дело не	4	2
120	и именно	2	2
121	так и	5	2
122	как в	5	2
123	это только	2	2
124	и она	3	2
125	мы здесь	6	2
126	того чтобы	2	2
127	случае мы	2	2
128	в этой	4	2
129	его на	2	2
