N	2gram	Trubetskoy_1	Problema
1	то что	13	38
2	и не	19	37
3	и в	14	35
4	не есть	3	33
5	не только	9	24
6	том что	9	19
7	даже и	2	18
8	о том	7	18
9	может быть	9	18
10	что такое	2	18
11	в этом	17	17
12	в настоящее	2	16
13	но и	10	16
14	настоящее время	2	16
15	только в	5	14
16	и что	2	13
17	потому что	5	13
18	во всяком	9	13
19	не может	22	13
20	в том	17	12
21	того что	3	12
22	хотя бы	5	12
23	что в	4	11
24	прежде всего	8	11
25	так что	2	11
26	не просто	2	11
27	и даже	2	11
28	не будет	7	11
29	в таком	2	11
30	всяком случае	6	10
31	и с	7	10
32	говорить о	3	10
33	еще не	3	10
34	да и	3	10
35	а не	2	10
36	в данном	7	10
37	и то	4	10
38	для нас	2	9
39	в этой	4	9
40	для себя	2	9
41	что же	4	9
42	только на	2	9
43	уже не	2	8
44	было бы	5	8
45	ясно что	2	8
46	по себе	2	8
47	все же	4	8
48	в конце	3	7
49	этом случае	3	7
50	все эти	2	7
51	того или	2	7
52	в его	4	7
53	конце концов	3	7
54	так как	4	7
55	тем самым	2	7
56	можно ли	3	6
57	что все	3	6
58	ни в	2	6
59	но это	2	6
60	не о	2	6
61	и т	3	6
62	в то	10	6
63	на то	5	6
64	при условии	3	6
65	и для	6	6
66	мы можем	2	6
67	в виде	3	6
68	но в	2	6
69	как будто	2	6
70	в области	2	6
71	в частности	2	5
72	или иной	5	5
73	в самом	3	5
74	той или	3	5
75	отнюдь не	7	5
76	данном случае	3	5
77	или иного	2	5
78	с этим	2	5
79	так же	2	5
80	и на	5	5
81	и более	2	5
82	между собой	5	5
83	как и	4	5
84	связи с	3	5
85	указывает на	2	5
86	то же	11	5
87	можно было	4	5
88	в себе	9	5
89	не могут	4	4
90	сама по	2	4
91	и есть	2	4
92	в этих	2	4
93	в своем	6	4
94	и как	3	4
95	более или	4	4
96	собой и	3	4
97	не можем	2	4
98	как бы	4	4
99	и тем	2	4
100	все это	6	4
101	и только	5	4
102	таким образом	11	4
103	а в	5	4
104	в результате	2	4
105	их в	2	4
106	но если	3	4
107	тем что	3	4
108	всех этих	3	4
109	если бы	6	4
110	представить себе	2	4
111	что он	6	4
112	но не	4	4
113	до сих	5	4
114	и о	2	4
115	сих пор	5	4
116	или менее	4	4
117	если не	2	4
118	на самом	6	4
119	самом деле	7	4
120	которой он	4	4
121	он сам	3	3
122	но даже	2	3
123	тому что	2	3
124	и от	2	3
125	из этих	3	3
126	точно так	2	3
127	вопрос о	5	3
128	к тому	7	3
129	с самим	2	3
130	что они	3	3
131	несмотря на	3	3
132	и если	7	3
133	значительной мере	2	3
134	мы уже	2	3
135	и является	2	3
136	но мы	3	3
137	то это	3	3
138	в их	4	3
139	для этого	3	3
140	то ни	4	3
141	не было	3	3
142	от нас	2	3
143	при этом	5	3
144	лишь в	3	3
145	и наконец	2	3
146	и по	3	3
147	что для	3	3
148	в своих	6	3
149	о котором	3	3
150	мы должны	7	3
151	его в	4	3
152	и ни	3	3
153	с тем	6	3
154	для них	3	3
155	по этому	2	3
156	тогда когда	4	3
157	и к	6	3
158	о которых	3	3
159	одна из	3	3
160	все что	4	3
161	она не	2	3
162	и тот	2	3
163	по самому	2	3
164	на том	3	3
165	и этот	3	3
166	если же	2	3
167	даже не	2	3
168	всем этим	2	3
169	в значительной	3	3
170	для того	6	3
171	это только	2	3
172	в таких	2	3
173	будет в	2	2
174	случае если	3	2
175	что может	3	2
176	не в	4	2
177	является не	2	2
178	что с	2	2
179	разных сторон	2	2
180	из которых	5	2
181	себе и	4	2
182	самому своему	2	2
183	к нему	2	2
184	на этой	2	2
185	бы то	4	2
186	друг от	2	2
187	сводится к	3	2
188	отличается от	2	2
189	что оно	3	2
190	не так	2	2
191	или в	3	2
192	должно быть	3	2
193	как на	8	2
194	в ней	2	2
195	точки зрения	11	2
196	самого себя	7	2
197	только с	2	2
198	том случае	4	2
199	это в	2	2
200	для всех	6	2
201	были бы	2	2
202	бы его	2	2
203	с нею	3	2
204	и при	6	2
205	в качестве	3	2
206	ли это	4	2
207	от друга	2	2
208	в корне	4	2
209	конечно не	5	2
210	говорили в	2	2
211	он не	5	2
212	речь идет	2	2
213	что и	3	2
214	во всех	5	2
215	вместе с	4	2
216	быть и	2	2
217	в последние	5	2
218	совершенно не	2	2
219	не существуют	2	2
220	того чтобы	8	2
221	на эту	2	2
222	на это	2	2
223	ни от	2	2
224	собой все	2	2
225	во многих	2	2
226	из этого	3	2
227	идет речь	4	2
