N	3gram	Vinokur_Vv_1	Dialekti
1	и т д	37	15
2	с точки зрения	2	9
3	в том что	12	9
4	что иное как	4	8
5	не что иное	4	8
6	по крайней мере	4	7
7	то же время	5	6
8	в то же	5	6
9	не может быть	8	6
10	сама по себе	3	5
11	есть не что	2	5
12	для того чтобы	21	5
13	само по себе	3	4
14	в этом смысле	10	4
15	не в том	2	4
16	и в этом	3	3
17	не говоря уже	2	3
18	и той же	2	3
19	одной и той	2	3
20	по сравнению с	3	2
21	т е не	2	2
22	вовсе не в	2	2
23	тем не менее	8	2
24	т д все	2	2
25	в собственном смысле	2	2
26	точно так же	2	2
27	хотя бы и	2	2
28	но в то	3	2
29	в чем же	3	2
30	т е в	4	2
