N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	40
2	прежде всего	5	16
3	в этом	7	15
4	не только	4	13
5	и не	6	13
6	в его	2	13
7	что в	2	12
8	как и	6	11
9	таким образом	11	10
10	как мы	2	10
11	и все	3	9
12	может быть	12	9
13	в том	4	8
14	у него	2	8
15	все эти	5	8
16	той же	2	8
17	но в	3	8
18	в одном	3	7
19	то же	3	7
20	в самом	2	6
21	мы видим	2	5
22	со всеми	2	5
23	в нем	3	5
24	а не	3	5
25	так сказать	2	5
26	в нашем	2	4
27	и во	2	4
28	у нас	3	4
29	было бы	3	4
30	из них	4	4
31	и потому	3	4
32	жизни и	4	4
33	все это	3	4
34	еще более	2	4
35	роль в	2	4
36	и даже	2	4
37	так как	4	4
38	в области	3	4
39	не подлежит	3	3
40	и к	3	3
41	мы видели	4	3
42	в этой	3	3
43	одна из	3	3
44	еще не	3	3
45	и есть	2	3
46	такого рода	2	3
47	как бы	4	3
48	и наконец	5	3
49	вместе с	4	3
50	не может	17	3
51	а в	4	3
52	самом деле	2	3
53	но все	2	3
54	при этом	3	3
55	в отличие	2	3
56	в себе	3	3
57	в конце	3	3
58	их в	4	3
59	отличие от	2	3
60	не менее	2	2
61	уже в	3	2
62	времени и	2	2
63	на их	2	2
64	это не	4	2
65	из этих	2	2
66	в условиях	5	2
67	или иной	2	2
68	мы знаем	2	2
69	все же	3	2
70	в дальнейшем	4	2
71	на этом	2	2
72	как известно	2	2
73	на его	2	2
74	в целом	4	2
75	или же	2	2
76	и они	2	2
77	с помощью	4	2
78	в системе	3	2
79	тем же	2	2
80	он в	3	2
81	с этим	2	2
82	точки зрения	12	2
83	в один	2	2
84	как он	3	2
85	в которой	2	2
86	мы не	9	2
