N	2gram	Losev_Dial_4	Otkroven
1	у достоевского	2	19
2	и в	15	19
3	но и	4	13
4	и не	30	13
5	в этом	11	12
6	а не	18	11
7	не в	8	11
8	может быть	17	11
9	не только	8	11
10	человека и	2	10
11	и все	11	10
12	вопрос о	2	10
13	в нем	5	10
14	никогда не	2	9
15	не было	2	9
16	в человеке	2	9
17	потому что	10	9
18	прежде всего	11	9
19	он всегда	2	7
20	ни с	4	7
21	лишь в	2	7
22	от него	3	7
23	нет ничего	6	7
24	в глубине	2	7
25	в его	4	7
26	все это	9	6
27	как и	7	6
28	то что	16	5
29	в том	11	5
30	в этой	4	5
31	в самом	2	5
32	с его	5	4
33	всегда есть	2	4
34	т е	46	4
35	того чтобы	5	4
36	что не	3	4
37	и его	7	4
38	все эти	3	4
39	не может	11	4
40	что в	7	4
41	не могут	2	3
42	нем нет	2	3
43	и есть	19	3
44	это не	12	3
45	и вот	11	3
46	что он	7	3
47	того что	13	3
48	для того	5	3
49	что человек	2	3
50	хотя бы	4	3
51	еще не	4	3
52	могут быть	3	3
53	все что	2	3
54	и ее	8	3
55	в себе	8	3
56	было бы	9	3
57	когда он	3	3
58	никто не	2	3
59	о том	5	3
60	с ним	3	3
61	как бы	14	3
62	это было	2	3
63	в этот	2	2
64	все же	2	2
65	что и	6	2
66	не есть	40	2
67	ее в	2	2
68	и для	5	2
69	с тем	4	2
70	в истории	3	2
71	природы и	2	2
72	так и	5	2
73	в своем	5	2
74	что есть	2	2
75	что же	2	2
76	никогда и	2	2
77	что все	4	2
78	к этому	3	2
79	по себе	13	2
80	свободы и	3	2
81	же это	5	2
82	не имеет	14	2
83	должно быть	2	2
84	в ее	2	2
85	в которой	2	2
86	том что	10	2
87	так что	6	2
88	ничто не	2	2
89	и на	5	2
90	и то	3	2
91	что они	4	2
92	сказать что	6	2
93	и с	4	2
94	учение о	5	2
95	тем что	2	2
96	личности и	10	2
97	даже и	3	2
98	и нет	3	2
99	в своей	3	2
100	и ни	2	2
101	так как	14	2
102	и о	8	2
103	ничего не	17	2
104	и из	2	2
105	не могли	2	2
106	хотя и	6	2
107	но в	3	2
108	и потому	3	2
