N	2gram	Vygotskiy__5	Tragedij
1	и в	30	18
2	в романе	2	10
3	в этом	14	9
4	не только	16	8
5	и не	6	7
6	и на	3	7
7	и с	2	7
8	может быть	11	7
9	как бы	19	7
10	что он	17	6
11	и его	6	6
12	у него	3	6
13	но в	5	6
14	все же	7	5
15	что это	8	5
16	так и	3	5
17	это не	3	5
18	не может	9	5
19	то же	7	5
20	как и	6	5
21	в то	2	5
22	несмотря на	5	5
23	это очень	2	5
24	но и	6	4
25	то что	37	4
26	в целом	5	4
27	что в	24	4
28	все это	2	4
29	прежде всего	4	4
30	и все	4	4
31	в нем	7	4
32	и даже	2	4
33	так же	13	4
34	том что	21	4
35	в этой	5	4
36	и что	23	4
37	в себе	5	4
38	еще не	5	4
39	об этом	3	4
40	уже в	6	3
41	один из	5	3
42	о чем	4	3
43	в своем	6	3
44	в конце	4	3
45	как в	3	3
46	все эти	2	3
47	и он	2	3
48	и как	7	3
49	должно быть	2	3
50	в его	4	3
51	что с	6	3
52	для него	3	3
53	при этом	8	3
54	как будто	6	3
55	мог бы	2	3
56	как это	7	3
57	то есть	13	3
58	еще в	2	2
59	из самых	2	2
60	под влиянием	3	2
61	перед нами	2	2
62	и до	2	2
63	не могут	3	2
64	что и	3	2
65	в душе	2	2
66	как говорит	4	2
67	в частности	4	2
68	в отличие	2	2
69	данном случае	3	2
70	по мнению	6	2
71	что все	6	2
72	а как	2	2
73	вопрос о	3	2
74	с его	2	2
75	говорит что	6	2
76	к тому	8	2
77	и здесь	6	2
78	ни в	3	2
79	он был	2	2
80	в ее	3	2
81	в том	27	2
82	до конца	2	2
83	говорит о	4	2
84	отличие от	2	2
85	но все	2	2
86	так что	3	2
87	в таком	3	2
88	не в	8	2
89	в глазах	2	2
90	в данном	3	2
91	и то	9	2
92	в рассказе	2	2
93	одна из	3	2
94	любви и	2	2
95	потому что	23	2
96	с тем	8	2
97	тем что	6	2
98	только о	2	2
99	по поводу	3	2
100	она все	2	2
101	о том	10	2
102	что эти	2	2
103	и это	8	2
104	нет в	2	2
105	в самом	14	2
106	ничего не	2	2
107	он не	3	2
108	в одном	2	2
109	что она	6	2
110	никогда не	9	2
