N	2gram	Potebnia_M_4	FransuaR
1	и в	23	41
2	то есть	34	24
3	мы уже	3	18
4	таким образом	24	17
5	в нем	7	16
6	и с	4	16
7	тела и	2	15
8	и его	2	13
9	но и	11	13
10	как мы	2	12
11	в этом	23	12
12	все это	5	11
13	все эти	3	11
14	в самом	3	10
15	не только	10	10
16	и др	2	10
17	так как	14	10
18	то что	29	10
19	кроме того	3	9
20	во время	2	9
21	и на	3	9
22	и все	4	9
23	о том	8	9
24	никогда не	3	8
25	в сущности	2	8
26	но в	8	8
27	в них	3	7
28	вовсе не	7	7
29	том что	12	7
30	этот образ	2	7
31	как бы	5	7
32	и до	3	7
33	как и	14	7
34	что в	17	7
35	в его	5	7
36	в образе	2	6
37	что он	4	6
38	мы видим	2	6
39	например в	3	6
40	один из	2	6
41	вместе с	6	6
42	сказать что	8	6
43	в то	4	6
44	то же	14	5
45	в одном	4	5
46	в ее	2	5
47	так же	4	5
48	же время	3	5
49	между собою	4	5
50	так и	6	5
51	в своем	8	5
52	большинстве случаев	2	5
53	в той	4	5
54	и что	7	5
55	той же	3	5
56	тем что	10	5
57	в себе	14	5
58	там где	3	5
59	что это	7	5
60	уже в	5	4
61	с другой	2	4
62	именно в	3	4
63	у нас	2	4
64	и как	2	4
65	не в	11	4
66	и вообще	2	4
67	все что	2	4
68	в большинстве	2	4
69	тот же	2	4
70	в ней	2	4
71	в котором	4	4
72	даже в	2	4
73	не может	11	4
74	как в	7	4
75	самом деле	3	4
76	именно на	2	4
77	того чтобы	4	4
78	и даже	2	4
79	а в	5	4
80	с ним	5	4
81	из этого	2	4
82	до того	3	3
83	с этим	7	3
84	но это	3	3
85	есть в	5	3
86	до сих	4	3
87	не были	2	3
88	было бы	8	3
89	конечно не	2	3
90	и их	3	3
91	в искусстве	3	3
92	сих пор	4	3
93	и для	2	3
94	при этом	15	3
95	и не	18	3
96	те же	3	3
97	того что	14	3
98	что не	6	3
99	между ними	4	3
100	к нему	5	3
101	есть только	5	3
102	с другими	4	3
103	в данном	4	3
104	только в	15	3
105	в первом	3	3
106	потому что	33	3
107	не могут	2	2
108	что если	6	2
109	но уже	3	2
110	в этих	3	2
111	превращается в	2	2
112	себе в	3	2
113	человека и	3	2
114	что все	4	2
115	если мы	2	2
116	что человек	3	2
117	для нас	14	2
118	в том	23	2
119	было и	2	2
120	так что	5	2
121	несколько слов	2	2
122	тем более	5	2
123	связи с	3	2
124	от него	2	2
125	есть и	2	2
126	уже здесь	2	2
127	и тот	3	2
128	никто не	2	2
129	может быть	26	2
130	они могут	2	2
131	хотя и	5	2
132	он не	2	2
133	и когда	2	2
134	и потому	10	2
135	в таких	2	2
136	если б	4	2
137	природы и	2	2
138	данном случае	2	2
139	а именно	4	2
140	есть нечто	5	2
141	и прежде	2	2
142	что даже	2	2
143	еще более	2	2
144	но эта	2	2
145	в истории	4	2
146	лишь в	3	2
147	а не	12	2
148	и у	2	2
149	с образами	2	2
150	с точки	3	2
151	внимание на	5	2
152	мы не	8	2
153	эти образы	2	2
154	и то	5	2
155	то он	2	2
156	их в	3	2
157	между тем	9	2
158	образом в	5	2
159	точки зрения	4	2
160	на его	3	2
161	из этих	2	2
162	говорить о	5	2
163	что мы	10	2
164	так сказать	5	2
165	бы в	2	2
166	в области	2	2
167	тогда когда	8	2
168	как она	2	2
169	это было	2	2
