N	2gram	Bakhtin_sl_1	Marksizm
1	чужой речи	7	53
2	может быть	14	28
3	и в	41	19
4	как бы	12	19
5	и не	16	19
6	не может	14	18
7	в процессе	4	18
8	точки зрения	16	17
9	то же	14	16
10	и его	14	16
11	языка и	12	15
12	как мы	8	15
13	в этом	12	15
14	таким образом	9	14
15	лишь в	4	14
16	в сущности	13	14
17	так сказать	5	14
18	чужого слова	2	13
19	не только	16	13
20	с точки	8	13
21	связи с	2	13
22	высказывания и	2	11
23	в нем	30	11
24	вовсе не	7	11
25	не в	7	10
26	в пределах	14	10
27	но и	16	10
28	том что	2	10
29	так и	11	10
30	речи в	4	10
31	для него	3	9
32	при этом	6	9
33	чужое высказывание	2	9
34	в основе	5	9
35	языка как	4	9
36	как и	4	9
37	на почве	4	9
38	а не	15	9
39	слова в	8	8
40	же время	12	8
41	не является	2	8
42	в то	14	8
43	с его	4	8
44	только в	6	8
45	никогда не	3	7
46	в том	3	7
47	его в	3	7
48	но в	8	7
49	прежде всего	8	7
50	чужая речь	9	7
51	одна из	2	7
52	внутренней речи	3	7
53	в языке	5	7
54	на самом	2	7
55	и для	4	7
56	язык как	3	6
57	в смысле	4	6
58	к тому	3	6
59	в свою	3	6
60	в самом	5	6
61	и следовательно	7	6
62	ни было	2	6
63	и все	4	6
64	между тем	2	6
65	более того	3	6
66	мы уже	2	6
67	во всех	17	6
68	слова и	13	6
69	быть и	4	6
70	социальной группы	2	6
71	если мы	2	6
72	для того	2	6
73	хотя бы	3	6
74	свою очередь	2	5
75	в большинстве	10	5
76	или иной	9	5
77	смысле слова	2	5
78	в контексте	2	5
79	к нему	5	5
80	в их	4	5
81	так же	2	5
82	и на	14	5
83	и здесь	3	5
84	большинстве случаев	6	5
85	лишь на	3	5
86	к этому	2	5
87	того же	6	5
88	совершенно не	2	5
89	в его	13	5
90	все же	7	5
91	в той	10	5
92	в данном	3	5
93	выражение в	3	5
94	отношении к	6	5
95	тому что	2	4
96	в отношении	6	4
97	это не	6	4
98	является лишь	3	4
99	той или	9	4
100	и тем	2	4
101	пассивного понимания	2	4
102	того что	3	4
103	речь и	3	4
104	с ними	3	4
105	сказать что	2	4
106	авторской речи	11	4
107	а как	2	4
108	как раз	2	4
109	из одного	2	4
110	было бы	3	4
111	конечно не	3	4
112	в основном	3	4
113	связь с	2	4
114	только на	2	4
115	речь в	2	4
116	в слове	7	4
117	и ее	3	4
118	в себе	3	4
119	категории и	2	4
120	ничего не	4	4
121	языкового сознания	3	3
122	перед нами	4	3
123	в этих	2	3
124	язык не	2	3
125	характерно что	2	3
126	столь же	2	3
127	с другой	5	3
128	и от	4	3
129	для понимания	2	3
130	одной стороны	4	3
131	в ней	4	3
132	за пределы	4	3
133	со всею	2	3
134	в котором	2	3
135	его и	3	3
136	а в	6	3
137	с этим	3	3
138	с одной	4	3
139	все эти	9	3
140	в другом	2	3
141	должно быть	2	3
142	а иногда	3	3
143	и формы	4	3
144	языка в	16	3
145	не было	3	3
146	в истории	3	3
147	в языковом	4	3
148	о том	3	3
149	так как	3	3
150	подхода к	5	3
151	оно может	2	3
152	слово в	10	3
153	философия языка	3	3
154	слова для	2	3
155	не как	4	3
156	установлено на	3	3
157	в ее	2	3
158	у нас	2	3
159	мы сказали	4	3
160	в качестве	3	3
161	одно и	2	3
162	слов и	2	3
163	до сих	2	3
164	еще не	4	3
165	одной из	3	3
166	он не	3	3
167	не есть	2	3
168	в своей	7	3
169	нами в	2	3
170	той же	2	3
171	лежащая в	2	3
172	с другими	5	3
173	исторического становления	2	3
174	и то	2	3
175	во всяком	7	3
176	могут быть	19	3
177	сих пор	2	3
178	связана с	2	2
179	философия слова	3	2
180	все время	3	2
181	точку зрения	3	2
182	формы и	3	2
183	пассивное понимание	3	2
184	на все	2	2
185	же слово	3	2
186	узком смысле	10	2
187	следовательно и	3	2
188	лишь как	3	2
189	что они	2	2
190	более или	3	2
191	в узком	10	2
192	лингвистики и	3	2
193	такое понимание	2	2
194	до конца	12	2
195	косвенная речь	2	2
196	и у	2	2
197	к системе	3	2
198	одним из	4	2
199	они могут	7	2
200	всяком случае	5	2
201	и непосредственно	5	2
202	эти категории	2	2
203	в зависимости	3	2
204	слово как	5	2
205	в своем	3	2
206	имеет дело	2	2
207	в особенности	8	2
208	именно в	3	2
209	и даже	6	2
210	друг друга	3	2
211	рядом с	4	2
212	конечно и	2	2
213	высказывания не	2	2
214	и с	4	2
215	именно как	2	2
216	того или	2	2
217	чужою речью	3	2
218	то есть	26	2
219	иной степени	9	2
220	установка на	6	2
221	взаимодействия с	3	2
222	от этого	2	2
223	но по	2	2
224	у него	3	2
225	и чужого	2	2
226	и всякое	2	2
227	лежит в	4	2
228	слушателя и	5	2
229	языка а	3	2
230	или иного	2	2
231	и почти	3	2
232	не с	2	2
233	зависимости от	3	2
234	но не	2	2
235	здесь в	4	2
236	и о	2	2
237	и потому	4	2
238	зрения самого	2	2
239	самого языка	2	2
240	себя в	9	2
241	или менее	3	2
242	и речи	2	2
243	оставаясь в	2	2
244	не на	5	2
245	в атмосфере	2	2
246	а с	2	2
247	еще более	5	2
248	и эта	2	2
249	между ними	2	2
250	мы не	2	2
251	говорящего и	2	2
252	или в	8	2
253	слова как	6	2
254	в виде	2	2
255	и стилистика	3	2
256	на протяжении	2	2
257	все его	4	2
258	далеко не	5	2
259	там где	4	2
260	в определенных	2	2
261	из него	2	2
