N	2gram	Savitsky_P_1	Formalny
1	и в	14	38
2	в этом	10	27
3	т е	3	26
4	может быть	5	23
5	и пр	5	21
6	и не	12	20
7	прежде всего	3	15
8	не в	5	15
9	и т	3	14
10	не может	4	14
11	в нем	3	13
12	но и	6	13
13	в пределах	8	12
14	с тем	3	11
15	в том	9	11
16	в его	2	10
17	и с	2	9
18	не только	17	9
19	отнюдь не	2	8
20	точки зрения	3	8
21	что в	4	7
22	по себе	4	7
23	с точки	3	7
24	не было	2	6
25	то что	4	6
26	в ней	6	6
27	было бы	6	6
28	то же	9	6
29	а не	2	6
30	как раз	2	6
31	могут быть	3	6
32	только в	7	6
33	а в	4	6
34	хотя бы	8	6
35	в общем	2	5
36	если бы	4	5
37	именно в	2	5
38	же время	7	5
39	во всех	2	5
40	с этим	2	5
41	еще более	2	5
42	сводится к	3	5
43	говорить о	2	5
44	в то	7	5
45	не столько	2	4
46	в статье	2	4
47	не о	2	4
48	как бы	4	4
49	и к	4	4
50	из них	2	4
51	именно как	2	4
52	но в	9	4
53	если в	2	3
54	для них	2	3
55	главным образом	2	3
56	с другой	5	3
57	и как	3	3
58	например в	2	3
59	все это	2	3
60	она ни	2	3
61	в значительной	2	3
62	того что	2	3
63	для того	3	3
64	мы не	3	3
65	хотя и	3	3
66	в области	11	3
67	в качестве	9	2
68	столь же	3	2
69	это не	3	2
70	в ее	2	2
71	том что	4	2
72	но не	3	2
73	было в	2	2
74	и о	5	2
75	в котором	4	2
76	сами по	3	2
77	и тем	2	2
78	не к	2	2
79	со стороны	2	2
80	во всей	2	2
81	и других	2	2
82	тем самым	3	2
83	должно быть	2	2
84	с ними	3	2
85	между тем	3	2
86	является в	2	2
87	нужно было	2	2
88	и это	2	2
89	потому что	3	2
